policy_id,risk_tolerance,gamma,uncertainty_aversion,realized_total_return,net_return_after_ecl_full,ecl,cvar_95_loss_rate_full,gamma_cp,weighted_miscoverage_V,diagnostic_selector_score,diagnostic_selector_rank,diagnostic_decision,pareto_return_ecl
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.55,0.05,164273.35080211036,62336.917169065186,94225.01283093481,0.44999999999999996,0.140719,0.041975,0.7357672601766744,1,promote_candidate_for_future_run,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.55,0.1,167069.47757462133,53996.388416186004,97331.621583814,0.4499999999999999,0.1533,0.03905,0.7222777429288489,2,promote_candidate_for_future_run,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.5,0.1,167692.389704731,53035.48241944006,98250.51508055994,0.4499999999999999,0.157538,0.03905,0.7212293141318357,3,promote_candidate_for_future_run,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.5,0.1,164689.02196237698,61162.99240862153,97169.48759137848,0.44999999999999996,0.143365,0.042926,0.7198872319974157,4,promote_candidate_for_future_run,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.1,166269.82231927008,54701.04878729224,100938.42121270776,0.44999999999999996,0.159714,0.030034,0.7177855374320193,5,promote_candidate_for_future_run,False
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.55,0.1,162351.17715355012,64891.64739040128,95045.66260959872,0.44999999999999996,0.139696,0.041975,0.7127128697532362,6,keep,False
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.45,0.1,168365.23091736945,52321.265556501574,100404.24944349844,0.44999999999999996,0.17018,0.040431,0.7091767602011283,7,keep,False
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.55,0.05,166969.46159398026,53489.0207020478,95587.40429795219,0.44999999999999996,0.154754,0.042975,0.7067155054531824,8,keep,False
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.55,0.05,165547.8905382124,57446.30095141358,93607.91904858642,0.44999999999999996,0.147556,0.042975,0.7065143416424802,9,keep,False
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.55,0.0,163847.98926196393,60101.29195396489,91428.58804603512,0.44999999999999996,0.141562,0.041975,0.7064072268673257,10,keep,True
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.5,0.05,163947.7110439952,60966.18504478279,95271.9974552172,0.44999999999999996,0.144086,0.042975,0.7027512664439028,11,keep,False
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.45,0.1,167067.29591823329,52777.68547562137,94962.94452437863,0.4499999999999999,0.155394,0.042975,0.7024144413716328,12,keep,True
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.55,0.1,165504.23210778716,56978.04487294855,96742.36512705145,0.4499999999999999,0.146459,0.040975,0.6975941830165204,13,keep,False
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.45,0.1,169389.5810115051,48877.987977920886,103536.14202207912,0.44999999999999996,0.177578,0.03545,0.694987414309734,14,keep,True
