policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,bisection_floor,bisection_iteration,tested_cvar_cap,search_low_before,search_high_before,feasible_v8,solver_lane_v8,auditability_score_v8,non_dominated_v8
v8_cvar_bisect_floor80000_iter5_cap135000,TerminationCondition.optimal,0.6657712809974328,0.175,0.04,0.06,135000.0,80000.0,0.45,183,850000.0,91298.23995837977,78597.24719010119,0.10313216195569135,0.7452527256517666,0.42289586112599503,80205.19480519478,134999.99999999997,134999.99999999997,80000.0,5,135000.0,120000.0,150000.0,True,adaptive_cvar_bisection_constraint,0.4962934279983799,True
v8_cvar_bisect_floor80000_best,TerminationCondition.optimal,0.6657712809974328,0.175,0.04,0.06,135000.0,80000.0,0.45,183,850000.0,91298.23995837977,78597.24719010119,0.10313216195569135,0.7452527256517666,0.42289586112599503,80205.19480519478,134999.99999999997,134999.99999999997,80000.0,best_feasible,135000.0,120000.0,150000.0,True,adaptive_cvar_bisection_constraint,0.4962934279983799,True
v8_cvar_bisect_floor80000_iter4_cap150000,TerminationCondition.optimal,1.1210527319999528,0.175,0.04,0.06,150000.0,80000.0,0.45,210,850000.0,95632.43542001877,90463.65500000001,0.1151550132732827,0.7451937546523789,0.43039215686274507,89334.87319476546,150000.0,150000.0,80000.0,4,150000.0,120000.0,180000.0,True,adaptive_cvar_bisection_constraint,0.4901362701048245,True
v8_cvar_bisect_floor80000_iter2_cap240000,TerminationCondition.optimal,0.9190714869982912,0.175,0.04,0.06,240000.0,80000.0,0.45,274,995098.1499419538,127343.77700868007,130541.90797827649,0.17500000000017582,0.7610618827693969,0.45000000000045215,150826.53549441663,239999.99999999974,239999.99999999974,80000.0,2,240000.0,120000.0,360000.0,True,adaptive_cvar_bisection_constraint,0.4560206759033482,True
v8_cvar_bisect_floor80000_iter1_cap360000,TerminationCondition.optimal,1.2902433400013251,0.175,0.04,0.06,360000.0,80000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,80000.0,1,360000.0,120000.0,600000.0,True,adaptive_cvar_bisection_constraint,0.43485038601218484,True
v8_cvar_bisect_floor110000_iter5_cap165000,TerminationCondition.optimal,1.007687043005717,0.175,0.04,0.06,165000.0,110000.0,0.45,238,1000000.0,109999.99999999999,74818.47519537271,0.10736031882134622,0.7882801908049325,0.4310833286934732,98131.21259686288,165000.0,165000.0,110000.0,5,165000.0,150000.0,180000.0,True,adaptive_cvar_bisection_constraint,0.4684439882917418,True
v8_cvar_bisect_floor110000_best,TerminationCondition.optimal,1.007687043005717,0.175,0.04,0.06,165000.0,110000.0,0.45,238,1000000.0,109999.99999999999,74818.47519537271,0.10736031882134622,0.7882801908049325,0.4310833286934732,98131.21259686288,165000.0,165000.0,110000.0,best_feasible,165000.0,150000.0,180000.0,True,adaptive_cvar_bisection_constraint,0.4684439882917418,True
v8_cvar_bisect_floor110000_iter2_cap240000,TerminationCondition.optimal,1.1478623959992547,0.175,0.04,0.06,240000.0,110000.0,0.45,274,995098.1499419538,127343.77700868007,130541.90797827649,0.17500000000017582,0.7610618827693969,0.45000000000045215,150826.53549441663,239999.99999999974,239999.99999999974,110000.0,2,240000.0,120000.0,360000.0,True,adaptive_cvar_bisection_constraint,0.4560206759033482,True
v8_cvar_bisect_floor110000_iter1_cap360000,TerminationCondition.optimal,1.107270355001674,0.175,0.04,0.06,360000.0,110000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,110000.0,1,360000.0,120000.0,600000.0,True,adaptive_cvar_bisection_constraint,0.43485038601218484,True
v8_cvar_bisect_floor125000_iter5_cap225000,TerminationCondition.optimal,0.9083848000009311,0.175,0.04,0.06,225000.0,125000.0,0.45,277,1000000.0,124999.99999999999,117510.47535741264,0.15934308621698956,0.7762909962791622,0.45000000000045,139611.69267061554,224999.99999999968,224999.99999999968,125000.0,5,225000.0,210000.0,240000.0,True,adaptive_cvar_bisection_constraint,0.45295778156258093,True
v8_cvar_bisect_floor125000_best,TerminationCondition.optimal,0.9083848000009311,0.175,0.04,0.06,225000.0,125000.0,0.45,277,1000000.0,124999.99999999999,117510.47535741264,0.15934308621698956,0.7762909962791622,0.45000000000045,139611.69267061554,224999.99999999968,224999.99999999968,125000.0,best_feasible,225000.0,210000.0,240000.0,True,adaptive_cvar_bisection_constraint,0.45295778156258093,True
v8_cvar_bisect_floor125000_iter2_cap240000,TerminationCondition.optimal,0.9850874780022423,0.175,0.04,0.06,240000.0,125000.0,0.45,274,995098.1499419538,127343.77700868007,130541.90797827649,0.17500000000017582,0.7610618827693969,0.45000000000045215,150826.53549441663,239999.99999999974,239999.99999999974,125000.0,2,240000.0,120000.0,360000.0,True,adaptive_cvar_bisection_constraint,0.4560206759033482,True
v8_cvar_bisect_floor125000_iter1_cap360000,TerminationCondition.optimal,1.0456128739970154,0.175,0.04,0.06,360000.0,125000.0,0.45,315,1000000.0,132299.44044269872,140217.11735182977,0.175000000000175,0.7999881080371077,0.45000000000045,157867.95009190362,261695.73875426492,261695.73875426492,125000.0,1,360000.0,120000.0,600000.0,True,adaptive_cvar_bisection_constraint,0.43485038601218484,True
v8_cvar_bisect_floor80000_iter3_cap180000,TerminationCondition.optimal,1.1829307110019727,0.175,0.04,0.06,180000.0,80000.0,0.45,236,850000.0,104544.79560010007,106002.67572511995,0.14270265694094028,0.7603813576418772,0.4500000000005295,108952.30563236769,179999.9999999997,179999.9999999997,80000.0,3,180000.0,120000.0,240000.0,True,adaptive_cvar_bisection_constraint,0.46963982979021046,False
