stage_v271,pair_rows_v271,claim_boundary_v271
all_pairs,47315358,post-v270 restricted-pool MILP one-swap screen stage count only
return_improving,1643340,post-v270 restricted-pool MILP one-swap screen stage count only
budget_return_feasible,914115,post-v270 restricted-pool MILP one-swap screen stage count only
source_prefilter_feasible,36646,post-v270 restricted-pool MILP one-swap screen stage count only
source_exact_feasible,0,post-v270 restricted-pool MILP one-swap screen stage count only
cvar_feasible_improving,0,post-v270 restricted-pool MILP one-swap screen stage count only
