original_grade,score_decile,n,treatment_rate,default_rate,avg_pd,overlap_gate_pass,accepted_loan_only_caveat
A,0,2902,0.3314955203308063,0.032046864231564436,0.08382120317504925,True,no reject-inference counterfactuals
A,1,774,0.7312661498708011,0.059431524547803614,0.16036123043628844,True,no reject-inference counterfactuals
A,2,135,0.7407407407407407,0.05925925925925926,0.3898115669096755,True,no reject-inference counterfactuals
A,3,72,0.7222222222222222,0.09722222222222222,0.6970821474291796,True,no reject-inference counterfactuals
A,4,9,0.8888888888888888,0.1111111111111111,0.7101367247569562,False,no reject-inference counterfactuals
A,5,2,1.0,0.0,0.787636932005866,False,no reject-inference counterfactuals
B,0,652,0.07668711656441718,0.05828220858895705,0.1108893330844975,True,no reject-inference counterfactuals
B,1,2561,0.22022647403358064,0.07965638422491214,0.17138049459111082,True,no reject-inference counterfactuals
B,2,2186,0.5054894784995425,0.08645928636779505,0.454557296228178,True,no reject-inference counterfactuals
B,3,3398,0.6665685697469099,0.12625073572689818,0.7030146644679355,True,no reject-inference counterfactuals
B,4,1020,0.8176470588235294,0.12941176470588237,0.7187828439428182,True,no reject-inference counterfactuals
B,5,127,0.889763779527559,0.2125984251968504,0.7803513842927936,True,no reject-inference counterfactuals
B,6,26,0.9615384615384616,0.07692307692307693,0.800400225373134,False,no reject-inference counterfactuals
B,7,2,1.0,0.0,0.8752676232793106,False,no reject-inference counterfactuals
C,0,12,0.0,0.0,0.12118313010122515,False,no reject-inference counterfactuals
C,1,263,0.2737642585551331,0.049429657794676805,0.1764874116361103,True,no reject-inference counterfactuals
C,2,1139,0.26953467954345917,0.09394205443371378,0.549814609785017,True,no reject-inference counterfactuals
C,3,3406,0.25778038755137994,0.13211978860833823,0.7129235398020107,True,no reject-inference counterfactuals
C,4,5354,0.37168472170339933,0.15913335823683228,0.7222050488510451,True,no reject-inference counterfactuals
C,5,4195,0.6779499404052444,0.20882002383790227,0.784987652061888,True,no reject-inference counterfactuals
C,6,1899,0.8383359662980516,0.23749341758820433,0.7960351329964326,True,no reject-inference counterfactuals
C,7,221,0.8823529411764706,0.21266968325791855,0.8558881455140844,True,no reject-inference counterfactuals
C,8,4,0.75,0.25,0.9249745105380267,False,no reject-inference counterfactuals
D,1,45,0.26666666666666666,0.044444444444444446,0.17671938712584453,True,no reject-inference counterfactuals
D,2,268,0.23880597014925373,0.08208955223880597,0.5299256097611099,True,no reject-inference counterfactuals
D,3,784,0.25,0.12372448979591837,0.7107571484666612,True,no reject-inference counterfactuals
D,4,1735,0.24668587896253602,0.16080691642651296,0.7239516168602466,True,no reject-inference counterfactuals
D,5,2772,0.27344877344877344,0.21464646464646464,0.7869080403897961,True,no reject-inference counterfactuals
D,6,3339,0.44294699011680144,0.2398921832884097,0.807136430381997,True,no reject-inference counterfactuals
D,7,2182,0.7749770852428964,0.27864344637946836,0.8667233363784052,True,no reject-inference counterfactuals
D,8,823,0.9793438639125152,0.32563791008505466,0.9312142355242297,False,no reject-inference counterfactuals
D,9,223,1.0,0.2556053811659193,0.9893229624161936,False,no reject-inference counterfactuals
E,1,3,0.0,0.0,0.18393092432026012,False,no reject-inference counterfactuals
E,2,60,0.2833333333333333,0.0,0.5291452474015296,True,no reject-inference counterfactuals
E,3,155,0.36774193548387096,0.16774193548387098,0.7084990251247982,True,no reject-inference counterfactuals
E,4,245,0.3224489795918367,0.1836734693877551,0.7216357476050848,True,no reject-inference counterfactuals
E,5,536,0.3824626865671642,0.22574626865671643,0.7883011133625809,True,no reject-inference counterfactuals
E,6,780,0.3576923076923077,0.30128205128205127,0.8114077069422879,True,no reject-inference counterfactuals
E,7,1394,0.4031563845050215,0.34433285509325684,0.8754907769038576,True,no reject-inference counterfactuals
E,8,1347,0.6785449146250928,0.4142538975501114,0.9341241156121972,True,no reject-inference counterfactuals
E,9,153,0.9738562091503268,0.45751633986928103,0.987545505137815,False,no reject-inference counterfactuals
F,1,1,0.0,0.0,0.1839309243202601,False,no reject-inference counterfactuals
F,2,3,0.3333333333333333,0.0,0.614784795905341,False,no reject-inference counterfactuals
F,3,8,0.25,0.125,0.7087805819793909,False,no reject-inference counterfactuals
F,4,8,0.25,0.375,0.7277005989753398,False,no reject-inference counterfactuals
F,5,28,0.25,0.32142857142857145,0.7848390261906804,False,no reject-inference counterfactuals
F,6,28,0.4642857142857143,0.25,0.8148286212494354,False,no reject-inference counterfactuals
F,7,44,0.36363636363636365,0.38636363636363635,0.8737531269539354,True,no reject-inference counterfactuals
F,8,200,0.31,0.43,0.9515972398813705,True,no reject-inference counterfactuals
F,9,267,0.45318352059925093,0.4606741573033708,0.9955772579236463,True,no reject-inference counterfactuals
G,3,2,0.5,0.0,0.7280383093137194,False,no reject-inference counterfactuals
G,4,2,1.0,0.0,0.7296225796233402,False,no reject-inference counterfactuals
G,5,11,0.36363636363636365,0.18181818181818182,0.7832832961404953,False,no reject-inference counterfactuals
G,6,12,0.5,0.4166666666666667,0.8030258016831984,False,no reject-inference counterfactuals
G,7,22,0.5,0.4090909090909091,0.8761097966086535,False,no reject-inference counterfactuals
G,8,56,0.2857142857142857,0.4107142857142857,0.9516902915582792,True,no reject-inference counterfactuals
G,9,105,0.19047619047619047,0.5523809523809524,0.9969453640250676,True,no reject-inference counterfactuals
