mdcp_threshold,fairness_gap_threshold,min_score_quantile,min_score,n_gate_pass,top_policy_id,top_selector_v2_score,status
0.8,0.35,0.75,0.6089208238710566,1,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
0.85,0.2,0.0,0.1615788571255964,0,,,candidate_gate_search
0.85,0.2,0.5,0.5162024019305974,0,,,candidate_gate_search
0.85,0.2,0.75,0.6089208238710566,0,,,candidate_gate_search
0.85,0.25,0.0,0.1615788571255964,0,,,candidate_gate_search
0.85,0.25,0.5,0.5162024019305974,0,,,candidate_gate_search
0.85,0.25,0.75,0.6089208238710566,0,,,candidate_gate_search
0.85,0.3,0.0,0.1615788571255964,2,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
0.85,0.3,0.5,0.5162024019305974,2,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
0.85,0.3,0.75,0.6089208238710566,1,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
0.85,0.35,0.0,0.1615788571255964,2,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
0.85,0.35,0.5,0.5162024019305974,2,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
0.85,0.35,0.75,0.6089208238710566,1,crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6103788363876271,candidate_gate_search
