action_v328,loan_id,loan_amnt,mean_return_v328,observed_v47_proxy_v328,claim_boundary_v328
add_v327_best_feasible,127648167,1000.0,15.897397129938303,False,applied v327 best feasible add leg
drop_v327_best_feasible,136360475,1000.0,14.024583409971672,True,applied v327 best feasible drop leg
