original_grade,period,n,treatment_share,propensity_min,propensity_max
A,2018H1,26596,0.3313280192510152,0.14278250243283155,0.9041742037296681
A,2018H2,22992,0.4836029923451635,0.2062899107692504,0.936023875088331
A,2019H1,14366,0.659056104691633,0.3806318812074976,0.9480852711747254
A,2019H2,6914,0.6544691929418571,0.5039306874461591,0.9453773429091243
A,2020,1487,0.7935440484196369,0.6431677212579625,0.9486570393393522
B,2018H1,31403,0.27395471770213037,0.0729908228995249,0.9197686357542906
B,2018H2,22329,0.6050875543015809,0.13380928419759794,0.9490259570964259
B,2019H1,13272,0.6170886075949367,0.2282363761792508,0.9492936524816591
B,2019H2,7071,0.6007636826474332,0.3091578064486845,0.9495770165335956
B,2020,1115,0.7130044843049327,0.5002901758258403,0.9497639330937759
C,2018H1,29579,0.3832448696710504,0.05339754510237394,0.9224649255638053
C,2018H2,21611,0.3840636712785156,0.09780707834115214,0.9493061019127713
C,2019H1,12448,0.5334190231362468,0.17608829907896068,0.9490708491314158
C,2019H2,5924,0.8036799459824443,0.28177392769565845,0.9498678887276281
C,2020,881,0.8751418842224744,0.38881276313499136,0.9499378994133396
D,2018H1,17440,0.36450688073394494,0.05075245253925586,0.9455998705089073
D,2018H2,13514,0.33668787923634746,0.087306796024156,0.9457818660812451
D,2019H1,8806,0.6586418351124234,0.14703180243743674,0.9496502304602419
D,2019H2,5068,0.8095895816890292,0.18147232121901727,0.9497515330261111
D,2020,702,0.8518518518518519,0.39317118831942566,0.9499500559381725
E,2018H1,4671,0.46285591950331834,0.06308456202997625,0.9477726664415821
E,2018H2,4900,0.41489795918367345,0.07451532753753887,0.9429145351259728
E,2019H1,1240,0.3782258064516129,0.11816755464108818,0.9383903271582643
F,2018H1,942,0.3237791932059448,0.05480106722378137,0.9382090621861724
F,2018H2,763,0.3709043250327654,0.05013453267563966,0.9265848331493597
F,2019H1,16,0.4375,0.07929759047154428,0.5518320718210662
G,2018H1,185,0.11891891891891893,0.06617974404954402,0.869892784517684
G,2018H2,208,0.38461538461538464,0.05445051611126943,0.9196522031382318
G,2019H1,7,0.5714285714285714,0.08781056304160885,0.3333191892620351
