policy_id,scenario,sicr_rule,contractual_ecl_v5,discounted_ead_v5,interest_cash_v5,principal_cash_v5,realized_loss_cash_v5,stage1_share_v5,stage2_share_v5,stage3_share_v5,ecl_estimation_scope_v5,realized_return_proxy_lgd45,funded_exposure,net_return_after_contractual_ecl_v5
paper4_v4_local_rt0p1700_g0p400_u0p000,optimistic,relative_2x,48121.436515506546,19566439.405667428,324707.4670200967,999020.8333333334,8371.875,0.7993614931237721,0.19916502946954814,0.0014734774066797642,monthly_marginal_pd_discounted_cash_shortfall_proxy,176309.76764157554,1000000.0,128188.331126069
paper4_v4_local_rt0p1700_g0p400_u0p025,optimistic,relative_2x,48121.436515506546,19566439.405667428,324707.4670200967,999020.8333333334,8371.875,0.7993614931237721,0.19916502946954814,0.0014734774066797642,monthly_marginal_pd_discounted_cash_shortfall_proxy,176309.76764157554,1000000.0,128188.331126069
paper4_v4_local_rt0p1700_g0p400_u0p050,optimistic,relative_2x,48121.436515506546,19566439.405667428,324707.4670200967,999020.8333333334,8371.875,0.7993614931237721,0.19916502946954814,0.0014734774066797642,monthly_marginal_pd_discounted_cash_shortfall_proxy,176309.76764157554,1000000.0,128188.331126069
paper4_v4_local_rt0p1700_g0p400_u0p075,optimistic,relative_2x,48121.436515506546,19566439.405667428,324707.4670200967,999020.8333333334,8371.875,0.7993614931237721,0.19916502946954814,0.0014734774066797642,monthly_marginal_pd_discounted_cash_shortfall_proxy,176309.76764157554,1000000.0,128188.331126069
paper4_v4_local_rt0p1700_g0p400_u0p100,optimistic,relative_2x,48121.436515506546,19566439.405667428,324707.4670200967,999020.8333333334,8371.875,0.7993614931237721,0.19916502946954814,0.0014734774066797642,monthly_marginal_pd_discounted_cash_shortfall_proxy,176309.76764157554,1000000.0,128188.331126069
paper4_v4_local_rt0p1700_g0p425_u0p000,optimistic,relative_2x,47198.74585846892,19519661.7010839,319871.0823717915,999046.114216231,8155.723451224604,0.792198233562316,0.2062479555119398,0.0015538109257441936,monthly_marginal_pd_discounted_cash_shortfall_proxy,174567.57189288645,1000000.0,127368.82603441752
paper4_v4_local_rt0p1700_g0p425_u0p025,optimistic,relative_2x,46977.47566610672,19540587.5,320409.9826562753,999156.25,7214.062500000001,0.7947651663405088,0.20368558382257013,0.0015492498369210697,monthly_marginal_pd_discounted_cash_shortfall_proxy,177295.43,1000000.0,130317.95433389327
paper4_v4_local_rt0p1700_g0p425_u0p050,optimistic,relative_2x,46885.55000358171,19545795.823897824,320592.78034221515,999183.6622310412,6979.687924597937,0.7961513372472276,0.20238095238095238,0.0014677103718199608,monthly_marginal_pd_discounted_cash_shortfall_proxy,178048.10260725138,1000000.0,131162.55260366967
paper4_v4_local_rt0p1700_g0p425_u0p075,optimistic,relative_2x,46468.97314793668,19508525.0,319911.9410184168,998987.5,8656.875,0.8070088845014808,0.191428101349128,0.0015630141493912471,monthly_marginal_pd_discounted_cash_shortfall_proxy,173075.48672666072,1000000.0,126606.51357872403
paper4_v4_local_rt0p1700_g0p425_u0p100,optimistic,relative_2x,46326.298455269214,19517518.774905328,320238.20656026056,999034.8356573965,8252.155129260173,0.808736426456071,0.18970055939453767,0.0015630141493912471,monthly_marginal_pd_discounted_cash_shortfall_proxy,174404.72097666154,1000000.0,128078.42252139232
paper4_v4_local_rt0p1700_g0p450_u0p000,optimistic,relative_2x,44904.49969340654,19527920.833333332,316714.5760384671,999089.5833333334,7784.062500000001,0.8005836575875487,0.19787613488975356,0.001540207522697795,monthly_marginal_pd_discounted_cash_shortfall_proxy,173790.71071864534,1000000.0,128886.2110252388
paper4_v4_local_rt0p1700_g0p450_u0p025,optimistic,relative_2x,44609.34141858794,19538080.555555556,316992.63672477537,999143.0555555555,7326.875000000001,0.8030966277561609,0.19544422827496757,0.0014591439688715954,monthly_marginal_pd_discounted_cash_shortfall_proxy,174998.4336112657,1000000.0,130389.09219267777
paper4_v4_local_rt0p1700_g0p450_u0p050,optimistic,relative_2x,44337.54471227311,19535851.592908315,316990.44218598574,999165.2777777778,7136.875,0.8067479674796748,0.19178861788617887,0.0014634146341463415,monthly_marginal_pd_discounted_cash_shortfall_proxy,175478.2518754841,1000000.0,131140.707163211
