policy_id,regime_v74,lhs_v74,rhs_v74,slack_v74,binding_v74,claim_boundary_v74,constraint_type_v74,source_family,source_id,cap_share_v74,cap_mode_v74,path_id,iteration_v74
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-206924.95,0.0,206924.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,IN,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-184524.95,0.0,184524.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,MA,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-191749.95,0.0,191749.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,MD,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-203024.95,0.0,203024.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,MI,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-195824.95,0.0,195824.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,MN,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-190674.95,0.0,190674.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,NC,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-188224.95,0.0,188224.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,NJ,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-194369.2,0.0,194369.2,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,NV,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-134888.45,0.0,134888.45,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,NY,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-183942.25,0.0,183942.25,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,OH,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-176274.95,0.0,176274.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,PA,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-161149.95,0.0,161149.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,TX,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-194724.95,0.0,194724.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,VA,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-162449.95,0.0,162449.95,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,WA,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-15824.949999999997,0.0,15824.949999999997,False,v74 iteration active-constraint diagnostic only,source_share,state_top20,other,0.26,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,165333.79827717505,185616.07852082537,20282.28024365031,False,v74 iteration active-constraint diagnostic only,cvar_cap,,,,,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-91072.53397986012,0.0,91072.53397986012,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,0.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-59483.09888760459,0.0,59483.09888760459,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,1.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-6202.146457337192,0.0,6202.146457337192,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,2.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-69655.79482130765,0.0,69655.79482130765,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,3.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-59894.35462434497,0.0,59894.35462434497,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,4.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-72156.52242533377,0.0,72156.52242533377,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,5.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-50033.74075518765,0.0,50033.74075518765,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,6.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-67431.77967980242,0.0,67431.77967980242,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,7.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-87927.30770651487,0.0,87927.30770651487,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,8.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-89407.29805970677,0.0,89407.29805970677,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,9.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,0.0,0.0,0.0,True,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,10.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-35880.17457758478,0.0,35880.17457758478,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,11.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-80175.48433085938,0.0,80175.48433085938,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,12.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-70837.28648204292,0.0,70837.28648204292,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,13.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-25635.842297949013,0.0,25635.842297949013,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,14.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-49940.10205954299,0.0,49940.10205954299,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,15.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-79758.18450938744,0.0,79758.18450938744,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,16.0,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-85102.1756399739,0.0,85102.1756399739,False,v74 iteration active-constraint diagnostic only,cvar_path_excess,,,,,17.0,2
