policy_id,regime_v63,scenario_row,scenario_loss_v63,scenario_return_v63
v63_source_repair_return_guarded_repair,return_guarded_repair,0,49503.49668979574,5373.728456159652
v63_source_repair_return_guarded_repair,return_guarded_repair,1,76448.52816160965,-19874.95719887752
v63_source_repair_return_guarded_repair,return_guarded_repair,2,109292.12969231774,-51265.67433780882
v63_source_repair_return_guarded_repair,return_guarded_repair,3,71525.30770137797,-15005.508323015598
v63_source_repair_return_guarded_repair,return_guarded_repair,4,72728.23281775754,-16464.961829734835
v63_source_repair_return_guarded_repair,return_guarded_repair,5,66605.90393568232,-10492.159382888794
v63_source_repair_return_guarded_repair,return_guarded_repair,6,89632.25902999379,-32273.883939793086
v63_source_repair_return_guarded_repair,return_guarded_repair,7,75505.88832174966,-18866.155170247985
v63_source_repair_return_guarded_repair,return_guarded_repair,8,61387.05592104775,-5736.634065933545
v63_source_repair_return_guarded_repair,return_guarded_repair,9,59347.58089132702,-3669.785205095934
v63_source_repair_return_guarded_repair,return_guarded_repair,10,133145.28653133422,-74496.4111564677
v63_source_repair_return_guarded_repair,return_guarded_repair,11,94429.42974380786,-36996.244346278676
v63_source_repair_return_guarded_repair,return_guarded_repair,12,54015.31557779909,1188.2765746245102
v63_source_repair_return_guarded_repair,return_guarded_repair,13,67394.50437667179,-11237.481535924091
v63_source_repair_return_guarded_repair,return_guarded_repair,14,99090.21689285201,-41377.80323407035
v63_source_repair_return_guarded_repair,return_guarded_repair,15,72510.2896965769,-15938.12000702698
v63_source_repair_return_guarded_repair,return_guarded_repair,16,58331.028505297865,-2844.3102533658
v63_source_repair_return_guarded_repair,return_guarded_repair,17,65291.59095752563,-9259.651146944969
v63_source_repair_return_guarded_repair,return_guarded_repair,18,86652.52369408782,-29453.67695112795
v63_source_repair_return_guarded_repair,return_guarded_repair,19,85559.03660855521,-28445.96177612856
v63_source_repair_return_guarded_repair,return_guarded_repair,20,54081.66854080057,1109.9604247447542
v63_source_repair_return_guarded_repair,return_guarded_repair,21,69875.87041338289,-13595.284354230458
v63_source_repair_return_guarded_repair,return_guarded_repair,22,103118.95706424155,-45277.08927477691
v63_source_repair_return_guarded_repair,return_guarded_repair,23,87799.5423183015,-30600.508325851137
v63_source_repair_return_guarded_repair,return_guarded_repair,24,54927.125630805276,333.49109507872805
v63_source_repair_return_guarded_repair,return_guarded_repair,25,62012.9865954424,-6161.444471508724
v63_source_repair_return_guarded_repair,return_guarded_repair,26,92513.32398231815,-35046.053210488186
