scenario,sicr_rule_v6,mean_contractual_ecl_v6,mean_stage1_share_v6,mean_stage2_share_v6,mean_stage3_share_v6,policies_stage2_dominates,policies_stage2_too_low,sicr_recommendation_v6
optimistic,relative_2x,219785.05544127108,0.37882570529691806,0.6196434298245097,0.0015308648785722883,0,0,candidate_for_mrm_review
optimistic,absolute_pd25,201496.30689858357,0.749210756279828,0.24925837884159974,0.0015308648785722883,0,0,candidate_for_mrm_review
optimistic,pd12_15,24519.903401084954,0.9984691351214278,0.0,0.0015308648785722883,0,100,too_loose_stage2_low
optimistic,balanced_rel3_abs35_pd20,199312.12014167552,0.8070910579028058,0.191378077218622,0.0015308648785722883,0,0,candidate_for_mrm_review
optimistic,mrm_rel2p5_abs30_pd18,206332.9021105275,0.6233695780064467,0.3750995571149811,0.0015308648785722883,0,0,candidate_for_mrm_review
optimistic,conservative_rel2_abs25_pd15,219062.03981976214,0.40451924540717693,0.5939498897142508,0.0015308648785722883,0,0,candidate_for_mrm_review
baseline,relative_2x,866335.9763012337,0.20461099974538158,0.7938581353760462,0.0015308648785722883,100,0,too_conservative_stage2_dominates
baseline,absolute_pd25,845734.2507469474,0.5135951396642235,0.48487399545720417,0.0015308648785722883,0,0,candidate_for_mrm_review
baseline,pd12_15,364837.7173548683,0.9429476436400531,0.05552149148137458,0.0015308648785722883,0,100,too_loose_stage2_low
baseline,balanced_rel3_abs35_pd20,845937.5593578814,0.4887817060997341,0.5096874290216936,0.0015308648785722883,0,0,candidate_for_mrm_review
baseline,mrm_rel2p5_abs30_pd18,857618.512820018,0.35718377448886607,0.6412853606325616,0.0015308648785722883,0,0,candidate_for_mrm_review
baseline,conservative_rel2_abs25_pd15,865835.5634817448,0.22103158906814005,0.7774375460532876,0.0015308648785722883,100,0,too_conservative_stage2_dominates
adverse,relative_2x,1232428.5706420974,0.10667029942865129,0.8917988356927764,0.0015308648785722883,100,0,too_conservative_stage2_dominates
adverse,absolute_pd25,1219758.770139526,0.30151418171652244,0.6969549534049052,0.0015308648785722883,0,0,candidate_for_mrm_review
adverse,pd12_15,1081746.4222687765,0.8237153710077543,0.17475376411367338,0.0015308648785722883,0,0,candidate_for_mrm_review
adverse,balanced_rel3_abs35_pd20,1222529.5826102186,0.26286152393651757,0.7356076111849101,0.0015308648785722883,0,0,diagnostic_sensitivity_only
adverse,mrm_rel2p5_abs30_pd18,1228297.7598687445,0.18679899312360151,0.8116701419978262,0.0015308648785722883,100,0,too_conservative_stage2_dominates
adverse,conservative_rel2_abs25_pd15,1232238.9617471043,0.11440528862596067,0.8840638464954671,0.0015308648785722883,100,0,too_conservative_stage2_dominates
severe,relative_2x,1352329.4330777186,0.05759047153931448,0.9408786635821133,0.0015308648785722883,100,0,too_conservative_stage2_dominates
severe,absolute_pd25,1345416.5944155233,0.16839180408139462,0.8300773310400331,0.0015308648785722883,100,0,too_conservative_stage2_dominates
severe,pd12_15,1298945.2786128975,0.4427926144877061,0.5556765206337215,0.0015308648785722883,0,0,candidate_for_mrm_review
severe,balanced_rel3_abs35_pd20,1347455.7582023577,0.1402791270717326,0.858190008049695,0.0015308648785722883,100,0,too_conservative_stage2_dominates
severe,mrm_rel2p5_abs30_pd18,1351201.4073562033,0.08256219400226224,0.9159069411191655,0.0015308648785722883,100,0,too_conservative_stage2_dominates
severe,conservative_rel2_abs25_pd15,1353180.4197071744,0.03550613161262809,0.9629630035087996,0.0015308648785722883,100,0,too_conservative_stage2_dominates
