policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u
v7_cvar_cap420000_floor80000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap420000_floor80000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap420000_floor80000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap420000_floor80000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap420000_floor80000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap420000_floor80000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap420000_floor110000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap420000_floor110000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap420000_floor110000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap420000_floor110000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap420000_floor110000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap420000_floor110000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap520000_floor80000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap520000_floor80000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap520000_floor80000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap520000_floor80000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap520000_floor80000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap520000_floor80000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap520000_floor110000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap520000_floor110000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap520000_floor110000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap520000_floor110000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap520000_floor110000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap520000_floor110000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap650000_floor80000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap650000_floor80000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap650000_floor80000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap650000_floor80000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap650000_floor80000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap650000_floor80000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap650000_floor110000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap650000_floor110000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap650000_floor110000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap650000_floor110000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap650000_floor110000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap650000_floor110000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap800000_floor80000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap800000_floor80000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap800000_floor80000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap800000_floor80000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap800000_floor80000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap800000_floor80000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap800000_floor110000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap800000_floor110000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap800000_floor110000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap800000_floor110000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap800000_floor110000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap800000_floor110000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap950000_floor80000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap950000_floor80000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap950000_floor80000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap950000_floor80000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap950000_floor80000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap950000_floor80000,severe_high,2.2,0.7,261695.73875426492,0.0
v7_cvar_cap950000_floor110000,baseline_mid,1.0,0.45,78750.00000007877,0.0
v7_cvar_cap950000_floor110000,baseline_high,1.12,0.48,94080.0000000941,0.0
v7_cvar_cap950000_floor110000,adverse_mid,1.4,0.55,134719.35804106432,0.0
v7_cvar_cap950000_floor110000,adverse_high,1.65,0.58,166014.12244147528,0.0
v7_cvar_cap950000_floor110000,severe_mid,1.9,0.65,211948.48131444427,0.0
v7_cvar_cap950000_floor110000,severe_high,2.2,0.7,261695.73875426492,0.0
