scenario_id,macro_mean,macro_sd,rho,lgd_cycle,default_cycle
baseline_macro_calibrated,0.0,0.25,0.45,0.24,0.34
adverse_macro_calibrated,0.45,0.34,0.58,0.36,0.52
severe_macro_calibrated,0.9,0.42,0.7,0.5,0.7
