cvar_policy_id,risk_tolerance,cvar_penalty,beta,candidate_pool_n,solver_status,elapsed_seconds,n_funded,funded_exposure,realized_return_proxy_lgd45,objective_value,eta,formal_cvar_loss,mean_scenario_loss,max_scenario_loss
formal_cvar_rt0.155_pen0.00,0.155,0.0,0.9,20000,TerminationCondition.optimal,3.670105748999049,316,1000000.0,130365.9814934952,130424.04292163764,210800.0000002109,210800.0000002109,122723.83333345606,210800.0000002108
formal_cvar_rt0.155_pen0.25,0.155,0.25,0.9,20000,TerminationCondition.optimal,4.030767395999646,308,1000000.0,115696.1159171514,78012.78989268787,207173.58390956937,207173.58390956937,122025.15066742405,207173.58390956937
formal_cvar_rt0.155_pen0.50,0.155,0.5,0.9,20000,TerminationCondition.optimal,4.102660818000004,176,1000000.0,47160.05749991482,46345.55641684198,66545.62848429804,66545.62848429804,38741.62532812579,66545.62848429808
formal_cvar_rt0.155_pen1.00,0.155,1.0,0.9,20000,TerminationCondition.optimal,3.785807943000691,134,1000000.0,23415.579999874506,21701.51277347657,42644.702517522775,42644.702517522775,24826.951443596052,42644.70251752278
formal_cvar_rt0.165_pen0.00,0.165,0.0,0.9,20000,TerminationCondition.optimal,3.4101444379994064,322,1000000.0,145395.88700902875,133512.53258144445,223648.91219833746,223648.91219833746,130525.32446386572,223648.91219833738
formal_cvar_rt0.165_pen0.25,0.165,0.25,0.9,20000,TerminationCondition.optimal,3.3703971310005727,312,1000000.0,123887.57749998018,78037.53343123564,215475.45541754484,215475.45541754484,127770.29615856864,215475.45541754478
formal_cvar_rt0.165_pen0.50,0.165,0.5,0.9,20000,TerminationCondition.optimal,3.964114578999215,176,1000000.0,47160.05749991482,46345.55641684198,66545.62848429804,66545.62848429804,38741.62532812579,66545.62848429808
formal_cvar_rt0.165_pen1.00,0.165,1.0,0.9,20000,TerminationCondition.optimal,3.5754028920000565,134,1000000.0,23415.579999874506,21701.51277347657,42644.702517522775,42644.702517522775,24826.951443596052,42644.70251752278
formal_cvar_rt0.175_pen0.00,0.175,0.0,0.9,20000,TerminationCondition.optimal,4.082304894000117,335,1000000.0,148151.4909342384,136203.90115493833,235620.70551266562,235620.70551266562,138155.7048905287,235620.70551266556
formal_cvar_rt0.175_pen0.25,0.175,0.25,0.9,20000,TerminationCondition.optimal,3.408208573999218,312,1000000.0,123887.57749998018,78037.53343123564,215475.45541754484,215475.45541754484,127770.29615856864,215475.45541754478
formal_cvar_rt0.175_pen0.50,0.175,0.5,0.9,20000,TerminationCondition.optimal,3.508378435999475,176,1000000.0,47160.05749991482,46345.55641684198,66545.62848429804,66545.62848429804,38741.62532812579,66545.62848429808
formal_cvar_rt0.175_pen1.00,0.175,1.0,0.9,20000,TerminationCondition.optimal,3.572455699000784,134,1000000.0,23415.579999874506,21701.51277347657,42644.702517522775,42644.702517522775,24826.951443596052,42644.70251752278
