policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,floor_v11,tested_cvar_cap_v11
v11_cvar_topk18000_floor105000_cap165000,baseline_mid,1.0,0.45,49814.052959086075,0.0,105000.0,165000
v11_cvar_topk18000_floor105000_cap165000,baseline_high,1.12,0.48,59511.188601788155,0.0,105000.0,165000
v11_cvar_topk18000_floor105000_cap165000,adverse_mid,1.4,0.55,85196.63120436447,0.0,105000.0,165000
v11_cvar_topk18000_floor105000_cap165000,adverse_high,1.65,0.58,104594.71428571425,0.0,105000.0,165000
v11_cvar_topk18000_floor105000_cap165000,severe_mid,1.9,0.65,133580.0649350649,0.0,105000.0,165000
v11_cvar_topk18000_floor105000_cap165000,severe_high,2.2,0.7,164999.99999999994,0.0,105000.0,165000
v11_cvar_topk18000_floor105000_cap178124,baseline_mid,1.0,0.45,56626.42634645022,0.0,105000.0,178124
v11_cvar_topk18000_floor105000_cap178124,baseline_high,1.12,0.48,67649.70400855919,0.0,105000.0,178124
v11_cvar_topk18000_floor105000_cap178124,adverse_mid,1.4,0.55,96695.43359977985,0.0,105000.0,178124
v11_cvar_topk18000_floor105000_cap178124,adverse_high,1.65,0.58,116529.97294703795,0.0,105000.0,178124
v11_cvar_topk18000_floor105000_cap178124,severe_mid,1.9,0.65,146415.26335544416,0.0,105000.0,178124
v11_cvar_topk18000_floor105000_cap178124,severe_high,2.2,0.7,178123.99999999997,0.0,105000.0,178124
v11_cvar_topk18000_floor105000_cap210000,baseline_mid,1.0,0.45,71150.97530860265,0.0,105000.0,210000
v11_cvar_topk18000_floor105000_cap210000,baseline_high,1.12,0.48,85001.69850201062,0.0,105000.0,210000
v11_cvar_topk18000_floor105000_cap210000,adverse_mid,1.4,0.55,121301.86072152697,0.0,105000.0,210000
v11_cvar_topk18000_floor105000_cap210000,adverse_high,1.65,0.58,142960.85140587226,0.0,105000.0,210000
v11_cvar_topk18000_floor105000_cap210000,severe_mid,1.9,0.65,176047.22700506347,0.0,105000.0,210000
v11_cvar_topk18000_floor105000_cap210000,severe_high,2.2,0.7,209999.99999999974,0.0,105000.0,210000
