portfolio_label_v295,source_family,source_id,cap_share_v295,source_exposure_v295,source_share_v295,source_slack_v295,source_cap_violated_v295,claim_boundary_v295
broader_post_v293_multi_swap_milp,grade,A,0.8531348749298603,719000.0,0.8531339918720893,8.830577710172705e-07,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,grade,B,0.8531348749298603,35350.0,0.04194476580344694,0.8111901091264133,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,grade,C,0.8531348749298603,27000.0,0.03203702055708819,0.821097854372772,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,grade,D,0.8531348749298603,51925.0,0.06161193675654831,0.791522938173312,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,grade,E,0.8531348749298603,8500.0,0.010085728693898134,0.8430491462359622,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,grade,F,0.8531348749298603,1000.0,0.0011865563169291922,0.8519483186129311,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,0,0.9,758475.0,0.8999733024828691,2.6697517130913617e-05,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,1,0.9,50900.0,0.060395716531695884,0.8396042834683042,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,2,0.9,24000.0,0.028477351606300615,0.8715226483936994,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,3,0.9,9400.0,0.011153629379134408,0.8888463706208656,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,4,0.9,0.0,0.0,0.9,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,5,0.9,0.0,0.0,0.9,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,6,0.9,0.0,0.0,0.9,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,7,0.9,0.0,0.0,0.9,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,8,0.9,0.0,0.0,0.9,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,score_decile,9,0.9,0.0,0.0,0.9,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,income_band,0,0.85,6700.0,0.007949927323425587,0.8420500726765744,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,income_band,1,0.85,22625.0,0.026845836670522975,0.823154163329477,False,v295 broader bounded-pool source diagnostic only
broader_post_v293_multi_swap_milp,income_band,2,0.85,48950.0,0.05808193171368396,0.7919180682863161,False,v295 broader bounded-pool source diagnostic only
