artifact,kind,version_guess,path,exists,bytes
paper4_artifact_catalog.csv,table,unversioned,paper4/tables/paper4_artifact_catalog.csv,True,10407
paper4_best_online_policy_month_replay.parquet,table,unversioned,paper4/tables/paper4_best_online_policy_month_replay.parquet,True,7887
paper4_cate_exact_topk_value.csv,table,unversioned,paper4/tables/paper4_cate_exact_topk_value.csv,True,784
paper4_cate_policy_value_toy.csv,table,unversioned,paper4/tables/paper4_cate_policy_value_toy.csv,True,7531
paper4_causal_balance_diagnostics.csv,table,unversioned,paper4/tables/paper4_causal_balance_diagnostics.csv,True,1111
paper4_causal_high_rate_v4_balance.csv,table,v4,paper4/tables/paper4_causal_high_rate_v4_balance.csv,True,347
paper4_causal_high_rate_v4_dossier.csv,table,v4,paper4/tables/paper4_causal_high_rate_v4_dossier.csv,True,423
paper4_causal_high_rate_v4_outcomes.csv,table,v4,paper4/tables/paper4_causal_high_rate_v4_outcomes.csv,True,679
paper4_causal_high_rate_v4_overlap.csv,table,v4,paper4/tables/paper4_causal_high_rate_v4_overlap.csv,True,2132
paper4_causal_high_rate_v4_placebo.csv,table,v4,paper4/tables/paper4_causal_high_rate_v4_placebo.csv,True,193
paper4_causal_high_rate_v4_sensitivity.csv,table,v4,paper4/tables/paper4_causal_high_rate_v4_sensitivity.csv,True,1043
paper4_causal_treatment_identification_grid.csv,table,unversioned,paper4/tables/paper4_causal_treatment_identification_grid.csv,True,773
paper4_challenger_local_allocations.parquet,table,unversioned,paper4/tables/paper4_challenger_local_allocations.parquet,True,252003
paper4_challenger_local_bootstrap.csv,table,unversioned,paper4/tables/paper4_challenger_local_bootstrap.csv,True,18798
paper4_challenger_local_candidate_pool.parquet,table,unversioned,paper4/tables/paper4_challenger_local_candidate_pool.parquet,True,2938996
paper4_challenger_local_search.csv,table,unversioned,paper4/tables/paper4_challenger_local_search.csv,True,40001
paper4_claim_artifact_test_matrix.csv,table,unversioned,paper4/tables/paper4_claim_artifact_test_matrix.csv,True,1979
paper4_common_sample_path_pairwise_ci.csv,table,unversioned,paper4/tables/paper4_common_sample_path_pairwise_ci.csv,True,42715
paper4_common_sample_path_scenario_replay.csv,table,unversioned,paper4/tables/paper4_common_sample_path_scenario_replay.csv,True,32222
paper4_common_sample_paths_v4.parquet,table,unversioned,paper4/tables/paper4_common_sample_paths_v4.parquet,True,703356
paper4_cvar_oce_v4_allocations.parquet,table,v4,paper4/tables/paper4_cvar_oce_v4_allocations.parquet,True,28582
paper4_cvar_oce_v4_constraint_frontier.csv,table,v4,paper4/tables/paper4_cvar_oce_v4_constraint_frontier.csv,True,16158
paper4_cvar_oce_v4_scenario_losses.csv,table,v4,paper4/tables/paper4_cvar_oce_v4_scenario_losses.csv,True,4874
paper4_diagnostic_selector_results.csv,table,unversioned,paper4/tables/paper4_diagnostic_selector_results.csv,True,34932
paper4_dla_toy_horizon_summary.csv,table,unversioned,paper4/tables/paper4_dla_toy_horizon_summary.csv,True,28616
paper4_dla_toy_state_replay.parquet,table,unversioned,paper4/tables/paper4_dla_toy_state_replay.parquet,True,13696
paper4_dla_vs_static_policy_comparison.csv,table,unversioned,paper4/tables/paper4_dla_vs_static_policy_comparison.csv,True,255
paper4_exact_limited_topk_allocations.parquet,table,unversioned,paper4/tables/paper4_exact_limited_topk_allocations.parquet,True,53349
paper4_exact_limited_topk_policy_eval.csv,table,unversioned,paper4/tables/paper4_exact_limited_topk_policy_eval.csv,True,1244
paper4_exact_vs_proxy_comparison.csv,table,unversioned,paper4/tables/paper4_exact_vs_proxy_comparison.csv,True,2300
paper4_fairness_constraint_screen.csv,table,unversioned,paper4/tables/paper4_fairness_constraint_screen.csv,True,5970
paper4_fairness_policy_stress.csv,table,unversioned,paper4/tables/paper4_fairness_policy_stress.csv,True,74905
paper4_fairness_proxy_governance_grid.csv,table,unversioned,paper4/tables/paper4_fairness_proxy_governance_grid.csv,True,6283
paper4_fairness_v4_proxy_strategy.csv,table,v4,paper4/tables/paper4_fairness_v4_proxy_strategy.csv,True,402
paper4_fairness_v4_proxy_stress.csv,table,v4,paper4/tables/paper4_fairness_v4_proxy_stress.csv,True,88401
paper4_fairness_v4_proxy_summary.csv,table,v4,paper4/tables/paper4_fairness_v4_proxy_summary.csv,True,8296
paper4_full_universe_ifrs9_tail_eval.csv,table,unversioned,paper4/tables/paper4_full_universe_ifrs9_tail_eval.csv,True,13180
paper4_full_universe_ifrs9_tail_grid.parquet,table,unversioned,paper4/tables/paper4_full_universe_ifrs9_tail_grid.parquet,True,285194
paper4_full_universe_topk_allocations.parquet,table,unversioned,paper4/tables/paper4_full_universe_topk_allocations.parquet,True,70009
paper4_full_universe_topk_policy_eval.csv,table,unversioned,paper4/tables/paper4_full_universe_topk_policy_eval.csv,True,1204
paper4_full_universe_vs_exact_limited_comparison.csv,table,unversioned,paper4/tables/paper4_full_universe_vs_exact_limited_comparison.csv,True,904
paper4_ifrs9_lifetime_ecl_grid.parquet,table,unversioned,paper4/tables/paper4_ifrs9_lifetime_ecl_grid.parquet,True,2272815
paper4_ifrs9_loan_policy_grid.parquet,table,unversioned,paper4/tables/paper4_ifrs9_loan_policy_grid.parquet,True,818052
paper4_ifrs9_policy_stage_mix.csv,table,unversioned,paper4/tables/paper4_ifrs9_policy_stage_mix.csv,True,47851
paper4_ifrs9_stage_transition_stress.csv,table,unversioned,paper4/tables/paper4_ifrs9_stage_transition_stress.csv,True,51514
paper4_ifrs9_v2_policy_summary.csv,table,v2,paper4/tables/paper4_ifrs9_v2_policy_summary.csv,True,90507
paper4_ifrs9_v4_contractual_loan_level.parquet,table,v4,paper4/tables/paper4_ifrs9_v4_contractual_loan_level.parquet,True,439541
paper4_ifrs9_v4_contractual_policy_summary.csv,table,v4,paper4/tables/paper4_ifrs9_v4_contractual_policy_summary.csv,True,56668
paper4_ifrs9_v4_input_quality.csv,table,v4,paper4/tables/paper4_ifrs9_v4_input_quality.csv,True,271
paper4_ifrs9_v4_stage_summary.csv,table,v4,paper4/tables/paper4_ifrs9_v4_stage_summary.csv,True,431
paper4_loan_level_policy_evidence.parquet,table,unversioned,paper4/tables/paper4_loan_level_policy_evidence.parquet,True,17923
paper4_mdcp_policy_eval_v2.csv,table,unversioned,paper4/tables/paper4_mdcp_policy_eval_v2.csv,True,180501
paper4_mdcp_source_definitions.csv,table,unversioned,paper4/tables/paper4_mdcp_source_definitions.csv,True,169
paper4_mdcp_source_family_search.csv,table,unversioned,paper4/tables/paper4_mdcp_source_family_search.csv,True,7752
paper4_mdcp_v4_pooling_diagnostics.csv,table,v4,paper4/tables/paper4_mdcp_v4_pooling_diagnostics.csv,True,133076
paper4_mdcp_v4_source_coverage.csv,table,v4,paper4/tables/paper4_mdcp_v4_source_coverage.csv,True,120563
paper4_mdcp_worst_source_coverage.csv,table,unversioned,paper4/tables/paper4_mdcp_worst_source_coverage.csv,True,18072
paper4_mdcp_worst_source_frontier.csv,table,unversioned,paper4/tables/paper4_mdcp_worst_source_frontier.csv,True,16711
paper4_monthly_policy_replay.parquet,table,unversioned,paper4/tables/paper4_monthly_policy_replay.parquet,True,49844
paper4_monthly_replay.parquet,table,unversioned,paper4/tables/paper4_monthly_replay.parquet,True,11476
paper4_multi_period_policy_path.csv,table,unversioned,paper4/tables/paper4_multi_period_policy_path.csv,True,7466
paper4_multi_period_sample_path_search.csv,table,unversioned,paper4/tables/paper4_multi_period_sample_path_search.csv,True,18437
paper4_multi_period_solver_results.parquet,table,unversioned,paper4/tables/paper4_multi_period_solver_results.parquet,True,9808
paper4_next_wave_claim_artifact_matrix.csv,table,unversioned,paper4/tables/paper4_next_wave_claim_artifact_matrix.csv,True,1457
paper4_nonpromoted_lane_dashboard.csv,table,unversioned,paper4/tables/paper4_nonpromoted_lane_dashboard.csv,True,2515
paper4_oce_cvar_constraint_grid.csv,table,unversioned,paper4/tables/paper4_oce_cvar_constraint_grid.csv,True,1593
paper4_online_conformal_aci_replay.parquet,table,unversioned,paper4/tables/paper4_online_conformal_aci_replay.parquet,True,8438
paper4_online_conformal_coverage_regret_v2.csv,table,unversioned,paper4/tables/paper4_online_conformal_coverage_regret_v2.csv,True,252177
paper4_online_conformal_grade_replay.parquet,table,unversioned,paper4/tables/paper4_online_conformal_grade_replay.parquet,True,15241
paper4_online_conformal_intervals.parquet,table,unversioned,paper4/tables/paper4_online_conformal_intervals.parquet,True,6179655
paper4_online_conformal_method_policy_month.parquet,table,unversioned,paper4/tables/paper4_online_conformal_method_policy_month.parquet,True,10753
paper4_online_conformal_method_search.csv,table,unversioned,paper4/tables/paper4_online_conformal_method_search.csv,True,653
paper4_online_conformal_policy_replay.parquet,table,unversioned,paper4/tables/paper4_online_conformal_policy_replay.parquet,True,17398
paper4_online_conformal_v4_intervals.parquet,table,v4,paper4/tables/paper4_online_conformal_v4_intervals.parquet,True,16490370
paper4_online_conformal_v4_method_summary.csv,table,v4,paper4/tables/paper4_online_conformal_v4_method_summary.csv,True,721
paper4_online_conformal_v4_policy_month.parquet,table,v4,paper4/tables/paper4_online_conformal_v4_policy_month.parquet,True,28218
paper4_online_conformal_v4_source_month.parquet,table,v4,paper4/tables/paper4_online_conformal_v4_source_month.parquet,True,85303
paper4_overlap_policy_funded_sets.csv,table,unversioned,paper4/tables/paper4_overlap_policy_funded_sets.csv,True,1062
paper4_policy_class_registry.csv,table,unversioned,paper4/tables/paper4_policy_class_registry.csv,True,18837
paper4_policy_funded_set_composition.csv,table,unversioned,paper4/tables/paper4_policy_funded_set_composition.csv,True,121378
paper4_policy_level_evidence.parquet,table,unversioned,paper4/tables/paper4_policy_level_evidence.parquet,True,24804
paper4_policy_loan_level_evidence.parquet,table,unversioned,paper4/tables/paper4_policy_loan_level_evidence.parquet,True,257471
paper4_policy_loan_matrix.parquet,table,unversioned,paper4/tables/paper4_policy_loan_matrix.parquet,True,81119
paper4_policy_pairwise_bootstrap_ci.csv,table,unversioned,paper4/tables/paper4_policy_pairwise_bootstrap_ci.csv,True,9355
paper4_policy_universe.csv,table,unversioned,paper4/tables/paper4_policy_universe.csv,True,18058
paper4_regret_auditability_frontier.csv,table,unversioned,paper4/tables/paper4_regret_auditability_frontier.csv,True,1734
paper4_regret_auditability_pareto_v2.csv,table,unversioned,paper4/tables/paper4_regret_auditability_pareto_v2.csv,True,6155
paper4_regret_auditability_replay_v2.parquet,table,unversioned,paper4/tables/paper4_regret_auditability_replay_v2.parquet,True,29854
paper4_regret_auditability_v4_frontier.csv,table,v4,paper4/tables/paper4_regret_auditability_v4_frontier.csv,True,20979
paper4_return_ecl_tail_frontier.csv,table,unversioned,paper4/tables/paper4_return_ecl_tail_frontier.csv,True,9361
paper4_robust_satisficing_policy_eval.csv,table,unversioned,paper4/tables/paper4_robust_satisficing_policy_eval.csv,True,7207
paper4_sdam_v4_dynamic_solver_decisions.parquet,table,v4,paper4/tables/paper4_sdam_v4_dynamic_solver_decisions.parquet,True,29447
paper4_sdam_v4_dynamic_solver_state.parquet,table,v4,paper4/tables/paper4_sdam_v4_dynamic_solver_state.parquet,True,14222
paper4_sdam_v4_dynamic_solver_summary.csv,table,v4,paper4/tables/paper4_sdam_v4_dynamic_solver_summary.csv,True,655
paper4_selector_gate_sensitivity_grid.csv,table,unversioned,paper4/tables/paper4_selector_gate_sensitivity_grid.csv,True,6056
paper4_selector_gate_sensitivity_summary.csv,table,unversioned,paper4/tables/paper4_selector_gate_sensitivity_summary.csv,True,575
paper4_selector_v2_results.csv,table,v2,paper4/tables/paper4_selector_v2_results.csv,True,36762
paper4_selector_v4_governance_protocol.csv,table,v4,paper4/tables/paper4_selector_v4_governance_protocol.csv,True,615
paper4_selector_v4_results.csv,table,v4,paper4/tables/paper4_selector_v4_results.csv,True,68656
paper4_selector_v4_sensitivity.csv,table,v4,paper4/tables/paper4_selector_v4_sensitivity.csv,True,1793
paper4_sicr_rule_comparison.csv,table,unversioned,paper4/tables/paper4_sicr_rule_comparison.csv,True,51514
paper4_source_segment_registry.csv,table,unversioned,paper4/tables/paper4_source_segment_registry.csv,True,161293
paper4_spo_crpto_hybrid_results.csv,table,unversioned,paper4/tables/paper4_spo_crpto_hybrid_results.csv,True,2494
paper4_state_transition_toy.parquet,table,unversioned,paper4/tables/paper4_state_transition_toy.parquet,True,13696
paper4_table0_source_manifest.csv,table,unversioned,paper4/tables/paper4_table0_source_manifest.csv,True,17534
paper4_table10_policy_pairwise_differences.csv,table,unversioned,paper4/tables/paper4_table10_policy_pairwise_differences.csv,True,10035
paper4_table12_ifrs9_policy_full_eval.csv,table,unversioned,paper4/tables/paper4_table12_ifrs9_policy_full_eval.csv,True,32536
paper4_table13_monthly_policy_replay_summary.csv,table,unversioned,paper4/tables/paper4_table13_monthly_policy_replay_summary.csv,True,6654
paper4_table14_ifrs9_tail_satisficing_selector.csv,table,unversioned,paper4/tables/paper4_table14_ifrs9_tail_satisficing_selector.csv,True,34932
paper4_table1_policy_ecl_scenario.csv,table,unversioned,paper4/tables/paper4_table1_policy_ecl_scenario.csv,True,32275
paper4_table2_net_return_after_ecl.csv,table,unversioned,paper4/tables/paper4_table2_net_return_after_ecl.csv,True,10532
paper4_table3_tail_risk_oce_cvar_by_policy.csv,table,unversioned,paper4/tables/paper4_table3_tail_risk_oce_cvar_by_policy.csv,True,30701
paper4_table4_satisficing_screen.csv,table,unversioned,paper4/tables/paper4_table4_satisficing_screen.csv,True,35614
paper4_table5_temporal_replay_summary.csv,table,unversioned,paper4/tables/paper4_table5_temporal_replay_summary.csv,True,6646
paper4_table6_insights_factory_signal_registry.csv,table,unversioned,paper4/tables/paper4_table6_insights_factory_signal_registry.csv,True,4808
paper4_table7_research_lane_readiness.csv,table,unversioned,paper4/tables/paper4_table7_research_lane_readiness.csv,True,1028
paper4_table8_insight_to_policy_join_contract.csv,table,unversioned,paper4/tables/paper4_table8_insight_to_policy_join_contract.csv,True,1178
paper4_table9_policy_class_registry.csv,table,unversioned,paper4/tables/paper4_table9_policy_class_registry.csv,True,18837
