policy_id,sicr_rule_v36,stage2_share_v36,ecl_proxy_total_v36,ranking_delta_proxy_v36,production_ifrs9_staging_claim_allowed,claim_boundary_v36,stage2_penalty_v43,sicr_preference_score_v43,sicr_decision_v43,contractual_ifrs9_claim_allowed,claim_boundary_v43
paper1_economic_champion,absolute_pd_threshold_0p15,0.5432835820895522,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.14328358208955216,0.7650000000000001,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
paper1_economic_champion,absolute_pd_threshold_0p20,0.417910447761194,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.017910447761193993,0.9750000000000001,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
paper1_economic_champion,relative_pd_increase_proxy,0.3552238805970149,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.04477611940298515,0.9299999999999999,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
paper1_economic_champion,conformal_width_weak_source_composite,0.3970149253731343,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.0029850746268657025,1.0,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
paper1_economic_champion,scenario_stress_composite,0.4805970149253731,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.08059701492537308,0.8700000000000001,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,absolute_pd_threshold_0p15,0.3677142857142856,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.03228571428571442,0.9509214285714284,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,absolute_pd_threshold_0p20,0.2828571428571428,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.11714285714285722,0.8087857142857142,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,relative_pd_increase_proxy,0.2404285714285713,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.15957142857142873,0.7377178571428569,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,conformal_width_weak_source_composite,0.2687142857142856,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.13128571428571445,0.7850964285714284,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,scenario_stress_composite,0.3252857142857142,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.07471428571428584,0.8798535714285712,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,absolute_pd_threshold_0p15,0.3677142857142856,0.0,7.5,False,SICR sensitivity only; no production IFRS9 staging claim,0.03228571428571442,0.9509214285714284,reasonable_proxy_candidate,False,SICR sensitivity only; no production/contractual IFRS9 staging
