policy_a,policy_b,overlap_loans,jaccard_overlap
paper1_economic_champion,paper1_economic_champion,335,1.0
paper1_economic_champion,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,245,0.5568181818181818
paper1_economic_champion,v13_spo_regret_audit_guarded,95,0.14937106918238993
paper1_economic_champion,v13_fvi_return_recovery,58,0.060860440713536204
paper1_economic_champion,v13_mdcp_empirical_return_recovery,156,0.3305084745762712
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,paper1_economic_champion,245,0.5568181818181818
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,350,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_spo_regret_audit_guarded,128,0.20711974110032363
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_fvi_return_recovery,81,0.08571428571428572
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_mdcp_empirical_return_recovery,182,0.3947939262472885
v13_spo_regret_audit_guarded,paper1_economic_champion,95,0.14937106918238993
v13_spo_regret_audit_guarded,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,128,0.20711974110032363
v13_spo_regret_audit_guarded,v13_spo_regret_audit_guarded,396,1.0
v13_spo_regret_audit_guarded,v13_fvi_return_recovery,90,0.09164969450101833
v13_spo_regret_audit_guarded,v13_mdcp_empirical_return_recovery,70,0.11308562197092084
v13_fvi_return_recovery,paper1_economic_champion,58,0.060860440713536204
v13_fvi_return_recovery,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,81,0.08571428571428572
v13_fvi_return_recovery,v13_spo_regret_audit_guarded,90,0.09164969450101833
v13_fvi_return_recovery,v13_fvi_return_recovery,676,1.0
v13_fvi_return_recovery,v13_mdcp_empirical_return_recovery,54,0.05901639344262295
v13_mdcp_empirical_return_recovery,paper1_economic_champion,156,0.3305084745762712
v13_mdcp_empirical_return_recovery,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,182,0.3947939262472885
v13_mdcp_empirical_return_recovery,v13_spo_regret_audit_guarded,70,0.11308562197092084
v13_mdcp_empirical_return_recovery,v13_fvi_return_recovery,54,0.05901639344262295
v13_mdcp_empirical_return_recovery,v13_mdcp_empirical_return_recovery,293,1.0
