training_id,epoch,split,months,mean_decision_regret,total_decision_regret,mean_true_value,mean_pred_value_under_true_score,claim_scope_v12
v12_spo_style_temporal_regret_surrogate,1,train,19,525.477995796041,9458.603924328738,-687.9634692904856,-1146.2509865364398,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,1,validation,6,21.112416921869368,105.56208460934684,-483.4198822657248,-259.193458960044,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,1,test,8,55.815329742733574,167.44598922820072,-143.45293580855585,-188.77331304137,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,2,train,19,451.27910366333515,8123.023865940033,-687.9634692904856,-1083.6751196653938,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,2,validation,6,26.46643946703274,132.3321973351637,-483.4198822657248,-298.62628222594356,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,2,test,8,0.0,0.0,-143.45293580855585,-122.32966087341576,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,3,train,19,473.3706062948305,8520.670913306949,-687.9634692904856,-1126.4689285914674,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,3,validation,6,37.25563501541708,186.2781750770854,-483.4198822657248,-317.6236738497159,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,3,test,8,0.0,0.0,-143.45293580855585,-128.63039913630553,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,4,train,19,507.4429597610701,9133.973275699262,-687.9634692904856,-1156.5727703918917,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,4,validation,6,13.750035821526662,68.75017910763331,-483.4198822657248,-295.7482966598317,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,4,test,8,0.0,0.0,-143.45293580855585,-126.81410070899938,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,5,train,19,481.9020069510077,8674.23612511814,-687.9634692904856,-1118.507573970355,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,5,validation,6,13.750035821526662,68.75017910763331,-483.4198822657248,-288.2954406765245,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,5,test,8,0.0,0.0,-143.45293580855585,-126.81410070899938,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,6,train,19,495.025287143149,8910.455168576682,-687.9634692904856,-1130.1819262836298,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,6,validation,6,13.750035821526662,68.75017910763331,-483.4198822657248,-289.21073451571476,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,6,test,8,0.0,0.0,-143.45293580855585,-128.63039913630553,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,7,train,19,509.9719561740645,9179.49521113316,-687.9634692904856,-1143.30876036703,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,7,validation,6,13.750035821526662,68.75017910763331,-483.4198822657248,-308.5308509435717,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
v12_spo_style_temporal_regret_surrogate,7,test,8,0.0,0.0,-143.45293580855585,-139.12535164622497,structured_temporal_regret_training_not_differentiable_spo_plus_theorem
