policy_id,macro_regime_v15,n_paths,final_wealth_mean,final_wealth_p05,cumulative_losses_mean,cumulative_losses_p95,defaults_mean,claim_scope
paper1_economic_champion,baseline_internal,32,1198652.4766058996,1160307.2321151206,70445.43955402533,100349.84240843501,99.28125,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,macro_stress_internal,32,1136527.6274625417,1087311.3831423502,121576.14795340058,158944.7111144241,134.4375,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,mild_stress_internal,32,1181942.0168124314,1137088.2867395657,82958.14721312531,112128.49436947922,107.03125,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,vintage_stress_internal,32,1165154.6360792078,1120261.7114511756,97750.6051331259,130523.3720272004,115.9375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline_internal,32,1188519.6391709084,1156445.035554585,50624.86722648059,71553.95951559536,79.5625,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,macro_stress_internal,32,1144474.3414996702,1099533.2443246273,88394.07154753832,125218.55956963125,109.53125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,mild_stress_internal,32,1179413.3835243366,1146204.3361367711,57719.345540483984,80847.38128781591,85.5,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,vintage_stress_internal,32,1168686.6179912305,1137021.0482788016,67355.51935236374,91351.11238164325,91.71875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline_internal,32,1188519.6391709084,1156445.035554585,50624.86722648059,71553.95951559536,79.5625,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,macro_stress_internal,32,1144474.3414996702,1099533.2443246273,88394.07154753832,125218.55956963125,109.53125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,mild_stress_internal,32,1179413.3835243366,1146204.3361367711,57719.345540483984,80847.38128781591,85.5,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,vintage_stress_internal,32,1168686.6179912305,1137021.0482788016,67355.51935236374,91351.11238164325,91.71875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline_internal,32,1162321.343434037,1127626.9462151167,52812.48874487822,77661.94343212305,81.9375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,macro_stress_internal,32,1128139.3349247323,1086748.098963336,83475.57742204216,114685.60841661946,109.9375,path_family_sensitivity_internal_not_forecast
