policy_id,scenario,alpha_proxy,ecl,provision,stage2_share,adverse_cost,n_funded,source_artifact,status
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,baseline,0.1,68951.55677043839,68951.55677043839,0.31719332969743813,0.0,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,adverse,0.1,86189.44596304798,86189.44596304798,0.31719332969743813,17237.889192609597,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,severe,0.1,110322.49083270143,110322.49083270143,0.31719332969743813,41370.93406226304,337,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,baseline,0.1,69156.16079646343,69156.16079646343,0.31719332969743813,0.0,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,adverse,0.1,86445.20099557929,86445.20099557929,0.31719332969743813,17289.040199115858,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,severe,0.1,110649.8572743415,110649.8572743415,0.31719332969743813,41493.69647787807,338,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,baseline,0.1,70179.18092658863,70179.18092658863,0.31719332969743813,0.0,343,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,adverse,0.1,87723.97615823578,87723.97615823578,0.31719332969743813,17544.79523164715,343,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,severe,0.1,112286.68948254181,112286.68948254181,0.31719332969743813,42107.50855595319,343,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,0.1,67723.93261428815,67723.93261428815,0.31719332969743813,0.0,331,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
