seed_pair_rank_v351,seed_added_loan_id_v351,seed_dropped_loan_id_v351,ordered_second_order_rows_v351,return_improving_rows_v351,budget_return_rows_v351,source_exact_rows_v351,cvar_feasible_entering_rows_v351,best_source_exact_return_delta_v351,best_source_exact_cvar90_v351,claim_boundary_v351,grade_source_feasible_alone_rows_v351,score_decile_source_feasible_alone_rows_v351,income_band_source_feasible_alone_rows_v351,dti_band_source_feasible_alone_rows_v351,period_source_feasible_alone_rows_v351,state_top20_source_feasible_alone_rows_v351
1,161455148,159706782,745450,413501,144318,36,0,3.9478123307014403,96487.12048220904,one v348 source-exact row used as seed for second-order branch-price screen,88,9674,144318,144318,144318,144318
2,148145784,140423185,745280,413199,144145,13,0,2.864836722096804,96391.72454582952,one v348 source-exact row used as seed for second-order branch-price screen,65,9504,144145,144145,144145,144145
3,148145784,127648167,745280,412335,143653,9,0,2.446156096236379,96413.18935239663,one v348 source-exact row used as seed for second-order branch-price screen,58,9440,143653,143653,143653,143653
4,139234645,148128009,745280,413345,144120,13,0,2.864836722096806,96458.12962576654,one v348 source-exact row used as seed for second-order branch-price screen,62,9455,144120,144120,144120,144120
5,161983601,148128009,745280,413077,143958,12,0,2.729889017837033,96462.45292594508,one v348 source-exact row used as seed for second-order branch-price screen,60,9431,143958,143958,143958,143958
6,161494495,159706782,745450,410247,142407,13,0,2.3693113410968625,96555.39391737993,one v348 source-exact row used as seed for second-order branch-price screen,61,9420,142407,142407,142407,142407
7,148145784,148017643,745280,410929,142841,8,0,1.7163279674188345,96397.9741468058,one v348 source-exact row used as seed for second-order branch-price screen,56,9353,142841,142841,142841,142841
8,139234645,147190807,745280,412136,143440,9,0,2.2589629441911843,96412.40524445356,one v348 source-exact row used as seed for second-order branch-price screen,57,9366,143440,143440,143440,143440
9,144038628,159706782,745450,409878,142194,11,0,2.1867156045521643,96559.69586905671,one v348 source-exact row used as seed for second-order branch-price screen,59,9400,142194,142194,142194,142194
10,161983601,147190807,745280,411871,143271,8,0,2.1240152399314116,96416.72854463212,one v348 source-exact row used as seed for second-order branch-price screen,56,9351,143271,143271,143271,143271
11,163545352,140423185,745280,410041,142320,6,0,1.4590803871067237,96417.77697489272,one v348 source-exact row used as seed for second-order branch-price screen,54,9294,142320,142320,142320,142320
12,161455148,162228701,745450,409199,141812,8,0,1.8408242488606152,96498.32055735847,one v348 source-exact row used as seed for second-order branch-price screen,56,9357,141812,141812,141812,141812
