hidden_bias_shift,att_default_ipw,lower,upper,sign_stable
0.0,-0.018181028594431686,-0.018181028594431686,-0.018181028594431686,True
0.005,-0.018181028594431686,-0.023181028594431687,-0.013181028594431685,True
0.01,-0.018181028594431686,-0.028181028594431688,-0.008181028594431686,True
0.015,-0.018181028594431686,-0.033181028594431686,-0.003181028594431687,True
0.02,-0.018181028594431686,-0.03818102859443169,0.0018189714055683141,False
0.025,-0.018181028594431686,-0.04318102859443169,0.006818971405568315,False
0.03,-0.018181028594431686,-0.048181028594431685,0.011818971405568313,False
0.035,-0.018181028594431686,-0.05318102859443169,0.016818971405568317,False
0.04,-0.018181028594431686,-0.05818102859443169,0.021818971405568315,False
0.045,-0.018181028594431686,-0.06318102859443168,0.026818971405568312,False
0.05,-0.018181028594431686,-0.06818102859443169,0.031818971405568316,False
0.055,-0.018181028594431686,-0.07318102859443168,0.036818971405568314,False
0.06,-0.018181028594431686,-0.07818102859443168,0.04181897140556831,False
