policy_id,return_weight,pd_lgd_penalty_weight,width_penalty_weight,source_penalty_weight,reinvestment_weight,stage2_penalty_weight,policy_class,bellman_exact_claim,claim_boundary,rollout_depth_proxy_v28
v24_adp_rollout_return_value,1.0,0.4,0.08,0.1,0.05,0.04,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,1
v24_adp_rollout_tail_value,0.75,0.9,0.15,0.1,0.02,0.08,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,1
v24_adp_rollout_source_ecl_value,0.8,0.55,0.12,0.35,0.03,0.12,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,1
v24_adp_rollout_reinvestment_value,0.85,0.45,0.07,0.12,0.2,0.05,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,1
v28_adp_depth2_tail_source,0.7,1.05,0.22,0.3,0.08,0.15,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,2
v28_adp_depth2_reinvestment_guarded,0.9,0.55,0.12,0.18,0.35,0.08,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,2
v28_adp_depth3_balanced,0.82,0.72,0.18,0.22,0.2,0.12,DLA/ADP-rollout-approx,False,rollout/FVI approximation; not exact Bellman optimality,3
