policy_id,lgd,mean_loss_rate,entropic_oce_theta5,cvar_90_loss_rate,cvar_95_loss_rate,cvar_99_loss_rate,funded_set_repriced_return,weighted_default_rate,status
paper1_economic_champion,0.35,-0.1769746634158451,-0.1086137493409798,0.0492192047220989,0.2247716999999997,0.35,176974.6634158451,0.03645,diagnostic_scaled_from_paper1_A12
paper1_economic_champion,0.45,-0.1733296634158451,-0.066526016116723,0.0856692047220989,0.2976716999999997,0.4499999999999999,173329.6634158451,0.03645,diagnostic_scaled_from_paper1_A12
paper1_economic_champion,0.6,-0.1678621634158451,0.0196657130747657,0.1403442047220988,0.4070216999999994,0.5999999999999999,167862.1634158451,0.03645,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.35,-0.17585864820135996,-0.10792882306720021,0.048908824805253666,0.2233542731653106,0.34779287431584494,175858.64820135993,0.03545,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.45,-0.17223663383884208,-0.06610649817719233,0.08512896843043237,0.295794560415668,0.4471622669775148,172236.63383884207,0.03545,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.6,-0.16680361229506524,0.0195416996449813,0.13945918386820033,0.4044549912912038,0.5962163559700198,166803.61229506528,0.03545,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.35,-0.17580422851859484,-0.10789542435537909,0.04889368990709803,0.22328515590088144,0.34768524936773,175804.22851859484,0.03545,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.45,-0.17218333499303662,-0.06608604143709847,0.08510262516268019,0.29570302641204577,0.4470238920442242,172183.3349930366,0.03545,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.6,-0.16675199470469929,0.019535652441126115,0.13941602804605335,0.4043298321787919,0.5960318560589656,166751.9947046993,0.03545,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.35,-0.1757265846038814,-0.1078477723552127,0.048872096015294846,0.22318654204075059,0.3475316942224613,175726.5846038814,0.04425,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.45,-0.1721072902454789,-0.06605685454547289,0.08506503959931974,0.29557242920880034,0.4468264640003073,172107.29024547891,0.04425,diagnostic_scaled_from_paper1_A12
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.6,-0.16667834870787515,0.019527024522760377,0.13935445497535698,0.4041512599608747,0.5957686186670763,166678.34870787518,0.04425,diagnostic_scaled_from_paper1_A12
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.35,-0.1752479163763372,-0.10755400176748843,0.048738971481925325,0.22257859585701756,0.34658503962000664,175247.91637633718,0.038067,diagnostic_scaled_from_paper1_A12
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.45,-0.1716384807494374,-0.06587691980450183,0.08483332775092316,0.29476730839501325,0.44560933665429414,171638.4807494374,0.038067,diagnostic_scaled_from_paper1_A12
