policy_id,candidate_family,wealth_score_v44,tail_score_v44,auditability_score_v44,regret_score_v44,claim_safety_v44,full_candidate_score_v44,paper4_working_champion_candidate_v44,decision_v44,paper1_promotion_allowed_v44,claim_boundary_v44
v24_adp_rollout_tail_value::v43_depth3_reinvestment_tail,dla_adp_rollout_v43,0.7644941682067908,0.9523809523809523,0.65,0.45,True,0.7649434885572753,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_tail_value::v43_depth2_cash_tail_source,dla_adp_rollout_v43,0.7644226534865101,0.9523809523809523,0.65,0.45,True,0.7649220341411911,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_tail_value::v43_depth2_ecl_source_guard,dla_adp_rollout_v43,0.7470486335967963,0.9523809523809523,0.65,0.45,True,0.7597098281742769,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_reinvestment_value::v43_depth3_reinvestment_tail,dla_adp_rollout_v43,0.7518155689974418,0.9047619047619048,0.65,0.45,True,0.7492351468897087,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_reinvestment_value::v43_depth2_cash_tail_source,dla_adp_rollout_v43,0.7518055740937665,0.9047619047619048,0.65,0.45,True,0.7492321484186061,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_reinvestment_value::v43_depth2_ecl_source_guard,dla_adp_rollout_v43,0.7344090574697278,0.9047619047619048,0.65,0.45,True,0.7440131934313945,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_return_value::v43_depth2_cash_tail_source,dla_adp_rollout_v43,0.7372069333099316,0.8571428571428572,0.65,0.45,True,0.7329477942786937,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v24_adp_rollout_return_value::v43_depth3_reinvestment_tail,dla_adp_rollout_v43,0.73703907794276,0.8571428571428572,0.65,0.45,True,0.7328974376685423,False,dynamic_method_lane_requires_common_path_validation,False,Paper 4 lab registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,prior_registry,0.4765625,0.99609375,0.4273809523809523,0.5,True,0.6524683779761904,False,serious_tail_challenger,False,Paper 4 lab registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,prior_registry,0.4765625,0.99609375,0.4273809523809523,0.5,True,0.6524683779761904,False,serious_tail_challenger,False,Paper 4 lab registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cvar_oce_frontier_v41,1.0,0.1288512498088401,0.5,0.55,True,0.61471281245221,False,review_or_park,False,Paper 4 lab registry only; no final promotion
v13_fvi_capital_guarded,prior_registry,0.0078125,1.0,0.8499999999999999,0.5,True,0.59734375,False,serious_tail_challenger,False,Paper 4 lab registry only; no final promotion
v13_fvi_bellman_rollout,prior_registry,0.0078125,1.0,0.8333333333333333,0.5,True,0.5940104166666667,False,serious_tail_challenger,False,Paper 4 lab registry only; no final promotion
