loan_id,loan_amnt,grade,score_decile,income_band,dti_band,period,state_top20,mean_return_v345,pricing_block_ids_v345,tight_block_count_v345,return_improving_drop_rows_v345,budget_return_drop_rows_v345,grade_source_feasible_drop_rows_v345,score_decile_source_feasible_drop_rows_v345,joint_tight_source_feasible_drop_rows_v345,all_source_prefilter_drop_rows_v345,best_budget_return_drop_loan_id_v345,best_budget_return_delta_v345,best_budget_return_drop_mean_return_v345,claim_boundary_v345
165382274,40000.0,A,0,4,0,2020,WA,883.9433199290119,grade=A|score_decile=0,2,169,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
138240169,35000.0,A,0,4,0,2018,GA,858.3018037609215,grade=A|score_decile=0,2,169,1,0,0,0,0,136478763,5.858352869374016,852.4434508915475,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
161116709,35000.0,A,0,4,2,2019,CA,853.4116469305155,grade=A|score_decile=0,2,169,1,0,0,0,0,136478763,0.9681960389680171,852.4434508915475,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
141424646,40000.0,A,0,4,0,2018,FL,825.3348309909135,grade=A|score_decile=0,2,168,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
142544106,40000.0,A,0,4,0,2018,FL,825.3348309909135,grade=A|score_decile=0,2,168,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
142971016,40000.0,A,0,4,1,2018,VA,822.3274723115259,grade=A|score_decile=0,2,168,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
133736427,40000.0,A,0,4,0,2018,WA,793.2732222880768,grade=A|score_decile=0,2,168,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
127802033,40000.0,A,0,4,0,2018,IN,787.7081417758745,grade=A|score_decile=0,2,168,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
137219542,40000.0,A,0,4,0,2018,FL,758.8133306608761,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
131524920,40000.0,A,0,4,0,2018,CA,741.8792481464542,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
129766898,40000.0,A,0,4,0,2018,NC,702.3123943909586,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,candidate-level v338 source-tight pricing diagnostic; not a branch-price certificate
