policy_id,n_paths,final_state_value_mean,final_state_value_p05,final_cash_mean,cumulative_realized_loss_mean,cumulative_expected_loss_mean,cumulative_funded_exposure_mean,stored_decision_rows,unique_funded_loans,baseline_policy_id,delta_state_value_vs_static,delta_loss_vs_static,adp_scope_v11
v11_adp_bellman_proxy,32,993810.0817260299,979545.4067432383,143563.41877296052,12998.055789334807,32411.849722060746,1407806.25,29709,1017,v11_static_reference,210593.95458364417,-94479.1091322181,linear_value_proxy_rollout_not_bellman_optimality
v11_adp_capital_guarded,32,996563.901546578,987038.7045220318,171020.73590512245,10959.943660361474,30625.882629334203,1349814.0625,29300,991,v11_static_reference,213347.77440419234,-96517.22126119143,linear_value_proxy_rollout_not_bellman_optimality
v11_adp_return_recovery,32,997737.3472703197,989738.794488357,127718.06382768766,12812.290690866861,33945.072940115744,1447769.53125,29373,1011,v11_static_reference,214521.220127934,-94664.87423068604,linear_value_proxy_rollout_not_bellman_optimality
v11_static_reference,32,783216.1271423857,539185.9728991872,100109.17649779943,107477.1649215529,298031.5576420817,1292395.3125,1455,56,v11_static_reference,0.0,0.0,linear_value_proxy_rollout_not_bellman_optimality
