policy_id,expanded_scope,n_funded,funded_exposure,realized_return_proxy_lgd45,expected_loss_mean,expected_loss_max,cvar90_expected_loss_v5,return_after_cvar90_v5,prob_beats_paper1_correlated_baseline,risk_tolerance,gamma,uncertainty_aversion,regret_return_v5,cvar_excess_vs_best_v5,pareto_cvar_return_v5
paper4_v4_local_rt0p1700_g0p500_u0p100,100_policy_exact_allocations_expected_loss,348,1000000.0,171334.7083294575,231934.04260294297,359915.1936242655,359915.1936242655,-188580.485294808,0.668,0.17,0.5,0.1,6713.394277793879,1441.2996191122802,True
paper4_v4_local_rt0p1700_g0p500_u0p075,100_policy_exact_allocations_expected_loss,345,1000000.0,170021.31140035065,231757.82350468295,358965.10153293516,358965.10153293516,-188943.79013258452,0.672,0.17,0.5,0.075,8026.791206900729,491.2075277819531,True
paper4_v4_local_rt0p1700_g0p500_u0p050,100_policy_exact_allocations_expected_loss,343,1000000.0,169315.7324273321,231667.15643378292,358473.8940051532,358473.8940051532,-189158.1615778211,0.676,0.17,0.5,0.05,8732.370179919264,0.0,True
paper4_v4_local_rt0p1725_g0p500_u0p100,100_policy_exact_allocations_expected_loss,343,1000000.0,173680.69742503017,234887.6254230859,363431.15107591625,363431.15107591625,-189750.45365088608,0.664,0.1725,0.5,0.1,4367.405182221206,4957.257070763037,True
paper4_v4_local_rt0p1700_g0p475_u0p100,100_policy_exact_allocations_expected_loss,341,1000000.0,174431.6433553046,236926.46579189025,365637.7163765421,365637.7163765421,-191206.0730212375,0.64,0.17,0.475,0.1,3616.4592519467697,7163.822371388902,True
paper4_v4_local_rt0p1750_g0p500_u0p075,100_policy_exact_allocations_expected_loss,341,1000000.0,174556.0224913794,237710.75755277957,366240.307648939,366240.307648939,-191684.2851575596,0.608,0.175,0.5,0.075,3492.0801158719696,7766.413643785811,True
paper4_v4_local_rt0p1750_g0p500_u0p100,100_policy_exact_allocations_expected_loss,340,1000000.0,174757.92155780335,237784.60430321586,366639.00436522893,366639.00436522893,-191881.08280742558,0.608,0.175,0.5,0.1,3290.1810494480305,8165.11036007572,True
paper4_v4_local_rt0p1725_g0p475_u0p100,100_policy_exact_allocations_expected_loss,340,1000000.0,175568.70111044555,239954.78310607135,369071.57550123194,369071.57550123194,-193502.8743907864,0.664,0.1725,0.475,0.1,2479.4014968058327,10597.68149607873,True
paper4_v4_local_rt0p1725_g0p475_u0p075,100_policy_exact_allocations_expected_loss,339,1000000.0,175419.62596103313,239937.40231924696,368961.53712877026,368961.53712877026,-193541.91116773713,0.648,0.1725,0.475,0.075,2628.476646218245,10487.643123617047,True
paper4_v4_local_rt0p1775_g0p500_u0p075,100_policy_exact_allocations_expected_loss,339,1000000.0,175710.54583156918,240687.54704363926,369879.4643341055,369879.4643341055,-194168.9185025363,0.584,0.1775,0.5,0.075,2337.5567756821983,11405.570328952279,True
paper4_v4_local_rt0p1775_g0p500_u0p100,100_policy_exact_allocations_expected_loss,340,1000000.0,175874.51929404918,240723.47584199332,370075.1993525536,370075.1993525536,-194200.6800585044,0.608,0.1775,0.5,0.1,2173.5833132021944,11601.305347400368,True
paper4_v4_local_rt0p1700_g0p450_u0p100,100_policy_exact_allocations_expected_loss,339,1000000.0,176079.05689101736,242329.44985780766,371883.95125451137,371883.95125451137,-195804.894363494,0.58,0.17,0.45,0.1,1969.0457162340172,13410.057249358157,True
paper4_v4_local_rt0p1725_g0p450_u0p075,100_policy_exact_allocations_expected_loss,337,1000000.0,176822.00543080445,245420.88784757376,374984.22699674254,374984.22699674254,-198162.2215659381,0.544,0.1725,0.45,0.075,1226.0971764469286,16510.332991589326,True
paper4_v4_local_rt0p1725_g0p450_u0p100,100_policy_exact_allocations_expected_loss,337,1000000.0,176892.4809693785,245471.12165519682,375365.04804318177,375365.04804318177,-198472.56707380328,0.568,0.1725,0.45,0.1,1155.621637872886,16891.15403802856,True
paper4_v4_local_rt0p1775_g0p475_u0p050,100_policy_exact_allocations_expected_loss,336,1000000.0,177028.73463921354,245965.2221175196,375627.3661142688,375627.3661142688,-198598.63147505524,0.528,0.1775,0.475,0.05,1019.3679680378409,17153.472109115566,True
paper4_v4_local_rt0p1775_g0p475_u0p075,100_policy_exact_allocations_expected_loss,337,1000000.0,177061.79107749835,245994.54676264361,375803.8889002702,375803.8889002702,-198742.09782277187,0.552,0.1775,0.475,0.075,986.3115297530312,17329.994895117008,True
paper4_v4_local_rt0p1775_g0p475_u0p100,100_policy_exact_allocations_expected_loss,337,1000000.0,177097.5721843643,246022.7558222219,375988.1719874508,375988.1719874508,-198890.5998030865,0.536,0.1775,0.475,0.1,950.5304228870664,17514.277982297586,True
paper4_v4_local_rt0p1700_g0p425_u0p050,100_policy_exact_allocations_expected_loss,338,1000000.0,178048.10260725138,248925.8305761977,379303.2512734832,379303.2512734832,-201255.14866623183,0.528,0.17,0.425,0.05,0.0,20829.35726833,True
paper4_v4_local_rt0p1700_g0p425_u0p025,100_policy_exact_allocations_expected_loss,338,1000000.0,177295.43,248901.9901970613,379091.23095659504,379091.23095659504,-201795.80095659505,0.516,0.17,0.425,0.025,752.6726072513848,20617.33695144183,True
paper4_v4_local_rt0p1700_g0p500_u0p025,100_policy_exact_allocations_expected_loss,343,1000000.0,169886.8565354871,232386.05363148588,359554.60965186113,359554.60965186113,-189667.75311637402,0.636,0.17,0.5,0.025,8161.246071764268,1080.7156467079185,False
paper4_v4_local_rt0p1700_g0p500_u0p000,100_policy_exact_allocations_expected_loss,344,1000000.0,169603.6655613019,232357.26452240188,359401.31508343504,359401.31508343504,-189797.64952213314,0.668,0.17,0.5,0.0,8444.437045949482,927.4210782818263,False
paper4_v4_local_rt0p1725_g0p500_u0p075,100_policy_exact_allocations_expected_loss,345,1000000.0,171175.733195865,234734.29052873122,362602.704590937,362602.704590937,-191426.971395072,0.648,0.1725,0.5,0.075,6872.369411386375,4128.8105857837945,False
paper4_v4_local_rt0p1725_g0p500_u0p050,100_policy_exact_allocations_expected_loss,344,1000000.0,170470.1542228465,234643.62345783119,362111.49706315517,362111.49706315517,-191641.34284030867,0.648,0.1725,0.5,0.05,7577.948384404881,3637.603058001958,False
paper4_v4_local_rt0p1700_g0p475_u0p075,100_policy_exact_allocations_expected_loss,342,1000000.0,173262.65358311104,236854.80833466555,365194.23407642846,365194.23407642846,-191931.58049331742,0.668,0.17,0.475,0.075,4785.44902414034,6720.340071275248,False
paper4_v4_local_rt0p1725_g0p500_u0p025,100_policy_exact_allocations_expected_loss,346,1000000.0,170912.12833081698,235362.52065553417,363192.212709863,363192.212709863,-192280.084379046,0.64,0.1725,0.5,0.025,7135.974276434397,4718.31870470976,False
paper4_v4_local_rt0p1750_g0p500_u0p050,100_policy_exact_allocations_expected_loss,340,1000000.0,173047.1409540687,237620.09048187948,365749.10012115707,365749.10012115707,-192701.95916708838,0.616,0.175,0.5,0.05,5000.9616531826905,7275.2061160038575,False
paper4_v4_local_rt0p1725_g0p500_u0p000,100_policy_exact_allocations_expected_loss,347,1000000.0,170271.60980569513,235333.73154645017,363038.918141437,363038.918141437,-192767.30833574187,0.604,0.1725,0.5,0.0,7776.492801556247,4565.024136283784,False
paper4_v4_local_rt0p1700_g0p475_u0p050,100_policy_exact_allocations_expected_loss,341,1000000.0,171238.32441542228,236732.2396899616,364423.7754865028,364423.7754865028,-193185.45107108052,0.604,0.17,0.475,0.05,6809.7781918291,5949.881481349585,False
paper4_v4_local_rt0p1700_g0p475_u0p000,100_policy_exact_allocations_expected_loss,343,1000000.0,171759.67280928153,237425.75640368136,365237.2475652722,365237.2475652722,-193477.57475599067,0.612,0.17,0.475,0.0,6288.429797969846,6763.353560118994,False
paper4_v4_local_rt0p1725_g0p475_u0p050,100_policy_exact_allocations_expected_loss,338,1000000.0,174654.63169441232,239814.83367454304,368191.0785388446,368191.0785388446,-193536.44684443227,0.624,0.1725,0.475,0.05,3393.470912839053,9717.184533691383,False
paper4_v4_local_rt0p1750_g0p500_u0p025,100_policy_exact_allocations_expected_loss,343,1000000.0,173158.21762633137,238338.9876795825,366829.81576786493,366829.81576786493,-193671.59814153356,0.6,0.175,0.5,0.025,4889.884980920004,8355.921762711718,False
paper4_v4_local_rt0p1700_g0p475_u0p025,100_policy_exact_allocations_expected_loss,345,1000000.0,171111.0652649821,237498.1150520576,365684.0568226572,365684.0568226572,-194572.99155767506,0.632,0.17,0.475,0.025,6937.037342269265,7210.162817503966,False
paper4_v4_local_rt0p1725_g0p475_u0p025,100_policy_exact_allocations_expected_loss,342,1000000.0,174336.04133148163,240580.70903663902,369451.3598749989,369451.3598749989,-195115.3185435173,0.568,0.1725,0.475,0.025,3712.0612757697527,10977.465869845706,False
paper4_v4_local_rt0p1775_g0p500_u0p050,100_policy_exact_allocations_expected_loss,338,1000000.0,174204.3726836744,240596.5575059278,369386.703179159,369386.703179159,-195182.33049548464,0.572,0.1775,0.5,0.05,3843.7299235769897,10912.809174005815,False
paper4_v4_local_rt0p1750_g0p500_u0p000,100_policy_exact_allocations_expected_loss,345,1000000.0,171426.0316012095,238310.1985704985,366676.52119943895,366676.52119943895,-195250.48959822944,0.612,0.175,0.5,0.0,6622.071006041864,8202.627194285742,False
paper4_v4_local_rt0p1700_g0p450_u0p075,100_policy_exact_allocations_expected_loss,338,1000000.0,175657.95308946318,242273.55566235541,371458.9921787068,371458.9921787068,-195801.03908924363,0.592,0.17,0.45,0.075,2390.1495177882025,12985.09817355359,False
paper4_v4_local_rt0p1725_g0p475_u0p000,100_policy_exact_allocations_expected_loss,342,1000000.0,172955.2559129311,240508.35038826274,369004.55061761395,369004.55061761395,-196049.29470468283,0.588,0.1725,0.475,0.0,5092.846694320266,10530.656612460734,False
paper4_v4_local_rt0p1750_g0p475_u0p050,100_policy_exact_allocations_expected_loss,336,1000000.0,175855.8428434938,242897.9944571718,371961.34028982033,371961.34028982033,-196105.49744632654,0.608,0.175,0.475,0.05,2192.259763757582,13487.446284667123,False
paper4_v4_local_rt0p1775_g0p500_u0p025,100_policy_exact_allocations_expected_loss,340,1000000.0,174355.17192184576,241315.45470363076,370467.4188258669,370467.4188258669,-196112.24690402113,0.524,0.1775,0.5,0.025,3692.9306854056194,11993.524820713676,False
paper4_v4_local_rt0p1750_g0p475_u0p075,100_policy_exact_allocations_expected_loss,338,1000000.0,175922.94500093377,242953.16541987832,372302.9680569242,372302.9680569242,-196380.0230559904,0.568,0.175,0.475,0.075,2125.1576063176035,13829.074051770964,False
paper4_v4_local_rt0p1775_g0p500_u0p000,100_policy_exact_allocations_expected_loss,341,1000000.0,173714.6533967239,241286.6655945468,370314.1242574409,370314.1242574409,-196599.470860717,0.584,0.1775,0.5,0.0,4333.449210527469,11840.2302522877,False
paper4_v4_local_rt0p1750_g0p475_u0p100,100_policy_exact_allocations_expected_loss,339,1000000.0,176000.83712850034,243019.76258528425,372723.11684029165,372723.11684029165,-196722.2797117913,0.632,0.175,0.475,0.1,2047.26547875104,14249.22283513844,False
paper4_v4_local_rt0p1700_g0p450_u0p050,100_policy_exact_allocations_expected_loss,339,1000000.0,175478.25187548407,243019.11763979337,372431.3904010649,372431.3904010649,-196953.1385255808,0.564,0.17,0.45,0.05,2569.8507317673066,13957.496395911672,False
paper4_v4_local_rt0p1700_g0p450_u0p025,100_policy_exact_allocations_expected_loss,340,1000000.0,174998.43361126567,242961.64669589748,372002.77572097804,372002.77572097804,-197004.34210971236,0.568,0.17,0.45,0.025,3049.668995985703,13528.881715824828,False
paper4_v4_local_rt0p1750_g0p475_u0p000,100_policy_exact_allocations_expected_loss,339,1000000.0,175285.03901658073,243590.9443728442,372771.85366995574,372771.85366995574,-197486.814653375,0.588,0.175,0.475,0.0,2763.0635906706448,14297.959664802533,False
paper4_v4_local_rt0p1750_g0p475_u0p025,100_policy_exact_allocations_expected_loss,340,1000000.0,175671.02054735878,243663.3030212205,373218.6629273407,373218.6629273407,-197547.64237998193,0.548,0.175,0.475,0.025,2377.082059892593,14744.768922187504,False
paper4_v4_local_rt0p1700_g0p450_u0p000,100_policy_exact_allocations_expected_loss,340,1000000.0,173790.71071864534,242886.7086507278,371470.1545048388,371470.1545048388,-197679.44378619347,0.604,0.17,0.45,0.0,4257.391888606042,12996.260499685595,False
paper4_v4_local_rt0p1725_g0p450_u0p000,100_policy_exact_allocations_expected_loss,339,1000000.0,176164.69889836514,246083.277398892,375376.74851696414,375376.74851696414,-199212.049618599,0.512,0.1725,0.45,0.0,1883.4037088862387,16902.854511810932,False
paper4_v4_local_rt0p1775_g0p475_u0p000,100_policy_exact_allocations_expected_loss,339,1000000.0,177096.20973510822,246673.53835742566,376539.15672229754,376539.15672229754,-199442.94698718932,0.544,0.1775,0.475,0.0,951.8928721431585,18065.26271714433,False
paper4_v4_local_rt0p1725_g0p450_u0p050,100_policy_exact_allocations_expected_loss,338,1000000.0,176702.59108533437,246208.68081691876,376275.21757188824,376275.21757188824,-199572.62648655387,0.508,0.1725,0.45,0.05,1345.5115219170111,17801.323566735024,False
paper4_v4_local_rt0p1725_g0p450_u0p025,100_policy_exact_allocations_expected_loss,339,1000000.0,176280.75429098553,246158.2154440617,375909.3697331033,375909.3697331033,-199628.6154421178,0.568,0.1725,0.45,0.025,1767.3483162658522,17435.475727950106,False
paper4_v4_local_rt0p1775_g0p475_u0p025,100_policy_exact_allocations_expected_loss,338,1000000.0,176893.28255546675,246725.8384606045,376854.8109126622,376854.8109126622,-199961.52835719544,0.552,0.1775,0.475,0.025,1154.8200517846271,18380.916907508974,False
paper4_v4_local_rt0p1750_g0p450_u0p025,100_policy_exact_allocations_expected_loss,337,1000000.0,176839.42939457996,249328.2973516643,379620.4189928499,379620.4189928499,-202780.98959826992,0.504,0.175,0.45,0.025,1208.6732126714196,21146.52498769667,False
