policy_id,source_id,pooling_rule,n_cells,n_defended_cells,n_small_cells,worst_source_coverage_v4,mean_source_coverage_v4,defended_exposure,mdcp_gate_pass_80,online_worst_source_coverage_v4
paper4_v4_local_rt0p1700_g0p400_u0p000,original_grade,native_min8,6,5,1,0.8461538461538461,0.9460003200262941,996000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,period,native_min8,5,5,0,0.8974358974358975,0.9488749345892202,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,term,native_min8,2,1,1,0.945619335347432,0.945619335347432,895626.5773054921,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,state_top20,native_min8,21,14,7,0.8333333333333334,0.9429146254786366,866625.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,income_band,native_min8,5,5,0,0.875,0.9269655106040456,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,dti_band,native_min8,5,5,0,0.92,0.9449448223733938,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,score_decile,native_min8,5,5,0,0.8333333333333334,0.9343611165658045,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,grade_period,native_min8,22,11,11,0.8571428571428572,0.9563860847583087,889350.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p000,grade_score,native_min8,19,8,11,0.8571428571428572,0.9506581596163204,874675.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,original_grade,native_min8,6,5,1,0.8461538461538461,0.9460003200262941,996000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,period,native_min8,5,5,0,0.8974358974358975,0.9488749345892202,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,term,native_min8,2,1,1,0.945619335347432,0.945619335347432,895626.5773054921,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,state_top20,native_min8,21,14,7,0.8333333333333334,0.9429146254786366,866625.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,income_band,native_min8,5,5,0,0.875,0.9269655106040456,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,dti_band,native_min8,5,5,0,0.92,0.9449448223733938,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,score_decile,native_min8,5,5,0,0.8333333333333334,0.9343611165658045,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,grade_period,native_min8,22,11,11,0.8571428571428572,0.9563860847583087,889350.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p025,grade_score,native_min8,19,8,11,0.8571428571428572,0.9506581596163204,874675.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,original_grade,native_min8,6,5,1,0.8461538461538461,0.9460003200262941,996000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,period,native_min8,5,5,0,0.8974358974358975,0.9488749345892202,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,term,native_min8,2,1,1,0.945619335347432,0.945619335347432,895626.5773054921,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,state_top20,native_min8,21,14,7,0.8333333333333334,0.9429146254786366,866625.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,income_band,native_min8,5,5,0,0.875,0.9269655106040456,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,dti_band,native_min8,5,5,0,0.92,0.9449448223733938,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,score_decile,native_min8,5,5,0,0.8333333333333334,0.9343611165658045,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,grade_period,native_min8,22,11,11,0.8571428571428572,0.9563860847583087,889350.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p050,grade_score,native_min8,19,8,11,0.8571428571428572,0.9506581596163204,874675.0000005,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,original_grade,native_min8,6,5,1,0.8461538461538461,0.9460003200262941,996000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,period,native_min8,5,5,0,0.8974358974358975,0.9488749345892202,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,term,native_min8,2,1,1,0.945619335347432,0.945619335347432,895626.5773054921,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,state_top20,native_min8,21,14,7,0.8333333333333334,0.9429146254786366,866625.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,income_band,native_min8,5,5,0,0.875,0.9269655106040456,1000000.0,True,0.8181818181818182
paper4_v4_local_rt0p1700_g0p400_u0p075,dti_band,native_min8,5,5,0,0.92,0.9449448223733938,1000000.0,True,0.8181818181818182
