policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,floor_v10,range_idx_v10,iteration_v10,tested_cvar_cap_v10,feasible_v10,solver_lane_v10,pool_n_v10,auditability_score_v10,non_dominated_v10
v10_cvar_decomp_floor80000_r1_i4_cap106875,TerminationCondition.optimal,1.2651373970002169,0.175,0.05,0.05,106875.0,80000.0,0.42,239,850000.0,82216.9651729207,85919.79091010476,0.08164629488158899,0.7903578575239092,0.37074758193633134,63495.779220779215,106874.99999999997,106874.99999999997,80000.0,1,4,106875.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.5034156187041523,True
v10_cvar_decomp_floor80000_r1_i3_cap123750,TerminationCondition.optimal,1.2594970799982548,0.175,0.05,0.05,123750.0,80000.0,0.42,258,850000.0,88065.21819409663,94096.16853826,0.0951015373374538,0.8122487038384445,0.3715845981489923,73739.41864931087,123749.99999999994,123749.99999999994,80000.0,1,3,123750.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4901533970912363,True
v10_cvar_decomp_floor80000_r2_i4_cap142500,TerminationCondition.optimal,1.3205229630038957,0.175,0.05,0.05,142500.0,80000.0,0.42,267,850000.0,93532.60626495289,102151.54242513054,0.11006896131964346,0.8054937935210845,0.389791277298274,85113.60834125643,142499.99999999994,142499.99999999994,80000.0,2,4,142500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4819052546811337,True
v10_cvar_decomp_floor80000_r1_i2_cap157500,TerminationCondition.optimal,1.263722145005886,0.175,0.05,0.05,157500.0,80000.0,0.42,269,850000.0,97872.61067110392,107260.62102997734,0.12465476229534048,0.802786842132208,0.40548390412256075,95225.43548587598,157500.00000000006,157500.00000000006,80000.0,1,2,157500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.47374564273789954,True
v10_cvar_decomp_floor80000_r2_i3_cap165000,TerminationCondition.optimal,1.4531910590012558,0.175,0.05,0.05,165000.0,80000.0,0.42,278,850000.0,99973.31639634771,110254.53788197906,0.13146795332487352,0.8031796258089283,0.4116227422133993,100114.38908223451,164999.9999999999,164999.9999999999,80000.0,2,3,165000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4695812484524917,True
v10_cvar_decomp_floor80000_r3_i3_cap206250,TerminationCondition.optimal,1.5279761069978122,0.175,0.05,0.05,206250.0,80000.0,0.42,330,951101.9831192831,116053.96142995403,123578.12235622197,0.15146939220529473,0.8091468093737408,0.4125877169268882,127152.4630394465,206249.99999999974,206249.99999999974,80000.0,3,3,206250.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.45754167429747805,True
v10_cvar_decomp_floor80000_r2_i2_cap210000,TerminationCondition.optimal,1.0268654089959455,0.175,0.05,0.05,210000.0,80000.0,0.42,334,967354.9067854991,117746.64696241176,124956.62223742789,0.15203084083523596,0.808050783607228,0.41054213981550747,129618.7320991796,209999.9999999998,209999.9999999998,80000.0,2,2,210000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4579459910884047,True
v10_cvar_decomp_floor80000_r1_i1_cap225000,TerminationCondition.optimal,1.550112053999328,0.175,0.05,0.05,225000.0,80000.0,0.42,347,1000000.0,123116.16328670224,131464.75296868637,0.1592599321778362,0.8091263787863439,0.40946875,139635.6992767265,224999.99999999974,224999.99999999974,80000.0,1,1,225000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.45456879590973565,True
v10_cvar_decomp_floor80000_r2_i1_cap300000,TerminationCondition.optimal,1.69968054099445,0.175,0.05,0.05,300000.0,80000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,80000.0,2,1,300000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor80000_r3_i1_cap375000,TerminationCondition.optimal,0.9551947150030173,0.175,0.05,0.05,375000.0,80000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,80000.0,3,1,375000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor80000_r3_i2_cap262500,TerminationCondition.optimal,1.197926537002786,0.175,0.05,0.05,262500.0,80000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,80000.0,3,2,262500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor110000_r1_i4_cap174375,TerminationCondition.optimal,1.1570434769964777,0.175,0.05,0.05,174375.0,110000.0,0.42,310,997027.5489536892,110000.0,116040.1648920172,0.11600437282841373,0.8091885155331553,0.3878033637527721,104695.9857728174,174375.00000000006,174375.00000000006,110000.0,1,4,174375.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.47402554525002144,True
v10_cvar_decomp_floor110000_r3_i3_cap206250,TerminationCondition.optimal,1.7391037699999288,0.175,0.05,0.05,206250.0,110000.0,0.42,330,951101.9831192831,116053.96142995403,123578.12235622197,0.15146939220529473,0.8091468093737408,0.4125877169268882,127152.4630394465,206249.99999999974,206249.99999999974,110000.0,3,3,206250.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.45754167429747805,True
v10_cvar_decomp_floor110000_r2_i2_cap210000,TerminationCondition.optimal,1.1025145739986328,0.175,0.05,0.05,210000.0,110000.0,0.42,334,967354.9067854991,117746.64696241176,124956.62223742789,0.15203084083523596,0.808050783607228,0.41054213981550747,129618.7320991796,209999.9999999998,209999.9999999998,110000.0,2,2,210000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4579459910884047,True
v10_cvar_decomp_floor110000_r1_i1_cap225000,TerminationCondition.optimal,1.4434647840025718,0.175,0.05,0.05,225000.0,110000.0,0.42,347,1000000.0,123116.16328670224,131464.75296868637,0.1592599321778362,0.8091263787863439,0.40946875,139635.6992767265,224999.99999999974,224999.99999999974,110000.0,1,1,225000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.45456879590973565,True
v10_cvar_decomp_floor110000_r2_i1_cap300000,TerminationCondition.optimal,1.2067594559994177,0.175,0.05,0.05,300000.0,110000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,110000.0,2,1,300000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor110000_r3_i1_cap375000,TerminationCondition.optimal,1.3981057170021813,0.175,0.05,0.05,375000.0,110000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,110000.0,3,1,375000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor110000_r3_i2_cap262500,TerminationCondition.optimal,1.4189679689952754,0.175,0.05,0.05,262500.0,110000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,110000.0,3,2,262500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor125000_r2_i4_cap232500,TerminationCondition.optimal,1.2460143179996521,0.175,0.05,0.05,232500.0,125000.0,0.42,351,1000000.0,125000.0,134745.54826723773,0.1655725443289152,0.8096572130797822,0.4140694125366109,144759.6302179116,232499.99999999974,232499.99999999974,125000.0,2,4,232500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.45093092707591276,True
v10_cvar_decomp_floor125000_r3_i4_cap234375,TerminationCondition.optimal,1.062543447005737,0.175,0.05,0.05,234375.0,125000.0,0.42,350,1000000.0,125184.60254171459,134529.31327127825,0.1678166322046785,0.8068369188549668,0.4125279226127043,146326.05992709915,234374.99999999974,234374.99999999974,125000.0,3,4,234375.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.452284550154753,True
v10_cvar_decomp_floor125000_best,TerminationCondition.optimal,1.062543447005737,0.175,0.05,0.05,234375.0,125000.0,0.42,350,1000000.0,125184.60254171459,134529.31327127825,0.1678166322046785,0.8068369188549668,0.4125279226127043,146326.05992709915,234374.99999999974,234374.99999999974,125000.0,3,best_feasible,234375.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.452284550154753,True
v10_cvar_decomp_floor125000_r1_i4_cap241875,TerminationCondition.optimal,1.6310936660011066,0.175,0.05,0.05,241875.0,125000.0,0.42,349,1000000.0,127013.19798613629,137658.8671930026,0.175000000000175,0.8086556943639835,0.4153957746302753,151826.45829951207,241874.99999999962,241874.99999999962,125000.0,1,4,241875.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4487642140076223,True
v10_cvar_decomp_floor125000_r2_i3_cap255000,TerminationCondition.optimal,0.8939312049988075,0.175,0.05,0.05,255000.0,125000.0,0.42,364,1000000.0,128803.82863604261,135065.83849736268,0.17500000000017496,0.8057231916346943,0.42000000000042,155875.89265511627,254999.99999999953,254999.99999999953,125000.0,2,3,255000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4453295928466022,True
v10_cvar_decomp_floor125000_r1_i2_cap292500,TerminationCondition.optimal,1.3527436899967142,0.175,0.05,0.05,292500.0,125000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,125000.0,1,2,292500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor125000_r1_i3_cap258750,TerminationCondition.optimal,1.694761924998602,0.175,0.05,0.05,258750.0,125000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,125000.0,1,3,258750.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor125000_r2_i1_cap300000,TerminationCondition.optimal,1.2924658510019071,0.175,0.05,0.05,300000.0,125000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,125000.0,2,1,300000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor125000_r3_i1_cap375000,TerminationCondition.optimal,0.946294563000265,0.175,0.05,0.05,375000.0,125000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,125000.0,3,1,375000.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor125000_r3_i2_cap262500,TerminationCondition.optimal,1.1194938879998517,0.175,0.05,0.05,262500.0,125000.0,0.42,364,1000000.0,128833.27743825018,133527.72890317754,0.17500000000017496,0.8061544165214425,0.42000000000042004,156160.74514520832,255925.1396198616,255925.1396198616,125000.0,3,2,262500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.44494289181197644,True
v10_cvar_decomp_floor80000_r3_i4_cap178125,TerminationCondition.optimal,1.905015768003068,0.175,0.05,0.05,178125.0,80000.0,0.42,297,850000.0,103235.28568796568,111350.06949156753,0.14433467454291243,0.8057050048424167,0.41233823529411767,108990.04197293315,178124.99999999994,178124.99999999994,80000.0,3,4,178125.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.465332035221087,False
v10_cvar_decomp_floor80000_best,TerminationCondition.optimal,1.905015768003068,0.175,0.05,0.05,178125.0,80000.0,0.42,297,850000.0,103235.28568796568,111350.06949156753,0.14433467454291243,0.8057050048424167,0.41233823529411767,108990.04197293315,178124.99999999994,178124.99999999994,80000.0,3,best_feasible,178125.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.465332035221087,False
v10_cvar_decomp_floor110000_r3_i4_cap178125,TerminationCondition.optimal,1.4941404780038283,0.175,0.05,0.05,178125.0,110000.0,0.42,311,977088.465389733,110000.0,116487.53749998678,0.1223311770852405,0.8078192624877585,0.39317408807420556,107570.37463572393,178124.99999999997,178124.99999999997,110000.0,3,4,178125.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.47172642295361,False
v10_cvar_decomp_floor110000_best,TerminationCondition.optimal,1.4941404780038283,0.175,0.05,0.05,178125.0,110000.0,0.42,311,977088.465389733,110000.0,116487.53749998678,0.1223311770852405,0.8078192624877585,0.39317408807420556,107570.37463572393,178124.99999999997,178124.99999999997,110000.0,3,best_feasible,178125.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.47172642295361,False
v10_cvar_decomp_floor110000_r2_i4_cap187500,TerminationCondition.optimal,1.2066524859983474,0.175,0.05,0.05,187500.0,110000.0,0.42,307,933075.0611067035,110000.0,118348.6099840715,0.13826664471822428,0.807177644282347,0.4010998481009419,114666.08110823529,187499.99999999988,187499.99999999988,110000.0,2,4,187500.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4669007804563897,False
v10_cvar_decomp_floor110000_r1_i3_cap191250,TerminationCondition.optimal,1.0440582770024776,0.175,0.05,0.05,191250.0,110000.0,0.42,311,914736.649082792,110000.0,115779.69405805646,0.14517015407688455,0.8068317568252505,0.40617710940066337,117513.95306639123,191249.9999999998,191249.9999999998,110000.0,1,3,191250.0,True,expanded_topk_decomposed_cvar_constraint,12000,0.4642833605611427,False
v10_cvar_decomp_floor110000_r1_i2_cap157500,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",1.429067720004241,,,,,,,0,0.0,,,,,,,,,110000.0,1,2,157500.0,False,expanded_topk_decomposed_cvar_constraint,12000,,False
