policy_id,horizon_months,n_paths,wealth_mean,wealth_p05,loss_mean,loss_p95,defaults_mean,realized_return_mean,no_temporal_leakage_rate
paper1_economic_champion,12,256,966102.7976175034,935560.1675727131,5433.600621275266,11359.15396285431,5.21484375,19098.72133355833,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,12,256,974078.3285053752,943682.6747441619,6363.876863423389,15578.634120554223,5.06640625,24874.754915051275,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,12,256,974078.3285053752,943682.6747441619,6363.876863423389,15578.634120554223,5.06640625,24874.75491505127,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,12,256,985186.8404450933,962254.0715608872,5858.708267286313,13205.316638082522,5.21875,26730.736907814786,1.0
v13_fvi_bellman_rollout,12,256,976243.5186207728,943534.2930500241,7982.821491135512,13731.12241128916,11.87109375,32966.67271149819,1.0
v13_fvi_capital_guarded,12,256,975986.7790467489,943154.1242997565,8137.189365517079,13876.147242109248,12.17578125,32781.75688630287,1.0
v13_fvi_return_recovery,12,256,975129.255516608,940988.0288872516,8037.500646763173,13739.440693019045,11.69140625,33960.477989185514,1.0
v13_mdcp_empirical_base,12,256,992402.9781688878,968456.1231710897,7539.340002487061,16912.14281508281,5.1953125,35565.402671529024,1.0
v13_mdcp_empirical_return_recovery,12,256,989681.2863023258,967232.6159854115,5882.575204078986,13691.752284183993,4.609375,29762.7898114801,1.0
v13_mdcp_empirical_tight,12,256,983640.4305269031,962219.2194502417,5296.842850608176,13309.475810749444,3.6171875,26033.34492574116,1.0
v13_spo_regret_audit_guarded,12,256,974196.1099098689,943025.8975857776,8570.206068879106,15462.719528890373,8.0078125,26425.35712653265,1.0
v13_spo_regret_balanced,12,256,973037.8440524319,941353.6618511049,6626.400299991577,13644.470157899419,6.13671875,24227.556099220594,1.0
v13_spo_regret_return_recovery,12,256,970803.6720661478,939233.527201375,6060.564595385073,12736.918849764366,5.50390625,21328.39299632886,1.0
v13_static_reference,12,256,712804.3626096077,596745.7983902295,73312.04785761071,127552.42792344949,5.25390625,117067.002481477,1.0
paper1_economic_champion,24,256,973928.5003177626,907080.7547342449,34217.23461762881,57524.26946784204,30.6484375,113386.15330456311,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,24,256,1016171.7561940998,964681.8394313537,29872.02302209325,51276.70502020007,27.17578125,113611.95357920756,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,24,256,1016171.7561940998,964681.8394313537,29872.02302209325,51276.70502020007,27.17578125,113611.95357920758,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,24,256,1007199.9216671595,960860.0340921008,27365.647292301368,48957.38699786547,27.58203125,102147.8346438214,1.0
v13_fvi_bellman_rollout,24,256,1041436.8990543699,1012563.314493547,22324.07677318225,36087.058125902695,40.83984375,90805.27420457569,1.0
v13_fvi_capital_guarded,24,256,1040312.6824746693,1011878.7894673035,22494.732276889332,35714.238322944206,41.41015625,89773.62063704812,1.0
v13_fvi_return_recovery,24,256,1044619.8666337837,1014281.07942739,23043.738237064586,37553.0194542589,40.65625,95901.7901849358,1.0
v13_mdcp_empirical_base,24,256,1007789.9421469586,970244.3873150394,26583.125105241303,45402.588953945655,23.82421875,92986.77353116166,1.0
v13_mdcp_empirical_return_recovery,24,256,1006322.347708635,964196.1731589464,25532.4874280627,46022.956588401146,23.01953125,96583.88113709062,1.0
v13_mdcp_empirical_tight,24,256,1004245.4503588681,974637.6292117588,24204.236378444548,39419.121206590906,21.09375,72406.6090365437,1.0
v13_spo_regret_audit_guarded,24,256,1009042.2182214754,960382.4677375013,28844.85540320014,48215.83818832581,28.4921875,94484.6900052671,1.0
v13_spo_regret_balanced,24,256,1009916.8322949961,957069.5181512542,28051.294721602997,48065.52156197756,26.66015625,98743.0253308106,1.0
v13_spo_regret_return_recovery,24,256,1003517.6300962858,948133.7376186091,28794.818732251173,48960.41518812359,27.03515625,97466.08845895258,1.0
v13_static_reference,24,256,924058.1127584444,826174.7829980929,182151.76895895076,255233.97911035334,14.59375,258046.9166633798,1.0
paper1_economic_champion,36,256,1083201.5781153515,1022776.0705731662,70155.62073049136,111752.7263122748,68.2421875,209996.04675593527,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,36,256,1102213.6883506891,1051785.1371336451,52858.08790243244,85157.53214231346,57.2265625,192348.5812781987,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,36,256,1102213.6883506891,1051785.1371336451,52858.08790243244,85157.53214231346,57.2265625,192348.58127819866,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,36,256,1085696.530109576,1036499.8084915366,51137.620422627006,82465.14398423268,58.66015625,173566.37803008678,1.0
v13_fvi_bellman_rollout,36,256,1079235.8829223101,1057518.3761111216,29948.252630709838,47209.018504811655,69.65625,118198.61714990568,1.0
v13_fvi_capital_guarded,36,256,1077635.388172863,1054966.5598914567,30138.12737584095,47314.16279330819,70.51953125,116717.83082874314,1.0
v13_fvi_return_recovery,36,256,1084795.6511708563,1061709.4961785397,31035.22296888696,49833.83081065406,69.51953125,125359.76026457484,1.0
v13_mdcp_empirical_base,36,256,1067126.9517594264,1034446.5042339873,46463.97368091058,70168.9179858396,49.33203125,139081.8742562578,1.0
v13_mdcp_empirical_return_recovery,36,256,1077770.6867939017,1039792.2986112725,47086.98087918907,75169.27028114143,48.76171875,156351.5857436303,1.0
v13_mdcp_empirical_tight,36,256,1044770.983591382,1017896.7692124172,39944.579803957604,59000.13791013338,43.984375,102003.11518085998,1.0
v13_spo_regret_audit_guarded,36,256,1075967.4017069093,1031266.2362447372,46563.79846275926,72456.5428454802,55.45703125,151856.31139092337,1.0
v13_spo_regret_balanced,36,256,1081912.5051469333,1035419.3637544324,46977.666578778284,75950.85721332955,53.78515625,159866.12948739505,1.0
v13_spo_regret_return_recovery,36,256,1078598.4018275798,1029238.5657964144,49579.141374194645,82142.8785519147,56.47265625,162104.07781419542,1.0
v13_static_reference,36,256,1016844.0885885963,905298.6175925137,254688.61460426525,327874.32167404727,24.0,311864.11097381834,1.0
