validation_item,source_family,method_v41,method_scope_v41,min_support_v41,lambda_observed_v41,width_penalty_v41,source_month_defended_min_v41,policy_month_defended_min_v41,avg_width_loan_v41,policy_month_directly_measured_v41,gate_source80_policy90_width95_v41,strict_live_deployability_claim_allowed,claim_boundary_v41,method_score_v41,decision_v41
leave_source_family_view::dti_band,dti_band,width_guarded_m20_l10,hierarchical_source_family_pooling,20,0.1,0.006,0.8600000000000001,0.9,0.9289117705441684,False,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.5362340875182549,pooled_source_family_pass_with_policy_month_caveat
month_bootstrap_min,global_or_temporal,width_guarded_m20_l10,direct_temporal_or_nominal_holdout,20,0.1,0.006,0.8,0.9,0.9281074582242176,True,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.27518844302513085,reference_or_temporal_pass
leave_source_family_view::income_band,income_band,width_guarded_m20_l10,hierarchical_source_family_pooling,20,0.1,0.006,0.88,0.9,0.9292461299461435,False,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.6227862701727422,pooled_source_family_pass_with_policy_month_caveat
leave_source_family_view::original_grade,original_grade,width_guarded_m20_l10,hierarchical_source_family_pooling,20,0.1,0.006,0.8766666666666667,0.9,0.9303344001898856,False,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.6003659630396518,pooled_source_family_pass_with_policy_month_caveat
leave_source_family_view::period,period,width_guarded_m20_l10,hierarchical_source_family_pooling,20,0.1,0.006,0.8814285714285715,0.9,0.928626366191507,False,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.6334667614230468,pooled_source_family_pass_with_policy_month_caveat
leave_source_family_view::score_decile,score_decile,width_guarded_m20_l10,hierarchical_source_family_pooling,20,0.1,0.006,0.8766666666666667,0.9,0.9297840256587764,False,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.6042123139737106,pooled_source_family_pass_with_policy_month_caveat
leave_source_family_view::state_top20,state_top20,width_guarded_m20_l10,hierarchical_source_family_pooling,20,0.1,0.006,0.8900000000000001,0.9,0.9301094203917322,False,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.6611975175412579,pooled_source_family_pass_with_policy_month_caveat
