policy_id,n_paths,final_state_value_mean,final_state_value_p05,final_cash_mean,cumulative_realized_loss_mean,cumulative_expected_loss_mean,cumulative_funded_exposure_mean,stored_decision_rows,unique_funded_loans,baseline_policy_id,delta_state_value_vs_static,delta_loss_vs_static
v10_rollout_capital_guarded,40,881668.7542518626,855069.83645418,133661.81157896985,51519.13773219523,39181.117531978336,1342780.625,34358,915,v10_static_reference,67251.49840606027,-26438.850635416733
v10_rollout_return_guarded,40,879041.5748374813,849669.0203270959,103720.90704912134,54063.390897699595,40151.115014200004,1409256.875,32984,899,v10_static_reference,64624.31899167888,-23894.59746991237
v10_rollout_value_ecl,40,878230.9532404592,850619.1182915072,111921.70773336024,53664.05350209241,40491.27169586502,1390010.625,34320,931,v10_static_reference,63813.69739465683,-24293.934865519557
v10_static_reference,40,814417.2558458024,711245.4171118952,100106.27492246834,77957.98836761196,52370.270451411874,1386086.25,13708,430,v10_static_reference,0.0,0.0
