treatment_id,diagnostic,value
term_60m,smd_annual_inc,0.0757771243415336
term_60m,smd_dti,0.07978614007223453
term_60m,smd_loan_amnt,0.9591948533575092
term_60m,smd_fico_score,0.02689033067484386
term_60m,smd_pd_point_alpha01,1.4878552666289522
high_rate_within_grade,smd_annual_inc,0.016637689588614012
high_rate_within_grade,smd_dti,0.058591182702721144
high_rate_within_grade,smd_loan_amnt,0.022909856995754846
high_rate_within_grade,smd_fico_score,0.15267249811754635
high_rate_within_grade,smd_pd_point_alpha01,0.26543159210401196
large_loan_within_income,smd_annual_inc,0.026957204456763577
large_loan_within_income,smd_dti,0.19195129720224877
large_loan_within_income,smd_loan_amnt,2.0797004623406847
large_loan_within_income,smd_fico_score,0.06699261219893858
large_loan_within_income,smd_pd_point_alpha01,0.6642818166475098
selected_by_full_topk,smd_annual_inc,0.5180233499147127
selected_by_full_topk,smd_dti,0.383210986642204
selected_by_full_topk,smd_loan_amnt,1.6096936991722304
selected_by_full_topk,smd_fico_score,0.19552599246381674
selected_by_full_topk,smd_pd_point_alpha01,1.2905654235425426
