policy_id,month,decision_value_proxy,n_loans,funded_exposure,mean_pd_high,mean_width,mean_weak_source,oracle_policy_id,oracle_value_proxy,decision_regret_proxy_v16,split
paper1_economic_champion,2018-01-01,1123.679176106939,8,16025.0,0.26882005724066393,0.55,0.33,v13_mdcp_empirical_base,35156.540706895175,34032.861530788236,train
paper1_economic_champion,2018-02-01,1486.6991622982646,8,15863.906564535564,0.1764184253669377,0.55,0.33,v13_static_reference,15184.728611125633,13698.029448827368,train
paper1_economic_champion,2018-03-01,868.0877050766205,4,9700.0,0.14896982568454842,0.55,0.33,v13_fvi_capital_guarded,10454.967981237687,9586.880276161066,train
paper1_economic_champion,2018-04-01,419.18620573394435,3,5000.0,0.1356784336694106,0.55,0.33,v13_fvi_return_recovery,9423.276110280498,9004.089904546554,train
paper1_economic_champion,2018-05-01,1239.752190378358,8,15050.0,0.24703147638179318,0.55,0.33,v13_static_reference,14265.036574880225,13025.284384501867,train
paper1_economic_champion,2018-06-01,2907.9933312496196,13,38500.0,0.275884804013891,0.55,0.33,v13_fvi_return_recovery,7186.365719676927,4278.372388427308,train
paper1_economic_champion,2018-07-01,2703.773081397199,17,31025.0,0.3284450275658111,0.55,0.33,v13_static_reference,12709.57718840827,10005.80410701107,train
paper1_economic_champion,2018-08-01,1978.0872494491598,13,23575.0,0.2543530903512509,0.55,0.33,v13_static_reference,13936.047705633533,11957.960456184373,train
paper1_economic_champion,2018-09-01,3341.160301954723,12,32875.0,0.23597999254612512,0.55,0.33,v13_static_reference,15888.85831668252,12547.698014727797,train
paper1_economic_champion,2018-10-01,6382.41468399479,14,77525.0,0.2744210550316642,0.55,0.33,v13_static_reference,11026.37746361618,4643.96277962139,validation
paper1_economic_champion,2018-11-01,5258.458223629945,24,57250.0,0.2966030195601684,0.55,0.33,v13_static_reference,9995.442954826647,4736.984731196702,validation
paper1_economic_champion,2018-12-01,3422.7794395167957,15,46200.0,0.2734063761699011,0.55,0.33,v13_static_reference,11532.131923793113,8109.352484276317,validation
paper1_economic_champion,2019-01-01,4245.124722320322,18,62925.0,0.26258245501808347,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,8281.070139670901,4035.945417350579,validation
paper1_economic_champion,2019-02-01,3655.1224807168464,12,45750.0,0.34921111408618244,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,7268.856946880958,3613.734466164112,validation
paper1_economic_champion,2019-03-01,1984.1112557823917,16,32400.0,0.3992284263283118,0.55,0.33,v13_spo_regret_audit_guarded,4795.348441714788,2811.2371859323966,validation
paper1_economic_champion,2019-04-01,5554.7316144456745,20,77500.0,0.27876307368205366,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,8492.157313556274,2937.4256991105995,validation
paper1_economic_champion,2019-05-01,1607.4642170904845,15,33800.0,0.28513206011220604,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,4920.155931271415,3312.691714180931,validation
paper1_economic_champion,2019-06-01,3201.4540774572843,15,40575.0,0.29418115052079324,0.55,0.33,v13_mdcp_empirical_return_recovery,8820.003244114721,5618.549166657437,validation
paper1_economic_champion,2019-07-01,7316.560401549645,24,79950.0,0.2940787923925975,0.55,0.33,v13_mdcp_empirical_return_recovery,10884.936462462767,3568.3760609131223,validation
paper1_economic_champion,2019-08-01,2492.8923826238224,14,51611.09343546444,0.2644954450456988,0.55,0.33,v13_mdcp_empirical_base,6549.170849882614,4056.2784672587914,validation
paper1_economic_champion,2019-09-01,2208.1336740299125,9,21850.0,0.24921112032650028,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,2721.757653752315,513.6239797224025,test
paper1_economic_champion,2019-10-01,2596.600390792558,9,35625.0,0.23565030226855743,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,3824.637851906465,1228.0374611139073,test
paper1_economic_champion,2019-11-01,-792.8339290327374,11,39475.0,0.47623735860804145,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,2917.926830324872,3710.7607593576095,test
paper1_economic_champion,2019-12-01,2034.3344935339546,9,31725.0,0.33987666787588505,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,3649.291967691496,1614.9574741575416,test
paper1_economic_champion,2020-01-01,1074.4631246248607,8,24025.0,0.2994227623907363,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,3509.3973901017594,2434.934265476899,test
paper1_economic_champion,2020-02-01,420.94747801679216,4,4700.0,0.1777652773229032,0.55,0.33,v13_spo_regret_balanced,1630.306163830504,1209.3586858137119,test
paper1_economic_champion,2020-04-01,1912.532008620618,3,20000.0,0.19209219110305023,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,3408.126595356594,1495.594586735976,test
paper1_economic_champion,2020-05-01,147.72820070646128,1,2000.0,0.1780797769928208,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,236.19732034104752,88.46911963458624,test
paper1_economic_champion,2020-06-01,245.64181878248593,1,3000.0,0.1295986527537141,0.55,0.33,v13_spo_regret_audit_guarded,640.7399318560003,395.0981130735144,test
paper1_economic_champion,2020-07-01,804.6101873060527,3,10500.0,0.1469264695443433,0.55,0.33,paper1_economic_champion,804.6101873060527,0.0,test
paper1_economic_champion,2020-08-01,888.8324437040177,3,11000.0,0.20278648841081784,0.55,0.33,v13_spo_regret_return_recovery,1720.9629318229715,832.1304881189538,test
paper1_economic_champion,2020-09-01,322.17768620253946,1,3000.0,0.2222387509610818,0.55,0.33,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,620.1198453521316,297.94215914959216,test
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,2018-01-01,8696.482223632735,34,98300.0,0.11583710451223606,0.5524117647058824,0.3161764705882353,v13_mdcp_empirical_base,35156.540706895175,26460.05848326244,train
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,2018-02-01,1328.6024375539807,4,10000.0,0.17210327949462512,0.9107160034980324,0.625,v13_static_reference,15184.728611125633,13856.126173571653,train
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,2018-03-01,930.7621870347207,4,8500.0,0.13866435211094172,0.8310264538696983,0.3125,v13_fvi_capital_guarded,10454.967981237687,9524.205794202966,train
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,2018-04-01,1369.881382449142,6,12700.0,0.12539458016911567,0.8417045620171987,0.3333333333333333,v13_fvi_return_recovery,9423.276110280498,8053.394727831356,train
