feature,coefficient,iterations_v12,discount_v12,model_scope_v12,version_v13
intercept,418337.81340056733,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
cash_m,503213.35175206716,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
outstanding_m,653841.9317951208,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
expected_loss_100k,-244493.95179008148,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
capital_100k,-11597.992655736945,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
cum_loss_100k,-116722.49680765058,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
macro_state,-2957.1249249674834,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
stage2_share,31.046605583356307,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
coverage_state,-60705.30611856583,4,0.92,fitted_value_iteration_rollout_proxy,v13_policy_iteration_rollout
