candidate_rank_v286,added_loan_id_v286,drop_rank_v286,dropped_loan_id_v286,dropped_loan_amount_v286,dropped_mean_return_v286,drop_grade_v286,drop_score_decile_v286,claim_boundary_v286
1,165382274,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
1,165382274,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
2,161116709,1,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
3,141424646,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
3,141424646,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
4,142544106,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
4,142544106,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
5,142971016,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
5,142971016,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
6,133736427,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
6,133736427,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
7,127802033,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
7,127802033,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
8,137219542,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
8,137219542,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
9,131524920,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
9,131524920,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
10,129766898,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
10,129766898,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
11,162344939,1,170387634,3000.0,72.71865378192913,A,0,selected by exact source-relief MILP for diagnostic pricing only
11,162344939,2,144534751,3000.0,73.15914631115284,A,0,selected by exact source-relief MILP for diagnostic pricing only
11,162344939,3,133763576,3000.0,73.31323703811194,A,0,selected by exact source-relief MILP for diagnostic pricing only
11,162344939,4,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
11,162344939,5,138253214,6000.0,147.1374520733008,A,0,selected by exact source-relief MILP for diagnostic pricing only
11,162344939,6,148029832,10000.0,247.80404423386764,A,0,selected by exact source-relief MILP for diagnostic pricing only
12,136514162,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
12,136514162,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
13,155090587,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
13,155090587,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
14,143514276,1,170387634,3000.0,72.71865378192913,A,0,selected by exact source-relief MILP for diagnostic pricing only
14,143514276,2,144534751,3000.0,73.15914631115284,A,0,selected by exact source-relief MILP for diagnostic pricing only
14,143514276,3,133763576,3000.0,73.31323703811194,A,0,selected by exact source-relief MILP for diagnostic pricing only
14,143514276,4,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
14,143514276,5,138253214,6000.0,147.1374520733008,A,0,selected by exact source-relief MILP for diagnostic pricing only
14,143514276,6,158700271,8000.0,198.2323499409941,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,1,137182894,1800.0,44.22659987973943,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,2,170387634,3000.0,72.71865378192913,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,3,144534751,3000.0,73.15914631115284,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,4,133763576,3000.0,73.31323703811194,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,5,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,6,138253214,6000.0,147.1374520733008,A,0,selected by exact source-relief MILP for diagnostic pricing only
15,149445142,7,159850257,11025.0,273.69192412557953,A,0,selected by exact source-relief MILP for diagnostic pricing only
16,131604271,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
16,131604271,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
17,143009280,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
17,143009280,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
18,143477132,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
18,143477132,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
19,126456735,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
19,126456735,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
20,139918530,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
20,139918530,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
21,130473332,1,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,1,159357211,1500.0,37.236996479670715,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,2,170387634,3000.0,72.71865378192913,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,3,144534751,3000.0,73.15914631115284,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,4,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,5,138253214,6000.0,147.1374520733008,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,6,160327845,7500.0,186.18498239835355,A,0,selected by exact source-relief MILP for diagnostic pricing only
22,136506262,7,148029832,10000.0,247.80404423386764,A,0,selected by exact source-relief MILP for diagnostic pricing only
23,151301060,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
23,151301060,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
24,137834120,1,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
25,131361542,1,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
26,133849436,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
26,133849436,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
27,134190481,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
27,134190481,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,1,159357211,1500.0,37.236996479670715,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,2,170387634,3000.0,72.71865378192913,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,3,144534751,3000.0,73.15914631115284,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,4,133763576,3000.0,73.31323703811194,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,5,138253214,6000.0,147.1374520733008,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,6,160327845,7500.0,186.18498239835355,A,0,selected by exact source-relief MILP for diagnostic pricing only
28,136476781,7,158700271,8000.0,198.2323499409941,A,0,selected by exact source-relief MILP for diagnostic pricing only
29,128173328,1,145033022,5050.0,123.15122962377396,A,0,selected by exact source-relief MILP for diagnostic pricing only
29,128173328,2,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
30,131106023,1,137182894,1800.0,44.22659987973943,A,0,selected by exact source-relief MILP for diagnostic pricing only
30,131106023,2,161626478,2400.0,59.91771594001454,A,0,selected by exact source-relief MILP for diagnostic pricing only
30,131106023,3,138240169,35000.0,858.3018037609215,A,0,selected by exact source-relief MILP for diagnostic pricing only
31,142864364,1,159357211,1500.0,37.236996479670715,A,0,selected by exact source-relief MILP for diagnostic pricing only
31,142864364,2,170387634,3000.0,72.71865378192913,A,0,selected by exact source-relief MILP for diagnostic pricing only
31,142864364,3,144534751,3000.0,73.15914631115284,A,0,selected by exact source-relief MILP for diagnostic pricing only
31,142864364,4,133763576,3000.0,73.31323703811194,A,0,selected by exact source-relief MILP for diagnostic pricing only
31,142864364,5,138253214,6000.0,147.1374520733008,A,0,selected by exact source-relief MILP for diagnostic pricing only
31,142864364,6,158700271,8000.0,198.2323499409941,A,0,selected by exact source-relief MILP for diagnostic pricing only
