policy_id,n_paths,final_state_value_mean,final_state_value_p05,final_cash_mean,cumulative_realized_loss_mean,cumulative_expected_loss_mean,cumulative_funded_exposure_mean,stored_decision_rows,unique_funded_loans,baseline_policy_id,delta_state_value_vs_static,delta_loss_vs_static,adp_scope_v12
v12_fvi_bellman_rollout,24,987589.960095001,979464.2405962324,139555.99835180063,12919.399985908398,29705.741061655037,1442470.8333333333,22663,1011,v12_static_reference,256729.36365423875,-97764.47698831001,iterative_fitted_value_rollout_not_exact_bellman_optimality
v12_fvi_capital_guarded,24,986837.4172467998,972623.991497666,165131.8533612362,12295.583847446193,28214.41575488047,1383893.75,22234,993,v12_static_reference,255976.82080603752,-98388.29312677222,iterative_fitted_value_rollout_not_exact_bellman_optimality
v12_fvi_return_recovery,24,991308.4568933569,983965.6435181263,129539.2001156111,12421.472295001804,30393.6903299401,1465665.625,22396,1020,v12_static_reference,260447.86045259458,-98262.4046792166,iterative_fitted_value_rollout_not_exact_bellman_optimality
v12_static_reference,24,730860.5964407623,568742.339261532,111722.75028167445,110683.87697421841,270149.20677576476,1256381.25,1065,54,v12_static_reference,0.0,0.0,iterative_fitted_value_rollout_not_exact_bellman_optimality
