policy_id,sicr_rule,ecl_v2_adverse,ecl_v2_baseline,ecl_v2_severe,net_return_after_ecl_v2_adverse,net_return_after_ecl_v2_baseline,net_return_after_ecl_v2_severe,severe_minus_baseline_ecl,ecl_v2_absolute_pd_30,ecl_v2_hybrid_pd_grade,ecl_v2_relative_pd_1p5,net_return_after_ecl_v2_absolute_pd_30,net_return_after_ecl_v2_hybrid_pd_grade,net_return_after_ecl_v2_relative_pd_1p5,stage2_lifetime_share_absolute_pd_30,stage2_lifetime_share_hybrid_pd_grade,stage2_lifetime_share_relative_pd_1p5
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,absolute_pd_30,160544.9310373976,114626.20486084204,380575.3042563391,-16313.541037397576,29605.18513915797,-236343.91425633908,265949.09939549706,114626.20486084204,248456.11458252615,248456.11458252615,29605.18513915797,-104224.72458252613,-104224.72458252613,0.16470588235294117,0.9411764705882353,0.9411764705882353
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,hybrid_pd_grade,365007.2931121927,248456.11458252615,525143.861514275,-220775.9031121927,-104224.72458252613,-380912.47151427495,276687.7469317488,114626.20486084204,248456.11458252615,248456.11458252615,29605.18513915797,-104224.72458252613,-104224.72458252613,0.16470588235294117,0.9411764705882353,0.9411764705882353
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,relative_pd_1p5,365007.2931121927,248456.11458252615,525143.861514275,-220775.9031121927,-104224.72458252613,-380912.47151427495,276687.7469317488,114626.20486084204,248456.11458252615,248456.11458252615,29605.18513915797,-104224.72458252613,-104224.72458252613,0.16470588235294117,0.9411764705882353,0.9411764705882353
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,absolute_pd_30,161680.64254221183,115657.5796639932,381710.9260236217,-17312.70254221183,28710.36033600681,-237342.9860236217,266053.3463596285,115657.5796639932,248670.2389919796,248670.2389919796,28710.36033600681,-104302.2989919796,-104302.2989919796,0.16519174041297935,0.9351032448377581,0.9351032448377581
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,hybrid_pd_grade,364894.4276266355,248670.2389919796,524390.726816123,-220526.48762663547,-104302.2989919796,-380022.786816123,275720.4878241434,115657.5796639932,248670.2389919796,248670.2389919796,28710.36033600681,-104302.2989919796,-104302.2989919796,0.16519174041297935,0.9351032448377581,0.9351032448377581
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,relative_pd_1p5,364894.4276266355,248670.2389919796,524390.726816123,-220526.48762663547,-104302.2989919796,-380022.786816123,275720.4878241434,115657.5796639932,248670.2389919796,248670.2389919796,28710.36033600681,-104302.2989919796,-104302.2989919796,0.16519174041297935,0.9351032448377581,0.9351032448377581
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,absolute_pd_30,163465.6109574945,116776.42262672368,384511.1964263766,-15724.980957494496,30964.207373276324,-236770.56642637658,267734.77379965293,116776.42262672368,252521.76788017104,252521.76788017104,30964.207373276324,-104781.13788017104,-104781.13788017104,0.14912280701754385,0.9385964912280702,0.9385964912280702
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,hybrid_pd_grade,370854.33287248353,252521.76788017104,533506.5380243876,-223113.70287248353,-104781.13788017104,-385765.90802438755,280984.7701442165,116776.42262672368,252521.76788017104,252521.76788017104,30964.207373276324,-104781.13788017104,-104781.13788017104,0.14912280701754385,0.9385964912280702,0.9385964912280702
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,relative_pd_1p5,370854.33287248353,252521.76788017104,533506.5380243876,-223113.70287248353,-104781.13788017104,-385765.90802438755,280984.7701442165,116776.42262672368,252521.76788017104,252521.76788017104,30964.207373276324,-104781.13788017104,-104781.13788017104,0.14912280701754385,0.9385964912280702,0.9385964912280702
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,absolute_pd_30,160710.264527866,113177.4231455123,382623.3773299003,-8288.777027866017,39244.064354487695,-230201.8898299003,269445.954184388,113177.4231455123,259679.76943653688,259679.76943653688,39244.064354487695,-107258.28193653689,-107258.28193653689,0.12609970674486803,0.9413489736070382,0.9413489736070382
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,hybrid_pd_grade,384533.293583598,259679.76943653688,558442.3620292266,-232111.806083598,-107258.28193653689,-406020.8745292266,298762.59259268973,113177.4231455123,259679.76943653688,259679.76943653688,39244.064354487695,-107258.28193653689,-107258.28193653689,0.12609970674486803,0.9413489736070382,0.9413489736070382
