policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,n_paths
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,adverse,-1506.2524493156848,-6129.5297054199755,-1918.8114037789237,4067.2215313956267,0.32,300
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,baseline,-1243.798185709829,-5943.252288809696,-1209.496109069516,3566.427940568837,0.33666666666666667,300
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,severe,-1999.0720282366706,-7858.476339998582,-1845.3372281152842,3642.0779667964425,0.3,300
paper1_economic_champion,adverse,0.0,0.0,0.0,0.0,0.0,300
paper1_economic_champion,baseline,0.0,0.0,0.0,0.0,0.0,300
paper1_economic_champion,severe,0.0,0.0,0.0,0.0,0.0,300
paper4_v4_local_rt0p1700_g0p400_u0p000,adverse,-6131.582503807952,-12783.423166189803,-5862.476207504267,58.63058486891766,0.056666666666666664,300
paper4_v4_local_rt0p1700_g0p400_u0p000,baseline,-3731.431304585908,-10396.872330393404,-3862.425363000977,2121.1686731931304,0.16,300
paper4_v4_local_rt0p1700_g0p400_u0p000,severe,-8084.015834282221,-15285.172987830843,-7749.601319743713,-1486.133980301536,0.016666666666666666,300
paper4_v4_local_rt0p1700_g0p400_u0p025,adverse,-6131.582503807952,-12783.423166189803,-5862.476207504267,58.63058486891766,0.056666666666666664,300
paper4_v4_local_rt0p1700_g0p400_u0p025,baseline,-3731.431304585908,-10396.872330393404,-3862.425363000977,2121.1686731931304,0.16,300
paper4_v4_local_rt0p1700_g0p400_u0p025,severe,-8084.015834282221,-15285.172987830843,-7749.601319743713,-1486.133980301536,0.016666666666666666,300
paper4_v4_local_rt0p1700_g0p400_u0p050,adverse,-6131.582503807952,-12783.423166189803,-5862.476207504267,58.63058486891766,0.056666666666666664,300
paper4_v4_local_rt0p1700_g0p400_u0p050,baseline,-3731.431304585908,-10396.872330393404,-3862.425363000977,2121.1686731931304,0.16,300
paper4_v4_local_rt0p1700_g0p400_u0p050,severe,-8084.015834282221,-15285.172987830843,-7749.601319743713,-1486.133980301536,0.016666666666666666,300
paper4_v4_local_rt0p1700_g0p400_u0p075,adverse,-6131.582503807952,-12783.423166189803,-5862.476207504267,58.63058486891766,0.056666666666666664,300
paper4_v4_local_rt0p1700_g0p400_u0p075,baseline,-3731.431304585908,-10396.872330393404,-3862.425363000977,2121.1686731931304,0.16,300
paper4_v4_local_rt0p1700_g0p400_u0p075,severe,-8084.015834282221,-15285.172987830843,-7749.601319743713,-1486.133980301536,0.016666666666666666,300
paper4_v4_local_rt0p1700_g0p400_u0p100,adverse,-6131.582503807952,-12783.423166189803,-5862.476207504267,58.63058486891766,0.056666666666666664,300
paper4_v4_local_rt0p1700_g0p400_u0p100,baseline,-3731.431304585908,-10396.872330393404,-3862.425363000977,2121.1686731931304,0.16,300
paper4_v4_local_rt0p1700_g0p400_u0p100,severe,-8084.015834282221,-15285.172987830843,-7749.601319743713,-1486.133980301536,0.016666666666666666,300
paper4_v4_local_rt0p1700_g0p425_u0p000,adverse,-1071.6030522626806,-6417.667569982873,-1411.380099469534,4433.936457250909,0.37,300
paper4_v4_local_rt0p1700_g0p425_u0p000,baseline,-1210.0603542538468,-6447.400389401665,-1124.1356081767121,4878.177086177636,0.35,300
paper4_v4_local_rt0p1700_g0p425_u0p000,severe,-1637.98996005579,-8393.995313207695,-1699.970731132853,4464.485397951041,0.3433333333333333,300
paper4_v4_local_rt0p1700_g0p425_u0p025,adverse,-602.1386847673315,-4987.389091285149,-647.5237728939828,4641.769010331777,0.39,300
paper4_v4_local_rt0p1700_g0p425_u0p025,baseline,-455.8889433949558,-6130.641822666434,-280.6622950912547,5218.524193844892,0.47333333333333333,300
paper4_v4_local_rt0p1700_g0p425_u0p025,severe,-1441.1866536781129,-6808.049374944337,-1289.8451454010792,3476.9851873663315,0.36333333333333334,300
paper4_v4_local_rt0p1700_g0p425_u0p050,adverse,-365.48097990268064,-5033.581638296689,-587.5794980142382,4599.748370255029,0.41333333333333333,300
paper4_v4_local_rt0p1700_g0p425_u0p050,baseline,-116.71311389149841,-6056.374218326374,91.13068608602174,5075.7363560526555,0.5033333333333333,300
paper4_v4_local_rt0p1700_g0p425_u0p050,severe,-1157.7647218612265,-5958.261241768626,-1304.6664704330324,3585.3209702049808,0.35,300
paper4_v4_local_rt0p1700_g0p425_u0p075,adverse,48.04464936355167,-3100.7135249893454,-143.19771449450127,3511.5487215592816,0.45,300
paper4_v4_local_rt0p1700_g0p425_u0p075,baseline,31.577227051716353,-2306.1329379861854,-101.55934939321651,3229.385200814929,0.44666666666666666,300
paper4_v4_local_rt0p1700_g0p425_u0p075,severe,173.82035004342015,-3419.3453765512722,-67.139892549254,3777.2389770628442,0.48,300
paper4_v4_local_rt0p1700_g0p425_u0p100,adverse,581.5158601754448,-496.8429839206976,685.548826923623,1169.5497409806842,0.8666666666666667,300
paper4_v4_local_rt0p1700_g0p425_u0p100,baseline,372.6156316034111,-879.659445849085,565.4352809493321,1334.0140285227637,0.7133333333333334,300
