artifact,exists,requirement,matching_columns,available_for_contractual_ifrs9,available_for_proxy_ecl,decision_v21
data/processed/loan_master.parquet,True,servicing_panel_monthly,credit_history_months;lgd_months_since_issue,False,True,usable_proxy_component
data/processed/loan_master.parquet,True,monthly_days_past_due,num_tl_30dpd;num_tl_90g_dpd_24m,False,True,usable_proxy_component
data/processed/loan_master.parquet,True,forbearance_hardship,,False,False,data_blocked
data/processed/loan_master.parquet,True,default_timing,default_flag;loan_status,True,True,usable_proxy_component
data/processed/loan_master.parquet,True,cure_timing,,False,False,data_blocked
data/processed/loan_master.parquet,True,prepayment_timing,,False,False,data_blocked
data/processed/loan_master.parquet,True,monthly_ead_path,,False,False,data_blocked
data/processed/loan_master.parquet,True,coherent_macro_scenarios,,False,False,data_blocked
data/processed/ead_dataset.parquet,True,servicing_panel_monthly,credit_history_months;lgd_months_since_issue,False,True,usable_proxy_component
data/processed/ead_dataset.parquet,True,monthly_days_past_due,mths_since_last_delinq;mths_since_last_delinq__is_missing;num_tl_120dpd_2m;num_tl_30dpd;num_tl_90g_dpd_24m,False,True,usable_proxy_component
data/processed/ead_dataset.parquet,True,forbearance_hardship,deferral_term,False,True,usable_proxy_component
data/processed/ead_dataset.parquet,True,default_timing,default_flag;loan_status,True,True,usable_proxy_component
data/processed/ead_dataset.parquet,True,cure_timing,,False,False,data_blocked
data/processed/ead_dataset.parquet,True,prepayment_timing,,False,False,data_blocked
data/processed/ead_dataset.parquet,True,monthly_ead_path,,False,False,data_blocked
data/processed/ead_dataset.parquet,True,coherent_macro_scenarios,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,servicing_panel_monthly,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,monthly_days_past_due,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,forbearance_hardship,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,default_timing,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,cure_timing,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,prepayment_timing,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,monthly_ead_path,,False,False,data_blocked
data/processed/ifrs9_ecl_comparison.parquet,True,coherent_macro_scenarios,,False,False,data_blocked
data/processed/ifrs9_scenario_summary.parquet,True,servicing_panel_monthly,,False,False,data_blocked
data/processed/ifrs9_scenario_summary.parquet,True,monthly_days_past_due,dpd_source,False,True,usable_proxy_component
data/processed/ifrs9_scenario_summary.parquet,True,forbearance_hardship,,False,False,data_blocked
data/processed/ifrs9_scenario_summary.parquet,True,default_timing,,False,False,data_blocked
data/processed/ifrs9_scenario_summary.parquet,True,cure_timing,,False,False,data_blocked
data/processed/ifrs9_scenario_summary.parquet,True,prepayment_timing,,False,False,data_blocked
data/processed/ifrs9_scenario_summary.parquet,True,monthly_ead_path,ead_mult,False,True,usable_proxy_component
data/processed/ifrs9_scenario_summary.parquet,True,coherent_macro_scenarios,scenario,False,True,usable_proxy_component
data/processed/competing_risks_cif.parquet,True,servicing_panel_monthly,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,monthly_days_past_due,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,forbearance_hardship,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,default_timing,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,cure_timing,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,prepayment_timing,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,monthly_ead_path,,False,False,data_blocked
data/processed/competing_risks_cif.parquet,True,coherent_macro_scenarios,,False,False,data_blocked
data/raw/Loan_status_2007-2020Q3.csv,True,servicing_panel_monthly,out_prncp;out_prncp_inv;total_pymnt;total_pymnt_inv,False,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,monthly_days_past_due,hardship_dpd;mths_since_last_delinq;num_tl_120dpd_2m;num_tl_30dpd;num_tl_90g_dpd_24m,False,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,forbearance_hardship,deferral_term;hardship_flag;hardship_status,False,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,default_timing,hardship_loan_status;last_pymnt_d;loan_status,True,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,cure_timing,collection_recovery_fee;recoveries,False,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,prepayment_timing,last_pymnt_d;out_prncp;out_prncp_inv;total_rec_prncp,False,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,monthly_ead_path,out_prncp;out_prncp_inv,False,True,usable_proxy_component
data/raw/Loan_status_2007-2020Q3.csv,True,coherent_macro_scenarios,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,servicing_panel_monthly,calendar_month;issue_month;loan_id;month_index,False,True,usable_proxy_component
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,monthly_days_past_due,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,forbearance_hardship,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,default_timing,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,cure_timing,,False,False,data_blocked
/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,True,prepayment_timing,,False,False,data_blocked
