run_name,run_tag,role,method,method_display,mean_regret,std_regret,median_regret,improvement_vs_two_stage_pct,n_observations,mode,cost_target,cost_definition,n_items,budget,n_train_instances,n_test_instances,epochs,seeds,lr,cave_max_iter,runtime_seconds,artifact_dir
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,spo_plus,SPO+,0.1223785578,0.0471458928,0.1185608618,57.6590045195,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,rfyl,RFYL,0.125404666,0.0483653594,0.1201284509,56.6120201874,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,cave,CaVE,0.128108615,0.0488088824,0.1229889914,55.6764976957,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,pairwise_ltr,Pairwise LTR,0.2242441021,0.0752175755,0.2170756087,22.4151791481,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,two_stage,Two-stage Ridge,0.2890308953,0.0845953417,0.2817149423,0.0,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,pfyl_mul,PFYL-Mul,0.7297965469,0.1560128138,0.7200621472,-152.4977631023,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_full_canonical,paper4_pyepo137_wls_topk_full_20260528,canonical_full,crpto_robust,CRPTO robust,0.9105848065,0.1940923925,0.9068947881,-215.0475672597,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,3,4906.13067483902,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_full_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,spo_plus,SPO+,0.061835402,0.0338028894,0.0581223667,61.0718119243,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,rfyl,RFYL,0.0714477125,0.0389106162,0.0653685816,55.0204269208,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,cave,CaVE,0.0722844528,0.0401676482,0.0663828151,54.4936610024,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,pairwise_ltr,Pairwise LTR,0.1019610969,0.0501978972,0.0945730153,35.8108688329,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,two_stage,Two-stage Ridge,0.1588448004,0.0690559441,0.149510026,0.0,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,pfyl_mul,PFYL-Mul,0.3881303747,0.1253694357,0.3741091026,-144.3456583555,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
paper4_temporal_canonical,paper4_pyepo137_wls_topk_temporal_20260528,canonical_temporal,crpto_robust,CRPTO robust,0.5156464261,0.1746959563,0.5092624067,-224.6227906768,4000,temporal,economic,calibrated_pd * LGD - int_rate,50,15,1600,80,75,10,0.001,3,2377.626832485199,reports/paper_material/paper4/status/paper4_pyepo137_wls_topk_temporal_20260528
pfyl_risk_only_full,paper4_pyepo137_wls_pfyl_risk_only_full_20260528,pfyl_ablation,two_stage,Two-stage Ridge,0.0830137202,0.0383297536,0.0784014892,0.0,5000,paper4_full,risk_only,calibrated_pd * LGD,100,30,2000,500,75,10,0.001,3,883.5737688541412,reports/paper_material/paper4/status/paper4_pyepo137_wls_pfyl_risk_only_full_20260528
pfyl_risk_only_full,paper4_pyepo137_wls_pfyl_risk_only_full_20260528,pfyl_ablation,crpto_robust,CRPTO robust,0.0910631714,0.0435131403,0.0867642816,-9.6965310552,5000,paper4_full,risk_only,calibrated_pd * LGD,100,30,2000,500,75,10,0.001,3,883.5737688541412,reports/paper_material/paper4/status/paper4_pyepo137_wls_pfyl_risk_only_full_20260528
pfyl_risk_only_full,paper4_pyepo137_wls_pfyl_risk_only_full_20260528,pfyl_ablation,pfyl_mul,PFYL-Mul,0.4810471147,0.1635114734,0.466911573,-479.479041576,5000,paper4_full,risk_only,calibrated_pd * LGD,100,30,2000,500,75,10,0.001,3,883.5737688541412,reports/paper_material/paper4/status/paper4_pyepo137_wls_pfyl_risk_only_full_20260528
cave_maxiter1_full,paper4_pyepo137_wls_cave_maxiter1_full_20260528,cave_sensitivity,cave,CaVE,0.1274525276,0.0486764156,0.1230376344,55.9034932847,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,1,1379.9712555408478,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter1_full_20260528
cave_maxiter1_full,paper4_pyepo137_wls_cave_maxiter1_full_20260528,cave_sensitivity,two_stage,Two-stage Ridge,0.2890308953,0.0845953417,0.2817149423,0.0,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,1,1379.9712555408478,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter1_full_20260528
cave_maxiter1_full,paper4_pyepo137_wls_cave_maxiter1_full_20260528,cave_sensitivity,crpto_robust,CRPTO robust,0.9105848065,0.1940923925,0.9068947881,-215.0475672597,5000,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,2000,500,75,10,0.001,1,1379.9712555408478,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter1_full_20260528
cave_maxiter5_medium,paper4_pyepo137_wls_cave_maxiter5_medium_20260528,cave_sensitivity,cave,CaVE,0.1553712353,0.0586540647,0.1504060486,47.3089614854,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.001,5,312.39118814468384,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter5_medium_20260528
cave_maxiter5_medium,paper4_pyepo137_wls_cave_maxiter5_medium_20260528,cave_sensitivity,two_stage,Two-stage Ridge,0.2948722214,0.0861916188,0.288365691,0.0,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.001,5,312.39118814468384,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter5_medium_20260528
cave_maxiter5_medium,paper4_pyepo137_wls_cave_maxiter5_medium_20260528,cave_sensitivity,crpto_robust,CRPTO robust,0.918431888,0.1928556449,0.9183485082,-211.4677541928,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.001,5,312.39118814468384,reports/paper_material/paper4/status/paper4_pyepo137_wls_cave_maxiter5_medium_20260528
spoplus_lr5e4_medium,paper4_pyepo137_wls_spoplus_lr5e4_medium_20260528,spoplus_robustness,spo_plus,SPO+,0.1306224597,0.0501959899,0.1253204532,55.7020123555,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.0005,3,161.15610265731812,reports/paper_material/paper4/status/paper4_pyepo137_wls_spoplus_lr5e4_medium_20260528
spoplus_lr5e4_medium,paper4_pyepo137_wls_spoplus_lr5e4_medium_20260528,spoplus_robustness,two_stage,Two-stage Ridge,0.2948722214,0.0861916188,0.288365691,0.0,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.0005,3,161.15610265731812,reports/paper_material/paper4/status/paper4_pyepo137_wls_spoplus_lr5e4_medium_20260528
spoplus_lr5e4_medium,paper4_pyepo137_wls_spoplus_lr5e4_medium_20260528,spoplus_robustness,crpto_robust,CRPTO robust,0.918431888,0.1928556449,0.9183485082,-211.4677541928,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,100,30,1000,250,50,5,0.0005,3,161.15610265731812,reports/paper_material/paper4/status/paper4_pyepo137_wls_spoplus_lr5e4_medium_20260528
spoplus_topk50_medium,paper4_pyepo137_wls_spoplus_topk50_medium_20260528,spoplus_robustness,spo_plus,SPO+,0.0637132973,0.0352185301,0.0587802026,57.1924788603,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,50,15,1000,250,50,5,0.001,3,156.96840023994446,reports/paper_material/paper4/status/paper4_pyepo137_wls_spoplus_topk50_medium_20260528
spoplus_topk50_medium,paper4_pyepo137_wls_spoplus_topk50_medium_20260528,spoplus_robustness,two_stage,Two-stage Ridge,0.1488366908,0.0613227541,0.142870713,0.0,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,50,15,1000,250,50,5,0.001,3,156.96840023994446,reports/paper_material/paper4/status/paper4_pyepo137_wls_spoplus_topk50_medium_20260528
spoplus_topk50_medium,paper4_pyepo137_wls_spoplus_topk50_medium_20260528,spoplus_robustness,crpto_robust,CRPTO robust,0.4479298112,0.1315355033,0.4402953631,-200.9538889735,1250,paper4_full,economic,calibrated_pd * LGD - int_rate,50,15,1000,250,50,5,0.001,3,156.96840023994446,reports/paper_material/paper4/status/paper4_pyepo137_wls_spoplus_topk50_medium_20260528
