policy_id,macro_regime_v15,n_paths,final_wealth_mean,final_wealth_p05,cumulative_losses_mean,cumulative_losses_p95,defaults_mean,claim_scope
v13_mdcp_empirical_base,mild_stress_internal,16,1108335.8864540048,1096137.507518339,49749.793613555856,61818.53561816482,73.3125,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_base,vintage_stress_internal,16,1093719.4730099437,1078618.095411035,61026.41338515877,72113.85860729637,80.875,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_return_recovery,baseline_internal,16,1140334.39421382,1121306.103831789,48472.17185380428,60501.39630193352,69.0,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_return_recovery,macro_stress_internal,16,1110468.294867016,1076460.6799986335,74699.63341510513,97388.43078394944,92.3125,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_return_recovery,mild_stress_internal,16,1134829.869578092,1117513.7540927257,52760.46334991257,64460.55969694643,74.0625,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_return_recovery,vintage_stress_internal,16,1117970.5904779835,1097498.4424406574,65759.23852833424,81356.50279328208,80.25,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_tight,baseline_internal,16,1077657.2898769006,1048789.1685782622,36283.13453769072,56175.46904247598,60.4375,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_tight,macro_stress_internal,16,1053066.4880280923,1031883.0290867225,57346.29284822329,76104.57595348758,78.625,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_tight,mild_stress_internal,16,1070125.1748937739,1046462.6476559457,41807.43916651048,60738.72237121982,66.8125,path_family_sensitivity_internal_not_forecast
v13_mdcp_empirical_tight,vintage_stress_internal,16,1057969.4163825181,1039508.0276916964,51323.58404579358,64486.35922467368,73.0625,path_family_sensitivity_internal_not_forecast
v13_spo_regret_audit_guarded,baseline_internal,16,1133798.0939795894,1113750.649938784,45438.92629059649,60722.70349344016,74.0625,path_family_sensitivity_internal_not_forecast
v13_spo_regret_audit_guarded,macro_stress_internal,16,1095099.6649981942,1058573.2115261275,79516.53903031001,111760.3662545482,103.25,path_family_sensitivity_internal_not_forecast
v13_spo_regret_audit_guarded,mild_stress_internal,16,1131196.1116556777,1106396.3445296306,47760.55349008688,65659.99759276866,76.1875,path_family_sensitivity_internal_not_forecast
v13_spo_regret_audit_guarded,vintage_stress_internal,16,1118493.2136721062,1096504.2484278101,59582.60082840355,80002.97775339108,85.375,path_family_sensitivity_internal_not_forecast
v13_spo_regret_balanced,baseline_internal,16,1140542.8624266272,1118138.324387031,47619.73395321792,66797.99977818606,74.625,path_family_sensitivity_internal_not_forecast
v13_spo_regret_balanced,macro_stress_internal,16,1105765.5378705768,1063706.3351374497,78993.97332227377,113208.70214408795,102.0,path_family_sensitivity_internal_not_forecast
v13_spo_regret_balanced,mild_stress_internal,16,1142200.545680542,1113960.959617903,46606.59822028178,69184.66374291823,72.6875,path_family_sensitivity_internal_not_forecast
v13_spo_regret_balanced,vintage_stress_internal,16,1126335.9222221063,1100539.2447724815,61337.65488364997,84745.65662219246,84.8125,path_family_sensitivity_internal_not_forecast
v13_spo_regret_return_recovery,baseline_internal,16,1142517.7032886462,1125139.8284559774,50781.66851328755,67177.06387619572,80.8125,path_family_sensitivity_internal_not_forecast
v13_spo_regret_return_recovery,macro_stress_internal,16,1104891.6549001662,1055252.308155082,84375.13892795373,124877.82525203284,110.5,path_family_sensitivity_internal_not_forecast
v13_spo_regret_return_recovery,mild_stress_internal,16,1142249.9439795488,1115556.6675897639,50870.64172501912,74632.69402626419,81.875,path_family_sensitivity_internal_not_forecast
v13_spo_regret_return_recovery,vintage_stress_internal,16,1129603.4518376938,1104215.0720118368,63149.960489051984,85846.36307930472,90.5,path_family_sensitivity_internal_not_forecast
v13_static_reference,baseline_internal,16,1096226.8791726434,1001077.7977096238,237639.0604061939,275337.70352203824,27.0625,path_family_sensitivity_internal_not_forecast
v13_static_reference,macro_stress_internal,16,1006862.9906598988,931788.1425981574,312513.49375334167,359275.27072282555,29.5,path_family_sensitivity_internal_not_forecast
v13_static_reference,mild_stress_internal,16,1063205.4492900223,945072.2324086276,264031.91329208843,328036.0465826929,28.0625,path_family_sensitivity_internal_not_forecast
v13_static_reference,vintage_stress_internal,16,1036972.4605094693,974548.6210323472,287942.4941015509,325480.89731591305,28.625,path_family_sensitivity_internal_not_forecast
