policy_id,n_funded,mean_cate,mean_cate_lb,mean_cate_ub,share_negative_cate,toy_loss_reduction_value
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,338,-0.0003653988722994925,-0.037880882514680615,0.03715008477008162,0.5177514792899408,2504.1463108328417
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,343,-7.835218040867236e-05,-0.037745905989942936,0.03758920162912558,0.5043731778425656,2482.92495712346
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,344,0.0005299752020045045,-0.0374889353091504,0.0385488857131594,0.48255813953488375,2480.7798490872588
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,344,0.0005031674660802222,-0.03740714093229067,0.038413475864451097,0.48255813953488375,2439.0549541463465
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,340,0.0006919824870749769,-0.03730739564398139,0.03869136061813133,0.47352941176470587,2437.9075435953096
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,343,0.0001237942381250521,-0.03770424140318741,0.03795182987943751,0.4956268221574344,2434.78692513466
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,341,0.0006196453013341193,-0.037354369191324954,0.038593659793993186,0.4750733137829912,2432.9152548830566
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,343,0.0005753239229776099,-0.03756566506899473,0.038716312914949945,0.478134110787172,2431.155794003138
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,343,0.000581228103070413,-0.03730475198709947,0.03846720819324029,0.48104956268221577,2420.9364770342336
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,340,0.0002511628715562956,-0.03742140020261899,0.03792372594573157,0.4852941176470588,2414.9201114368893
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,340,-0.0002786985493712294,-0.03786726647611147,0.037309869377369,0.5029411764705882,2405.3419868168066
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,341,-0.00018538680115276162,-0.038403353647734784,0.03803258004542925,0.49853372434017595,2376.7833471508075
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,342,0.0010034262914210656,-0.03699354550421827,0.03900039808706039,0.4649122807017544,2375.418820527186
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,339,0.0006112673425202296,-0.03711246888434189,0.03833500356938234,0.471976401179941,2361.5174345136306
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,344,0.0009047640601968998,-0.03702182023913793,0.03883134835953172,0.4738372093023256,2359.5113603971868
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,336,-1.4805187930941074e-05,-0.038457196664659694,0.038427586288797805,0.5059523809523809,2354.0578057808398
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,338,-0.0003470481340633304,-0.03851879127591596,0.037824695007789295,0.5236686390532544,2349.083246754145
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,338,0.00019227260120032065,-0.037249335542582,0.03763388074498264,0.5,2346.883004463762
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,339,-3.07195308892918e-05,-0.03793679406167143,0.03787535499989284,0.5103244837758112,2346.11437302837
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,345,0.00023106069732377807,-0.03752090593675477,0.03798302733140232,0.4811594202898551,2338.035360539474
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,338,-0.0001461035904627509,-0.0379580384912763,0.037665831310350784,0.514792899408284,2335.643237339327
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,339,-0.0003843916468496793,-0.038185727310739256,0.03741694401703989,0.5162241887905604,2330.050347129961
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,337,-5.9861744692414784e-05,-0.03765739606088238,0.03753767257149754,0.49851632047477745,2321.1317754873726
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,337,-0.00025630314047675484,-0.038541736664553926,0.03802913038360041,0.5192878338278932,2317.2508728773482
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,337,0.00011909032095854917,-0.037811396484624296,0.03804957712654138,0.5014836795252225,2312.7510300152485
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,337,-9.791419612296109e-06,-0.03773346623085957,0.03771388339163497,0.5014836795252225,2312.7504114022386
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,337,4.23661874337516e-05,-0.03705957175849702,0.03714430413336451,0.5074183976261127,2309.612635902366
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,344,0.000344855249222933,-0.037533580401754495,0.03822329090020035,0.49127906976744184,2309.603497413273
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,332,-7.888465172899769e-05,-0.03796369019715646,0.037805920893698455,0.5090361445783133,2307.77686741495
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,343,0.0003201845031268849,-0.03758213253412184,0.038222501540375604,0.4897959183673469,2306.0033507570847
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,342,0.0003208821045669436,-0.0375748852771884,0.03821664948632228,0.4824561403508772,2299.031127331294
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,340,0.0003528319468773411,-0.0373433168428623,0.03804898073661697,0.4852941176470588,2298.584224557183
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,336,-0.0002801886977663357,-0.03870436775384416,0.03814399035831147,0.5178571428571429,2292.8941375247623
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,342,0.000555466386736776,-0.037313056383075076,0.03842398915654862,0.4824561403508772,2289.0161810300974
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,338,9.288391790411476e-05,-0.03749776677427457,0.037683534610082794,0.5,2288.6018233699288
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,335,-9.315658266169823e-05,-0.038000603186674184,0.037814290021350776,0.5044776119402985,2282.0189069927774
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,338,0.00010553206606807674,-0.037924294541233194,0.03813535867336934,0.4970414201183432,2279.7986376493877
paper1_economic_champion,335,0.00023757057767564966,-0.036894480390029454,0.037369621545380746,0.48656716417910445,2272.8992437922925
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,337,-0.00016853054440169095,-0.03798939374039275,0.03765233265158936,0.516320474777448,2269.0486481339094
