month,split,oracle_value_proxy,candidate_value_proxy,decision_regret_proxy_v20,oracle_route,candidate_route,version_v24,version_v28,regret_improvement_target_v28,regret_rank_v32,version_v32,formal_spo_plus_claim_allowed,claim_boundary_v32,regret_ratio_v40,candidate_to_oracle_value_ratio_v40,temporal_split_validation_v40,formal_differentiable_spo_claim_allowed,v40_training_target,v40_decision,claim_boundary_v40
2020-03-01,test,78213.53122747983,8207.946084058789,70005.58514342105,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.8950572112619949,0.10494278873800521,test,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2020-04-01,test,61482.48314121908,13464.155719577166,48018.32742164192,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.7810082639529807,0.21899173604701933,test,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2020-05-01,test,51951.59701476296,17710.26317356495,34241.33384119801,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.6591006977411633,0.3408993022588365,test,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2020-06-01,test,42781.034854870726,17006.704168170458,25774.33068670027,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.6024709494320659,0.39752905056793414,test,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2020-07-01,test,50077.94670717937,12031.658781087835,38046.287926091536,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.7597413717571027,0.2402586282428974,test,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2020-08-01,test,34214.712358683246,14618.044610280354,19596.66774840289,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.572755589553554,0.427244410446446,test,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2020-09-01,test,21156.29474531241,15944.024615622904,5212.27012968951,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.2463697066257025,0.7536302933742977,test,False,reduce temporal oracle gap under same constraints,monitor_promising_month,decision-oracle/surrogate regret only; not formal differentiable SPO+
2018-01-01,train,145422.09415337763,41578.46593873046,103843.62821464718,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.7140842580985158,0.2859157419014842,train,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2018-02-01,train,146391.32017051068,13763.678971794245,132627.64119871642,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.9059802250860032,0.09401977491399674,train,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2018-03-01,train,144338.36358886058,7743.202636690918,136595.16095216965,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.9463538144387795,0.05364618556122044,train,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
2018-04-01,train,150276.87981962867,6089.338237413501,144187.54158221517,monthly_top40_return_proxy,CatBoostRegressor_regret_surrogate,temporal_oracle_regret,temporal_oracle_regret_v2,lower oracle gap under temporal splits,,spo_oracle_regret_v3_without_differentiable_layers,False,decision-oracle/surrogate regret only; not formal differentiable SPO+,0.9594792076816987,0.04052079231830132,train,False,reduce temporal oracle gap under same constraints,surrogate_not_superior_yet,decision-oracle/surrogate regret only; not formal differentiable SPO+
