policy_id,month_idx,calendar_month,cash_end,principal_in,interest_in,realized_loss,recovery_in,expected_loss,capital_used,outstanding_items,outstanding_balance_proxy,macro_state_v8,state_value_proxy_v8,continuation_value_proxy_v8,decision_scope
v8_dla_value_function_proxy,1,2018-01-01,680975.0,0.0,0.0,0.0,0.0,0.0,0.0,166,319025.0,0.09324072411178948,1000000.0,319025.0,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,2,2018-02-01,468634.5422916666,27722.916666666642,2663.375625,1575.0,173.25,1590.6381237701537,63185.415475226786,268,529127.0833333334,-0.012648536647571623,988588.7376442027,519954.19535253604,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,3,2018-03-01,339063.233292824,43045.83333333333,4515.257667824075,3660.0,402.6,2364.4965743881153,111788.3196951472,347,651822.9166666666,-0.15532597118928929,975107.0550216848,636043.8217288608,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,4,2018-04-01,257144.80608796288,43013.194444444416,5521.628350694445,424.99999999999994,46.74999999999999,2284.02756624752,138639.88760775147,415,737940.2777777778,-0.37356492886549086,976164.2697865629,719019.4636986,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,5,2018-05-01,203576.96949074074,48082.63888888895,6195.215138888885,3871.562499999999,425.87187499999993,3172.6118481017543,157828.0521667939,470,785654.1666666666,-0.16053158664884887,967119.1580492904,763542.1885585496,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,6,2018-06-01,171190.1860358797,51088.888888888985,6624.190156249997,3876.25,426.3875,3090.391504483487,168721.79422083712,508,812601.3888888889,-0.24817672911534677,960454.5681137847,789264.3820779049,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,7,2018-07-01,149206.97038809667,53750.00000000006,6758.035468749993,8726.25,909.9988834668774,4968.635368322637,175336.4387361206,533,814134.7222222221,0.19056913157856142,937332.6845936617,788125.714205565,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,8,2018-08-01,144681.29114858207,57985.416666666824,6889.327158564814,6875.0,674.5769352537853,6085.11149529194,175759.55424809337,552,804071.5277777778,0.3959906169513433,921576.5609212966,776895.2697727145,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,9,2018-09-01,135248.99586613837,52108.33333333358,6723.929328703705,10957.499999999998,1067.9420555190447,6089.20741823987,173477.6490570194,557,785988.1944444444,0.41792666965078706,894330.6650055005,759081.6691393622,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,10,2018-10-01,130388.10244236162,53756.25000000021,6628.9674594907465,7429.374999999999,708.2641167323595,6223.373054487827,168624.34524313337,572,774247.2222222221,0.4889021991201154,878177.0301809199,747788.9277385583,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,11,2018-11-01,125449.05040905328,45218.75000000018,6462.117505787036,12815.937499999998,1146.0179609045274,7433.8588591108,166106.10806154378,573,745498.611111111,0.6859562272768374,843581.0696936682,718132.0192846148,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,12,2018-12-01,113577.41048192937,41174.305555555664,6330.62696759259,10101.250000000002,949.6775497278451,6092.127599848249,159777.2165995757,580,732102.0833333333,0.5328051817750444,820414.1002234652,706836.6897415358,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,13,2019-01-01,113302.1863531628,54387.5000000003,6309.370185185184,5192.5,570.4056860479559,3496.087352696983,156628.8369498153,589,722525.6944444444,0.004938622706108786,813536.3330109322,700234.1466577693,loan_level_monthly_value_function_proxy
v8_dla_value_function_proxy,14,2019-02-01,105514.57307420374,44295.83333333358,6220.981684027776,8631.875,927.4467036795905,3761.5440167461165,155032.18330419043,592,709647.9166666665,0.08518638310683516,792797.0837276212,687282.5106534176,loan_level_monthly_value_function_proxy
