period,policy_id,funded_count,funded_exposure,realized_return_proxy_lgd45,ecl_proxy_lgd45,observed_default_rate,weighted_miscoverage,coverage_90,coverage_95,avg_width_90,gap_90,status
2018H1,paper1_economic_champion,8,16025.0,2833.0125000000003,1709.333323893061,0.0,0.0,0.9270696796518639,0.9580558905258743,0.7672380350342014,0.02706967965186391,historical_replay_not_online_learning
2018H1,paper1_economic_champion,8,15863.906564535564,1366.3760064313606,1255.3568441330958,0.25,0.25,0.9254582235027279,0.9570281370685956,0.7762175678909865,0.02545822350272786,historical_replay_not_online_learning
2018H1,paper1_economic_champion,4,9700.0,1548.73,680.6422949233794,0.0,0.0,0.922537490559931,0.9548494983277592,0.7719845558799431,0.02253749055993093,historical_replay_not_online_learning
2018H1,paper1_economic_champion,3,5000.0,53.83999999999992,318.4137942660557,0.3333333333333333,0.3333333333333333,0.9235525576166386,0.9545710051612244,0.7785553306352152,0.023552557616638548,historical_replay_not_online_learning
2018H1,paper1_economic_champion,8,15050.0,2713.9900000000002,1474.237809621642,0.0,0.0,0.9213682807641048,0.957302927094131,0.7787263315509376,0.021368280764104797,historical_replay_not_online_learning
2018H1,paper1_economic_champion,13,38500.0,4778.15,4371.90666875038,0.15384615384615385,0.15384615384615385,0.9252648212091064,0.9588576110493358,0.768231492917236,0.025264821209106336,historical_replay_not_online_learning
2018H2,paper1_economic_champion,17,31025.0,6964.1925,4260.419418602802,0.0,0.0,0.9281957331127002,0.9627090597482418,0.7700053078978142,0.028195733112700183,historical_replay_not_online_learning
2018H2,paper1_economic_champion,13,23575.0,4336.8525,2358.7652505508404,0.0,0.0,0.928562952414857,0.9645781416874333,0.7643698713521966,0.028562952414856957,historical_replay_not_online_learning
2018H2,paper1_economic_champion,12,32875.0,6551.2525000000005,3210.092198045277,0.0,0.0,0.9253341297692824,0.9615470768311805,0.7499554006013274,0.0253341297692824,historical_replay_not_online_learning
2018H2,paper1_economic_champion,14,77525.0,15590.7675,9208.35281600521,0.0,0.0,0.9197839567913583,0.9588584383543375,0.7525704918163761,0.019783956791358248,historical_replay_not_online_learning
2018H2,paper1_economic_champion,24,57250.0,9907.69,6567.431776370056,0.041666666666666664,0.041666666666666664,0.9222486144101346,0.9578780680918448,0.773219323752118,0.022248614410134593,historical_replay_not_online_learning
2018H2,paper1_economic_champion,15,46200.0,8303.7,4880.920560483205,0.0,0.0,0.9263686763686764,0.966042966042966,0.7682837968311202,0.026368676368676347,historical_replay_not_online_learning
2019H1,paper1_economic_champion,18,62925.0,13106.31,8861.185277679679,0.0,0.0,0.9285397248113626,0.9657345761207279,0.7578289833130235,0.028539724811362577,historical_replay_not_online_learning
2019H1,paper1_economic_champion,12,45750.0,7290.89,4275.1675192831535,0.08333333333333333,0.08333333333333333,0.9219158545281674,0.9589969099120513,0.7576534840639098,0.021915854528167356,historical_replay_not_online_learning
2019H1,paper1_economic_champion,16,32400.0,5835.12,4602.708744217609,0.0625,0.0625,0.9315365947119684,0.970366585770852,0.7647673957796801,0.031536594711968347,historical_replay_not_online_learning
2019H1,paper1_economic_champion,20,77500.0,7272.1,7284.068385554326,0.25,0.25,0.9297877303475623,0.9661768136225799,0.7557620748196631,0.029787730347562325,historical_replay_not_online_learning
