policy_id,n_scenarios,n_loans,funded_exposure,mean_scenario_return_v51,p05_scenario_return_v51,p95_scenario_loss_v51,mean_defaults_v51,claim_boundary_v51
v51_dla_source_balanced_book,128,33,1216750.0,138464.67914711853,134924.69316534247,0.0,8.8828125,scenario-matrix replay over materialized books; no production forecast claim
v51_dla_tail_guard_book,128,33,1216750.0,138464.67914711853,134924.69316534247,0.0,8.8828125,scenario-matrix replay over materialized books; no production forecast claim
v51_spo_solver_oracle_return,128,33,1216750.0,138464.67914711853,134924.69316534247,0.0,8.8828125,scenario-matrix replay over materialized books; no production forecast claim
