split,mean_decision_regret_proxy,median_decision_regret_proxy,worst_decision_regret_proxy,n_policy_months,differentiable_layer_implemented_v16,pyomo_highs_oracle_used_v16,claim_scope_v16
train,8969.518506824277,8686.26627230543,34032.861530788236,117,False,True,decision_oracle_regret_path_not_formal_spo_plus
validation,3169.379548248681,3144.980074855148,8723.591616107293,122,False,True,decision_oracle_regret_path_not_formal_spo_plus
test,816.7827870655755,517.3891876120911,3710.7607593576095,112,False,True,decision_oracle_regret_path_not_formal_spo_plus
