policy_id,exact_limited_n,proxy_n,overlap_n,jaccard_exact_limited_vs_proxy,status,candidate_pool_n,solver_status,objective_value,n_funded_exact_limited,total_allocated_exact_limited,realized_return_exact_limited,weighted_pd_high_exact_limited,coverage_alpha01_exact_limited,n_funded_proxy,total_allocated_proxy,realized_return_proxy,ecl_proxy,return_diff_exact_limited_vs_proxy,allocation_diff_exact_limited_vs_proxy
paper1_economic_champion,335,335,335,1.0,exact_limited_candidate_subset_comparison,,paper1_canonical_exact,,335,1000000.0,173329.6634158451,0.2772502754128551,0.9432835820895522,335,1000000.0,173329.66341584513,124762.62393578478,-2.9103830456733704e-11,0.0
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,343,343,272,0.6570048309178744,exact_limited_candidate_subset_comparison,3000.0,TerminationCondition.optimal,143317.45187616022,343,1000000.0,157485.99601203215,0.2233236567285602,0.9446064139941691,343,973625.0,156561.93,94225.01283093481,924.0660120321554,26375.0
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,343,342,299,0.7746113989637305,exact_limited_candidate_subset_comparison,3000.0,TerminationCondition.optimal,142663.80271365662,343,1000000.0,162290.89219159796,0.2389850011604707,0.9446064139941691,342,921125.0,151328.01,97331.621583814,10962.88219159795,78875.0
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,345,343,290,0.7286432160804021,exact_limited_candidate_subset_comparison,3000.0,TerminationCondition.optimal,143370.0012798559,345,1000000.0,164511.79987024603,0.24376909094138569,0.9449275362318841,343,917475.0,151285.9975,98250.51508055994,13225.802370246034,82525.0
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,343,343,279,0.6855036855036855,exact_limited_candidate_subset_comparison,3000.0,TerminationCondition.optimal,140711.40169183473,343,1000000.0,157771.10324584515,0.2266826249502611,0.9416909620991254,343,975800.0,158332.48,97169.48759137848,-561.3767541548586,24200.0
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,347,345,303,0.7789203084832905,exact_limited_candidate_subset_comparison,3000.0,TerminationCondition.optimal,143889.37198399656,347,1000000.0,171272.8239004854,0.24687130685259728,0.9510086455331412,345,929700.0,155639.47,100938.42121270776,15633.35390048541,70300.0
