constraint_type_v275,source_family,source_id,cap_share_v275
budget_range,,,
selected_row_cardinality,,,
source_share,grade,A,0.8531348749298603
source_share,grade,B,0.8531348749298603
source_share,grade,C,0.8531348749298603
source_share,grade,D,0.8531348749298603
source_share,grade,E,0.8531348749298603
source_share,grade,F,0.8531348749298603
source_share,score_decile,0,0.9
source_share,score_decile,1,0.9
source_share,score_decile,2,0.9
source_share,score_decile,3,0.9
source_share,score_decile,4,0.9
source_share,income_band,0,0.85
source_share,income_band,1,0.85
source_share,income_band,2,0.85
source_share,income_band,3,0.85
source_share,income_band,4,0.85
source_share,dti_band,0,0.85
source_share,dti_band,1,0.85
source_share,dti_band,2,0.85
source_share,dti_band,3,0.85
source_share,dti_band,4,0.85
source_share,period,2018,0.82
source_share,period,2019,0.82
source_share,period,2020,0.82
source_share,state_top20,AZ,0.35
source_share,state_top20,CA,0.35
source_share,state_top20,CO,0.35
source_share,state_top20,FL,0.35
source_share,state_top20,GA,0.35
source_share,state_top20,IL,0.35
source_share,state_top20,IN,0.35
source_share,state_top20,MA,0.35
source_share,state_top20,MD,0.35
source_share,state_top20,MI,0.35
source_share,state_top20,MN,0.35
source_share,state_top20,NC,0.35
source_share,state_top20,NJ,0.35
source_share,state_top20,NV,0.35
source_share,state_top20,NY,0.35
source_share,state_top20,OH,0.35
source_share,state_top20,PA,0.35
source_share,state_top20,TX,0.35
source_share,state_top20,VA,0.35
source_share,state_top20,WA,0.35
source_share,state_top20,other,0.35
cvar_cap,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
cvar_path_excess,,,
