portfolio_label_v289,source_family,source_id,cap_share_v289,source_exposure_v289,source_share_v289,source_slack_v289,source_cap_violated_v289,claim_boundary_v289
next_one_swap_repair_candidate,grade,A,0.8531348749298603,719575.0,0.8531076795399982,2.7195389862066932e-05,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,grade,B,0.8531348749298603,25625.0,0.030380272088680754,0.8227546028411795,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,grade,C,0.8531348749298603,29400.0,0.03485580485491568,0.8182790700749446,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,grade,D,0.8531348749298603,54125.0,0.06416906250926228,0.788965812420598,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,grade,E,0.8531348749298603,12750.0,0.015116037819733839,0.8380188371101265,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,grade,F,0.8531348749298603,2000.0,0.0023711431874092297,0.850763731742451,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,0,0.9,759100.0,0.8999673967811731,3.2603218826920966e-05,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,1,0.9,44525.0,0.05278757520969798,0.847212424790302,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,2,0.9,30250.0,0.0358635407095646,0.8641364592904355,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,3,0.9,9600.0,0.011381487299564303,0.8886185127004357,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,4,0.9,0.0,0.0,0.9,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,5,0.9,0.0,0.0,0.9,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,6,0.9,0.0,0.0,0.9,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,7,0.9,0.0,0.0,0.9,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,8,0.9,0.0,0.0,0.9,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,score_decile,9,0.9,0.0,0.0,0.9,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,income_band,0,0.85,6600.0,0.007824772518450459,0.8421752274815495,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,income_band,1,0.85,15825.0,0.01876167047037553,0.8312383295296244,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,income_band,2,0.85,49350.0,0.05850795814932274,0.7914920418506772,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,income_band,3,0.85,90800.0,0.10764990070837903,0.742350099291621,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,income_band,4,0.85,680900.0,0.8072556981534722,0.04274430184652778,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,dti_band,0,0.85,632300.0,0.749636918699428,0.10036308130057203,False,exact-relief post-swap source diagnostic only
next_one_swap_repair_candidate,dti_band,1,0.85,160875.0,0.1907288301372299,0.65927116986277,False,exact-relief post-swap source diagnostic only
