policy_id,regime_v71,constraint_index_v71,lhs_v71,rhs_v71,slack_v71,marginal_v71,binding_v71,claim_boundary_v71,constraint_type_v71,source_family,source_id,cap_share_v71,cap_mode_v71,path_id
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,0,841620.75,850000.0,8379.25,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,budget_upper,,,,,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,1,-841620.75,-841620.75,0.0,-0.22053078641439974,True,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,budget_lower,,,,,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,2,-1.0550138540565968e-10,0.0,1.0550138540565968e-10,-0.32201468768768976,True,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,grade,A,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,3,-449406.8411412116,0.0,449406.8411412116,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,grade,B,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,4,-505688.74999999965,0.0,505688.74999999965,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,grade,C,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,5,-505488.65885878773,0.0,505488.65885878773,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,grade,D,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,6,-569613.7499999995,0.0,569613.7499999995,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,grade,E,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,7,-574363.7499999995,0.0,574363.7499999995,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,grade,F,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,8,1.8553691916167736e-10,0.0,-1.8553691916167736e-10,-0.0798446953750393,True,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,score_decile,0,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,9,-454247.25,0.0,454247.25,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,score_decile,1,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,10,-531623.7500000002,0.0,531623.7500000002,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,score_decile,2,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,11,-602497.25,0.0,602497.25,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,score_decile,3,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,12,-607497.25,0.0,607497.25,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,score_decile,4,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,13,-418132.52385878796,0.0,418132.52385878796,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,income_band,0,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,14,-369131.4561412121,0.0,369131.4561412121,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,income_band,1,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,15,-371204.865,0.0,371204.865,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,income_band,2,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,16,-309204.865,0.0,309204.865,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,income_band,3,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,17,-299729.865,0.0,299729.865,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,income_band,4,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,18,-34046.364999999765,0.0,34046.364999999765,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,dti_band,0,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,19,-350079.865,0.0,350079.865,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,dti_band,1,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,20,-413631.3650000001,0.0,413631.3650000001,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,dti_band,2,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,21,-465741.1150000001,0.0,465741.1150000001,-0.0,False,HiGHS marginal from v70 restricted-master LP; not full-universe certificate,source_share,dti_band,3,0.62,incumbent_cvar_relaxed_source_lp,
