policy_id,reference_policy_id,mean_loss_diff_vs_reference,p05_loss_diff_vs_reference,p95_loss_diff_vs_reference,prob_lower_loss_than_reference,n_common_paths
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,v12_spo_regret_return_recovery,6460.504818799494,-55977.994781013105,75085.93275429997,0.2916666666666667,240
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,v12_spo_regret_return_recovery,5984.0630118476965,-59540.54372994533,76256.59554082119,0.325,240
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,v12_spo_regret_return_recovery,13776.357057004792,-52416.18085992317,84597.24786172906,0.25416666666666665,240
v12_mdcp_empirical_base,v12_spo_regret_return_recovery,24248.163775034798,-40300.20931022168,96083.09053303915,0.19166666666666668,240
v12_mdcp_empirical_return_recovery,v12_spo_regret_return_recovery,19902.520887004615,-44983.878087472855,102820.23948415693,0.23333333333333334,240
v12_mdcp_empirical_tight,v12_spo_regret_return_recovery,23617.619762670824,-37552.27359052989,95191.58549167322,0.21666666666666667,240
v12_spo_regret_audit_guarded,v12_spo_regret_return_recovery,-1366.5475506652776,-59758.96774236628,58782.32664048365,0.4166666666666667,240
v12_spo_regret_balanced,v12_spo_regret_return_recovery,-763.020996314805,-63148.15709858414,62386.84391735178,0.425,240
v12_spo_regret_return_recovery,v12_spo_regret_return_recovery,0.0,0.0,0.0,0.0,240
