policy_id,scenario,ifrs9_stage,stage_exposure,stage_ecl,total_exposure,total_ecl,stage_exposure_share,stage_ecl_share
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,Stage 2 proxy,858250.0,109775.15355215668,896375.0,116457.86310344585,0.9574675777436898,0.9426169313672437
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,Stage 3 observed,38125.0,6682.709551289176,896375.0,116457.86310344585,0.04253242225631014,0.05738306863275634
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,Stage 2 proxy,858250.0,87820.12284172534,896375.0,93166.29048275668,0.9574675777436898,0.9426169313672437
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,Stage 3 observed,38125.0,5346.167641031341,896375.0,93166.29048275668,0.04253242225631014,0.05738306863275635
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,Stage 2 proxy,858250.0,137382.93166197147,896375.0,145512.33852423058,0.9574675777436898,0.9441325254977919
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,Stage 3 observed,38125.0,8129.406862259111,896375.0,145512.33852423058,0.04253242225631014,0.055867474502208005
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,adverse,Stage 2 proxy,856300.0,110146.15761736545,894425.0,116922.35380943699,0.9573748497638147,0.9420453320404791
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,adverse,Stage 3 observed,38125.0,6776.196192071538,894425.0,116922.35380943699,0.04262515023618526,0.057954667959520846
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,baseline,Stage 2 proxy,856300.0,88116.92609389235,894425.0,93537.88304754958,0.9573748497638147,0.9420453320404792
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,baseline,Stage 3 observed,38125.0,5420.95695365723,894425.0,93537.88304754958,0.04262515023618526,0.057954667959520846
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,severe,Stage 2 proxy,856300.0,138229.20458313296,894425.0,146360.58041705727,0.9573748497638147,0.9444428560562291
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,severe,Stage 3 observed,38125.0,8131.375833924301,894425.0,146360.58041705727,0.04262515023618526,0.05555714394377086
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,Stage 2 proxy,875450.0,111842.57157882195,913825.0,118703.68065547329,0.958006182803053,0.9421996939036366
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,Stage 3 observed,38375.0,6861.10907665133,913825.0,118703.68065547329,0.0419938171969469,0.05780030609636343
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,Stage 2 proxy,875450.0,89474.05726305756,913825.0,94962.94452437863,0.958006182803053,0.9421996939036366
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,Stage 3 observed,38375.0,5488.887261321064,913825.0,94962.94452437863,0.0419938171969469,0.05780030609636343
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,Stage 2 proxy,875450.0,140042.07322659294,913825.0,148285.94906051725,0.958006182803053,0.9444055496413899
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,Stage 3 observed,38375.0,8243.875833924301,913825.0,148285.94906051725,0.0419938171969469,0.05559445035861003
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,Stage 2 proxy,924525.0,111851.58690143669,961150.0,117959.2961081169,0.9618946054205899,0.9482218917186305
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,Stage 3 observed,36625.0,6107.70920668022,961150.0,117959.2961081169,0.03810539457941008,0.051778108281369625
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,Stage 2 proxy,924525.0,89481.49638565673,961150.0,94367.66375100092,0.9618946054205899,0.9482220161957505
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,Stage 3 observed,36625.0,4886.167365344176,961150.0,94367.66375100092,0.03810539457941008,0.05177798380424937
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,Stage 2 proxy,924525.0,140402.52324969805,961150.0,147856.93011195716,0.9618946054205899,0.9495836491626423
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,Stage 3 observed,36625.0,7454.406862259111,961150.0,147856.93011195716,0.03810539457941008,0.0504163508373577
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,adverse,Stage 2 proxy,932875.0,114199.34883807025,966250.0,119089.9968190215,0.9654592496765847,0.9589331756521627
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,adverse,Stage 3 observed,33375.0,4890.647980951259,966250.0,119089.9968190215,0.03454075032341526,0.0410668243478373
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,baseline,Stage 2 proxy,932875.0,91359.4790704562,966250.0,95271.9974552172,0.9654592496765847,0.9589331756521627
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,baseline,Stage 3 observed,33375.0,3912.5183847610074,966250.0,95271.9974552172,0.03454075032341526,0.0410668243478373
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,severe,Stage 2 proxy,932875.0,143843.98601061382,966250.0,149837.86184453813,0.9654592496765847,0.9599975883255518
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,severe,Stage 3 observed,33375.0,5993.875833924301,966250.0,149837.86184453813,0.03454075032341526,0.04000241167444815
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,adverse,Stage 2 proxy,941950.0,115570.72201767888,975800.0,121461.8594892231,0.9653105144496823,0.9514980464129407
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,adverse,Stage 3 observed,33850.0,5891.137471544214,975800.0,121461.8594892231,0.034689485550317686,0.04850195358705928
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,baseline,Stage 2 proxy,941950.0,92456.57761414311,975800.0,97169.48759137848,0.9653105144496823,0.9514980464129408
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,baseline,Stage 3 observed,33850.0,4712.909977235371,975800.0,97169.48759137848,0.034689485550317686,0.04850195358705928
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,severe,Stage 2 proxy,941950.0,145718.53542488624,975800.0,152803.3752592173,0.9653105144496823,0.953634271348311
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,severe,Stage 3 observed,33850.0,7084.839834331065,975800.0,152803.3752592173,0.034689485550317686,0.04636572865168891
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,Stage 2 proxy,922325.0,107061.59910423515,962200.0,113380.23792432886,0.9585585117439201,0.94427036901871
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,Stage 3 observed,39875.0,6318.638820093709,962200.0,113380.23792432886,0.041441488256079816,0.05572963098129
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,Stage 2 proxy,922325.0,85649.27928338812,962200.0,90704.1903394631,0.9585585117439201,0.94427036901871
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,Stage 3 observed,39875.0,5054.911056074967,962200.0,90704.1903394631,0.041441488256079816,0.05572963098128999
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,Stage 2 proxy,922325.0,135173.2286235777,962200.0,142878.47453322983,0.9585585117439201,0.9460713313546746
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,severe,Stage 3 observed,39875.0,7705.245909652123,962200.0,142878.47453322983,0.041441488256079816,0.05392866864532546
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,adverse,Stage 2 proxy,910850.0,106503.58589878007,948025.0,112325.53350382764,0.9607868990796656,0.9481689743779479
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,adverse,Stage 3 observed,37175.0,5821.947605047563,948025.0,112325.53350382764,0.03921310092033438,0.051831025622052114
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,baseline,Stage 2 proxy,910850.0,85202.86871902406,948025.0,89860.42680306212,0.9607868990796656,0.9481689743779478
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,baseline,Stage 3 observed,37175.0,4657.558084038051,948025.0,89860.42680306212,0.03921310092033438,0.05183102562205211
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,severe,Stage 2 proxy,910850.0,134580.26361706652,948025.0,141663.86685321236,0.9607868990796656,0.9499971065770382
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,severe,Stage 3 observed,37175.0,7083.603236145841,948025.0,141663.86685321236,0.03921310092033438,0.05000289342296189
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,adverse,Stage 2 proxy,921950.0,107637.0316456969,958125.0,113044.89828142473,0.9622439660795825,0.9521617806911996
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,adverse,Stage 3 observed,36175.0,5407.8666357278225,958125.0,113044.89828142473,0.03775603392041748,0.04783821930880034
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,baseline,Stage 2 proxy,921950.0,86109.62531655752,958125.0,90435.91862513978,0.9622439660795825,0.9521617806911996
