split,best_epoch,mean_decision_regret,total_decision_regret,mean_true_value,mean_pred_value_under_true_score,v13_decision,differentiable_layer_implemented_v13,claim_scope_v13,candidate_count_v13
test,10,0.0,0.0,-143.45293580855585,-122.32966087341576,keep_as_non_differentiable_spo_style_surrogate,False,temporal_regret_approximation_not_formal_spo_plus,3
train,10,472.07171479303753,8497.290866274676,-687.6834671840293,-1113.6746642670232,keep_as_non_differentiable_spo_style_surrogate,False,temporal_regret_approximation_not_formal_spo_plus,3
validation,10,13.750035821526662,68.75017910763331,-527.6894715831088,-268.03345896004396,keep_as_non_differentiable_spo_style_surrogate,False,temporal_regret_approximation_not_formal_spo_plus,3
