policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,cvar90_simulated_loss,n_paths
paper4_v4_local_rt0p1700_g0p475_u0p100,adverse,14513.320149685584,-41939.22234190766,15133.432622959897,70817.15636962822,0.668,289942.88454356155,250
paper4_v4_local_rt0p1700_g0p475_u0p100,baseline,9641.232426689327,-54036.426543963724,12600.924274330917,63572.538697221615,0.64,206619.45087254877,250
paper4_v4_local_rt0p1700_g0p475_u0p100,severe,11637.068861198368,-39419.70723157336,10041.322295085836,70536.2255408544,0.636,378723.2832933472,250
paper4_v4_local_rt0p1700_g0p500_u0p000,adverse,14398.275399308439,-45591.29437387818,16574.3284797381,65688.11238064327,0.68,290397.4207812758,250
paper4_v4_local_rt0p1700_g0p500_u0p000,baseline,13773.98472840038,-42161.75781445038,14581.577377962058,68362.03779500924,0.668,198651.88504795553,250
paper4_v4_local_rt0p1700_g0p500_u0p000,severe,15737.021881067307,-40926.843027763374,14947.613020535971,76119.94309038759,0.664,359182.04321318405,250
paper4_v4_local_rt0p1700_g0p500_u0p025,adverse,12946.566718534117,-43371.49591992621,13294.777549843515,65965.21701622993,0.656,294200.0073295449,250
paper4_v4_local_rt0p1700_g0p500_u0p025,baseline,14068.718269790734,-42892.78330108677,11652.57511804346,69309.8645518771,0.636,201204.71146691698,250
paper4_v4_local_rt0p1700_g0p500_u0p025,severe,18810.299429906296,-35508.69702875324,17691.024217048693,79028.56271768098,0.72,362967.9698533844,250
paper4_v4_local_rt0p1700_g0p500_u0p050,adverse,16385.76417498795,-36988.791082312404,14957.146691754591,72233.886238222,0.644,289521.05223647656,250
paper4_v4_local_rt0p1700_g0p500_u0p050,baseline,14041.60686942121,-44106.66541569166,15738.479971323839,67229.42356359289,0.676,202727.46425158172,250
paper4_v4_local_rt0p1700_g0p500_u0p050,severe,15647.468689139481,-47833.434802349126,15778.663033556335,69902.51931342362,0.7,366906.8128608749,250
paper4_v4_local_rt0p1700_g0p500_u0p075,adverse,14498.48030432056,-37402.22909197951,12515.327806400892,71936.19055913916,0.656,286825.37625664315,250
paper4_v4_local_rt0p1700_g0p500_u0p075,baseline,13585.201570182538,-38725.85558507924,13279.786130195873,69668.76375833276,0.672,204464.1158685232,250
paper4_v4_local_rt0p1700_g0p500_u0p075,severe,11934.464373419167,-45436.03311925858,14400.420058067171,70060.77736274851,0.62,371074.6364683788,250
paper4_v4_local_rt0p1700_g0p500_u0p100,adverse,14393.531295164623,-43801.27161298323,13225.720645001133,67791.81620655883,0.644,294617.8251719772,250
paper4_v4_local_rt0p1700_g0p500_u0p100,baseline,14350.272207644439,-39648.411113046655,16787.53145576766,66698.16765260127,0.668,205669.2392596598,250
paper4_v4_local_rt0p1700_g0p500_u0p100,severe,11864.474606592132,-49154.11042026282,12127.821939808406,71902.916760804,0.616,372318.19040415355,250
paper4_v4_local_rt0p1725_g0p400_u0p000,adverse,-8481.79981958611,-65918.85694429158,-8193.752262627364,47697.97372134051,0.396,312047.7463074015,250
paper4_v4_local_rt0p1725_g0p400_u0p000,baseline,-2759.8649523485738,-59523.91677787894,-4240.07593107556,52076.68380247031,0.46,224483.99220052996,250
paper4_v4_local_rt0p1725_g0p400_u0p000,severe,-7518.492253378844,-67914.52362829645,-4439.534526217525,46931.26910948167,0.44,382442.03128308035,250
paper4_v4_local_rt0p1725_g0p400_u0p025,adverse,-7296.587257444119,-65253.16867433008,-5365.0776839596765,51047.11306229748,0.416,317530.46569856774,250
paper4_v4_local_rt0p1725_g0p400_u0p025,baseline,-1146.1319325395068,-53093.876235203716,-4443.91836733586,56462.48146237629,0.452,217016.93134479062,250
paper4_v4_local_rt0p1725_g0p400_u0p025,severe,-9375.55456824209,-71936.5685783991,-9316.464220724398,46207.310795957594,0.388,388696.5687207202,250
paper4_v4_local_rt0p1725_g0p400_u0p050,adverse,-7608.478170885958,-63343.786652256946,-7883.6446185174655,47772.74956946056,0.432,315421.22672182095,250
paper4_v4_local_rt0p1725_g0p400_u0p050,baseline,-4474.532719287359,-58219.008712558454,-5625.623559081642,52130.53794607118,0.404,231006.85500710813,250
paper4_v4_local_rt0p1725_g0p400_u0p050,severe,-6189.097590133246,-59906.754687200126,-8237.697414484472,48497.24460438203,0.412,383061.61954238237,250
paper4_v4_local_rt0p1725_g0p400_u0p075,adverse,-5497.337148313467,-59489.86877387022,-3186.1958943295067,52825.400395737866,0.472,315970.2896211978,250
paper4_v4_local_rt0p1725_g0p400_u0p075,baseline,1297.3539258864182,-52301.06257631283,4222.663782997122,52390.39568113493,0.528,223258.32053388265,250
paper4_v4_local_rt0p1725_g0p400_u0p075,severe,-7453.680700231069,-65958.51006119807,-4662.374828502513,42119.467127895405,0.424,389219.0509348339,250
paper4_v4_local_rt0p1725_g0p400_u0p100,adverse,-5601.626367032659,-61697.40449605989,-6873.3291950507055,48111.78192682407,0.424,317222.6372146292,250
paper4_v4_local_rt0p1725_g0p400_u0p100,baseline,-1067.1847151241695,-55069.83458553054,941.2835447428502,54740.915776266156,0.544,220489.16565783232,250
paper4_v4_local_rt0p1725_g0p400_u0p100,severe,-9241.461387441443,-68021.18973329672,-10977.320975926348,43779.28822029967,0.396,387668.7414453881,250
paper4_v4_local_rt0p1725_g0p425_u0p000,adverse,-1858.4534239241068,-51334.66648908917,-4012.4699495686837,55250.38822622781,0.456,304892.0011690723,250
paper4_v4_local_rt0p1725_g0p425_u0p000,baseline,-429.91596312620857,-58439.46630311128,2261.512240721089,51576.6610377559,0.512,221739.9423994446,250
paper4_v4_local_rt0p1725_g0p425_u0p000,severe,-3353.109183435594,-58457.26100414133,-4624.676750282284,50499.4746479852,0.424,371695.7994347784,250
paper4_v4_local_rt0p1725_g0p425_u0p025,adverse,-2005.6458426226684,-60961.146478491944,-2886.390680719456,53906.105999656065,0.464,300180.1935855754,250
paper4_v4_local_rt0p1725_g0p425_u0p025,baseline,-684.7859496208991,-52802.547769832374,-1997.4116589962541,55753.71823485182,0.476,216599.84403714526,250
paper4_v4_local_rt0p1725_g0p425_u0p025,severe,-529.2898751536644,-53969.67019436105,1668.2998529508077,59119.49532786472,0.532,374065.23126014305,250
paper4_v4_local_rt0p1725_g0p425_u0p050,adverse,-2636.386095730223,-61553.21146421851,-385.07085426904086,56057.08249461969,0.5,308383.24902308115,250
