policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,candidate_pool_n,full_n_funded,full_funded_exposure,full_realized_return,full_weighted_pd_high,full_coverage_alpha01,stage0_source,return_delta_vs_champion,cashflow_ecl_v3,net_return_after_cashflow_ecl_v3,online_coverage_mean_v3,online_coverage_min_v3,online_width_mean_v3,worst_defended_source_coverage_v3,max_defended_proxy_gap_v3,v3_gate_online,v3_gate_mdcp,v3_gate_fairness_proxy,v3_gate_ifrs9_positive,v3_selector_score,v3_decision,v3_rank
crpto_rt0p160_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,338,1000000.0,159739.1079976787,0.2360416203851152,0.940828402366864,v3_full_universe_exact_all_policies,-13590.55541816642,124921.33089158671,34817.77710609198,0.9487154772311023,0.75,0.7986881321312868,0.8235294117647058,0.0186548165773541,False,True,True,True,0.5863030989154245,park,29
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.55,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,339,1000000.0,154950.19657837506,0.2159437138538439,0.943952802359882,v3_full_universe_exact_all_policies,-18379.46683747004,117321.65964443402,37628.53693394107,0.9497950993633559,0.75,0.7993247813425481,0.8235294117647058,0.03601356402459713,False,True,True,True,0.586050329820145,park,30
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,341,1000000.0,161875.0721309776,0.2449429250130827,0.9413489736070382,v3_full_universe_exact_all_policies,-11454.591284867493,128241.46377055885,33633.60836041876,0.94776365995116,0.6666666666666666,0.7976527072119084,0.8125,0.018595630980918154,False,True,True,True,0.5848506136286195,park,31
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,343,1000000.0,157596.30251013962,0.2270430851587386,0.9416909620991254,v3_full_universe_exact_all_policies,-15733.360905705484,121648.80582844725,35947.49668169237,0.9491161182567432,0.75,0.799573227996128,0.8235294117647058,0.019888276994487974,False,True,True,True,0.5847415415219388,park,32
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,339,1000000.0,160927.05411445047,0.2411533140489485,0.9410029498525074,v3_full_universe_exact_all_policies,-12402.609301394636,126835.22515137005,34091.82896308039,0.9491042811355311,0.75,0.7980033240698909,0.8125,0.013673443072718228,False,True,True,True,0.5843691502796848,park,33
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.55,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,340,1000000.0,158664.953095277,0.2317804368311835,0.9411764705882352,v3_full_universe_exact_all_policies,-14664.71032056809,123361.36418046283,35303.58891481416,0.9487154772311023,0.75,0.7988142696365998,0.8235294117647058,0.02091726001626812,False,True,True,True,0.5837235714087492,park,34
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,337,1000000.0,161131.5998006576,0.2444707311520887,0.940652818991098,v3_full_universe_exact_all_policies,-12198.063615187508,127690.02836862106,33441.57143203654,0.9472036963402095,0.6666666666666666,0.7980950989973705,0.8461538461538461,0.007157910212253982,False,True,True,True,0.5800045544797943,park,35
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,332,1000000.0,166360.37821864535,0.2690929198388784,0.9457831325301204,v3_full_universe_exact_all_policies,-6969.285197199759,136204.2762380166,30156.101980628737,0.9512280642817328,0.6666666666666666,0.797588491290035,0.8461538461538461,0.030617324794294798,False,True,True,True,0.5706104074360161,park,36
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,331,1000000.0,163880.8018592057,0.2600258178926464,0.945619335347432,v3_full_universe_exact_all_policies,-9448.8615566394,133101.1581936533,30779.643665552372,0.951564105318701,0.6666666666666666,0.7974364795870609,0.8461538461538461,0.02964364154164678,False,True,True,True,0.5562341351350021,park,37
crpto_rt0p175_g0p55_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.55,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,337,1000000.0,160858.51906735598,0.2474763524795817,0.9436201780415432,v3_full_universe_exact_all_policies,-12471.14434848912,128613.21523646741,32245.303830888573,0.9487007222760899,0.6666666666666666,0.7982359147555613,0.8461538461538461,0.013643745394798387,False,True,True,True,0.5537664504326077,park,38
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,338,1000000.0,161122.88786385013,0.2495316334113211,0.9437869822485208,v3_full_universe_exact_all_policies,-12206.775551994971,129412.0241115248,31710.863752325327,0.9492015007373947,0.6666666666666666,0.7983370933494811,0.8461538461538461,0.013889562120870752,False,True,True,True,0.5465223162900146,park,39
crpto_rt0p170_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,335,1000000.0,161885.39992733212,0.2529135121691224,0.9432835820895522,v3_full_universe_exact_all_policies,-11444.26348851298,130667.9478182153,31217.452109116828,0.9488580941439881,0.6666666666666666,0.7980030580106765,0.8461538461538461,0.01065894069856499,False,True,True,True,0.5457407169368838,park,40
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,337,1000000.0,163342.47551604442,0.2594392676389688,0.9436201780415432,v3_full_universe_exact_all_policies,-9987.187899800689,133086.46145363248,30256.014062411967,0.949253584070728,0.6666666666666666,0.7974178969953251,0.8461538461538461,0.017835852285842696,False,True,True,True,0.5420514872572285,park,41
crpto_rt0p170_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,337,1000000.0,161686.85551018076,0.2533851385454088,0.9436201780415432,v3_full_universe_exact_all_policies,-11642.807905664347,130853.32714387283,30833.52836630793,0.949253584070728,0.6666666666666666,0.7974178969953251,0.8461538461538461,0.017835852285842696,False,True,True,True,0.535364552493484,park,42
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,338,1000000.0,160661.3170293993,0.2503721656927368,0.940828402366864,v3_full_universe_exact_all_policies,-12668.346386445804,129822.7634427217,30838.553586677604,0.9472541000666,0.6666666666666666,0.7974735806536345,0.8333333333333334,0.01748468553431072,False,True,True,True,0.5223923223467372,park,43
crpto_rt0p175_g0p55_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.55,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,336,1000000.0,159301.51328728814,0.2478428327281889,0.9404761904761904,v3_full_universe_exact_all_policies,-14028.150128556968,129475.61395595677,29825.89933133137,0.9477358031223163,0.6666666666666666,0.7980455612025381,0.8461538461538461,0.010644576658896066,False,True,True,True,0.4918440097296933,park,44
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,339,1000000.0,159234.29351148574,0.2507968537328479,0.9410029498525074,v3_full_universe_exact_all_policies,-14095.369904359366,130897.76475461989,28336.528756865824,0.9520003406681038,0.75,0.7980470627389303,0.8125,0.03137255811696604,False,True,True,True,0.45548956278037694,park,45
