source_family,source_id,issue_month,n,coverage,avg_width,weak_cell_scope_v49
state_top20,PA,2019-11,4800,0.6666666666666666,0.9616687160507286,lowest direct source-month coverage cells before qhat repair
state_top20,MN,2018-06,1600,0.75,0.9857575533143713,lowest direct source-month coverage cells before qhat repair
state_top20,NV,2019-04,1600,0.75,0.9811160537441422,lowest direct source-month coverage cells before qhat repair
state_top20,TX,2019-07,1600,0.75,0.9816480430640655,lowest direct source-month coverage cells before qhat repair
state_top20,VA,2018-11,1600,0.75,0.9868412238653399,lowest direct source-month coverage cells before qhat repair
state_top20,OH,2018-02,1392,0.75,0.9857575533143715,lowest direct source-month coverage cells before qhat repair
income_band,inc_q2,2019-11,1600,0.0,0.9047985326313669,lowest direct source-month coverage cells before qhat repair
income_band,inc_q2,2018-04,1120,0.0,0.8636430153376995,lowest direct source-month coverage cells before qhat repair
income_band,inc_q1,2019-05,336,0.0,0.8636430153376994,lowest direct source-month coverage cells before qhat repair
income_band,inc_q3,2019-06,4800,0.6666666666666666,0.9255020794059616,lowest direct source-month coverage cells before qhat repair
income_band,inc_q1,2018-06,1600,0.75,0.9857575533143713,lowest direct source-month coverage cells before qhat repair
income_band,inc_q2,2018-02,1392,0.75,0.9857575533143715,lowest direct source-month coverage cells before qhat repair
income_band,inc_q5,2018-06,11200,0.8571428571428571,0.9550355199851548,lowest direct source-month coverage cells before qhat repair
income_band,inc_q5,2019-04,19072,0.8741610738255033,0.9431481136502331,lowest direct source-month coverage cells before qhat repair
income_band,inc_q4,2018-08,560,0.8928571428571429,0.9375717475706669,lowest direct source-month coverage cells before qhat repair
income_band,inc_q5,2019-07,16928,0.9054820415879017,0.9704588626209675,lowest direct source-month coverage cells before qhat repair
income_band,inc_q4,2019-02,5312,0.9246987951807228,0.9814432732247952,lowest direct source-month coverage cells before qhat repair
income_band,inc_q3,2019-11,6400,0.9375,0.9694967497266178,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q1,2018-04,4080,0.7254901960784313,0.912738483153893,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q3,2019-07,8160,0.75,0.981208376920207,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q1,2019-06,6400,0.75,0.9124875202183013,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q2,2018-06,6400,0.75,0.9344088569992068,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q4,2019-04,1600,0.75,0.9857575533143713,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q1,2019-11,6528,0.7549019607843137,0.9466262625519614,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q2,2018-02,3952,0.8107287449392713,0.9547140841993589,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q1,2018-06,3200,0.875,0.9857575533143713,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q2,2019-11,4112,0.9027237354085603,0.9604998948917405,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q1,2019-04,17088,0.9063670411985019,0.9139832070874961,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q1,2019-03,4816,0.9136212624584718,0.915647049017633,lowest direct source-month coverage cells before qhat repair
dti_band,dti_q2,2019-04,4704,0.9149659863945578,0.9658363118907582,lowest direct source-month coverage cells before qhat repair
