reward_per_imputation_penalty_v304,source_family,source_id,cap_share_v304,source_exposure_v304,source_share_v304,source_slack_v304,source_cap_violated_v304,claim_boundary_v304
0.0,state_top20,other,0.35,192425.0,0.22731165647795398,0.122688343522046,False,v304 reward solution source diagnostic only
2.0,grade,A,0.8531348749298603,722150.0,0.8531261998287014,8.6751011588726e-06,False,v304 reward solution source diagnostic only
2.0,grade,B,0.8531348749298603,20725.0,0.02448388906937594,0.8286509858604844,False,v304 reward solution source diagnostic only
2.0,grade,C,0.8531348749298603,40600.0,0.04796361381021294,0.8051712611196473,False,v304 reward solution source diagnostic only
2.0,grade,D,0.8531348749298603,48450.0,0.057237366726719634,0.7958975082031406,False,v304 reward solution source diagnostic only
2.0,grade,E,0.8531348749298603,13550.0,0.016007560766709,0.8371273141631513,False,v304 reward solution source diagnostic only
2.0,grade,F,0.8531348749298603,1000.0,0.0011813697982811068,0.8519535051315792,False,v304 reward solution source diagnostic only
2.0,grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v304 reward solution source diagnostic only
2.0,score_decile,0,0.9,761600.0,0.8997312383708911,0.00026876162910893786,False,v304 reward solution source diagnostic only
2.0,score_decile,1,0.9,61000.0,0.07206355769514752,0.8279364423048525,False,v304 reward solution source diagnostic only
2.0,score_decile,2,0.9,22875.0,0.02702383413568032,0.8729761658643197,False,v304 reward solution source diagnostic only
2.0,score_decile,3,0.9,1000.0,0.0011813697982811068,0.8988186302017189,False,v304 reward solution source diagnostic only
2.0,score_decile,4,0.9,0.0,0.0,0.9,False,v304 reward solution source diagnostic only
2.0,score_decile,5,0.9,0.0,0.0,0.9,False,v304 reward solution source diagnostic only
2.0,score_decile,6,0.9,0.0,0.0,0.9,False,v304 reward solution source diagnostic only
2.0,score_decile,7,0.9,0.0,0.0,0.9,False,v304 reward solution source diagnostic only
2.0,score_decile,8,0.9,0.0,0.0,0.9,False,v304 reward solution source diagnostic only
2.0,score_decile,9,0.9,0.0,0.0,0.9,False,v304 reward solution source diagnostic only
2.0,income_band,0,0.85,7300.0,0.00862399952745208,0.8413760004725479,False,v304 reward solution source diagnostic only
2.0,income_band,1,0.85,26925.0,0.031808381818718805,0.8181916181812812,False,v304 reward solution source diagnostic only
2.0,income_band,2,0.85,53150.0,0.06278980477864084,0.7872101952213592,False,v304 reward solution source diagnostic only
2.0,income_band,3,0.85,100775.0,0.11905254142177855,0.7309474585782214,False,v304 reward solution source diagnostic only
2.0,income_band,4,0.85,658325.0,0.7777252724534097,0.07227472754659026,False,v304 reward solution source diagnostic only
2.0,dti_band,0,0.85,620500.0,0.7330399598334268,0.11696004016657313,False,v304 reward solution source diagnostic only
2.0,dti_band,1,0.85,167950.0,0.19841105762131192,0.651588942378688,False,v304 reward solution source diagnostic only
2.0,dti_band,2,0.85,36100.0,0.04264744971794796,0.807352550282052,False,v304 reward solution source diagnostic only
2.0,dti_band,3,0.85,18925.0,0.02235742343246995,0.82764257656753,False,v304 reward solution source diagnostic only
2.0,dti_band,4,0.85,3000.0,0.003544109394843321,0.8464558906051567,False,v304 reward solution source diagnostic only
2.0,period,2018,0.82,523525.0,0.6184766236451165,0.2015233763548835,False,v304 reward solution source diagnostic only
2.0,period,2019,0.82,284025.0,0.3355385569567914,0.48446144304320854,False,v304 reward solution source diagnostic only
2.0,period,2020,0.82,38925.0,0.04598481939809209,0.7740151806019079,False,v304 reward solution source diagnostic only
2.0,state_top20,AZ,0.35,12000.0,0.014176437579373284,0.3358235624206267,False,v304 reward solution source diagnostic only
2.0,state_top20,CA,0.35,111000.0,0.13113204760920288,0.2188679523907971,False,v304 reward solution source diagnostic only
2.0,state_top20,CO,0.35,15875.0,0.018754245547712572,0.33124575445228743,False,v304 reward solution source diagnostic only
2.0,state_top20,FL,0.35,52875.0,0.06246492808411353,0.28753507191588645,False,v304 reward solution source diagnostic only
2.0,state_top20,GA,0.35,32400.0,0.03827638146430787,0.3117236185356921,False,v304 reward solution source diagnostic only
2.0,state_top20,IL,0.35,91825.0,0.10847928172716265,0.24152071827283733,False,v304 reward solution source diagnostic only
2.0,state_top20,IN,0.35,8050.0,0.009510026876162911,0.34048997312383705,False,v304 reward solution source diagnostic only
2.0,state_top20,MA,0.35,26400.0,0.031188162674621222,0.31881183732537877,False,v304 reward solution source diagnostic only
2.0,state_top20,MD,0.35,5275.0,0.006231725685932839,0.34376827431406715,False,v304 reward solution source diagnostic only
2.0,state_top20,MI,0.35,2400.0,0.0028352875158746565,0.34716471248412534,False,v304 reward solution source diagnostic only
2.0,state_top20,MN,0.35,9100.0,0.010750465164358073,0.3392495348356419,False,v304 reward solution source diagnostic only
2.0,state_top20,NC,0.35,23350.0,0.027584984789863848,0.32241501521013616,False,v304 reward solution source diagnostic only
2.0,state_top20,NJ,0.35,14000.0,0.016539177175935497,0.3334608228240645,False,v304 reward solution source diagnostic only
2.0,state_top20,NV,0.35,9700.0,0.011459287043326737,0.33854071295667326,False,v304 reward solution source diagnostic only
2.0,state_top20,NY,0.35,90375.0,0.10676629551965504,0.24323370448034493,False,v304 reward solution source diagnostic only
2.0,state_top20,OH,0.35,23000.0,0.027171505360465458,0.3228284946395345,False,v304 reward solution source diagnostic only
2.0,state_top20,PA,0.35,25850.0,0.030538409285566614,0.31946159071443336,False,v304 reward solution source diagnostic only
2.0,state_top20,TX,0.35,31450.0,0.037154080155940815,0.3128459198440592,False,v304 reward solution source diagnostic only
2.0,state_top20,VA,0.35,11450.0,0.013526684190318675,0.3364733158096813,False,v304 reward solution source diagnostic only
2.0,state_top20,WA,0.35,57475.0,0.06789922915620662,0.28210077084379337,False,v304 reward solution source diagnostic only
2.0,state_top20,other,0.35,192625.0,0.2275613573938982,0.12243864260610177,False,v304 reward solution source diagnostic only
5.0,grade,A,0.8531348749298603,722150.0,0.8531261998287014,8.6751011588726e-06,False,v304 reward solution source diagnostic only
5.0,grade,B,0.8531348749298603,20725.0,0.02448388906937594,0.8286509858604844,False,v304 reward solution source diagnostic only
5.0,grade,C,0.8531348749298603,40600.0,0.04796361381021294,0.8051712611196473,False,v304 reward solution source diagnostic only
5.0,grade,D,0.8531348749298603,48450.0,0.057237366726719634,0.7958975082031406,False,v304 reward solution source diagnostic only
5.0,grade,E,0.8531348749298603,13550.0,0.016007560766709,0.8371273141631513,False,v304 reward solution source diagnostic only
5.0,grade,F,0.8531348749298603,1000.0,0.0011813697982811068,0.8519535051315792,False,v304 reward solution source diagnostic only
5.0,grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v304 reward solution source diagnostic only
5.0,score_decile,0,0.9,761600.0,0.8997312383708911,0.00026876162910893786,False,v304 reward solution source diagnostic only
