policy_id,baseline_policy_id,n_bootstrap_paths,mean_net_return_diff,p05_net_return_diff,p50_net_return_diff,p95_net_return_diff,prob_diff_positive,status
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,15735.374302858329,4694.540639042628,15110.206478940418,27924.796274760512,1.0,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,13799.436396711533,3669.5327774729535,13008.354185184617,25052.2513394268,0.995,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,12038.694039074728,1297.1673436107426,12047.21615593461,26046.76603635733,0.96,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,12016.95423917513,4270.4543715172995,11128.892392200858,22384.428876544996,0.99,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,11913.02452556937,-782.5136193665144,12293.406720971638,25618.217835249852,0.935,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,11107.262362256248,-1787.5504270817019,11136.794773846083,24305.396037780312,0.92,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,9578.669763404416,-2951.208335637399,9382.599324422972,20716.612914191253,0.87,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,9306.137727808755,-1032.638979120629,8906.064399175266,20878.000174909837,0.9,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,paper1_economic_champion,200,8368.05962740586,-4950.159162789201,8407.528169274057,22329.067379916065,0.84,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,8258.133720926164,-1831.4624041586842,7978.687708108195,20833.427321602958,0.86,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,8082.5499838472515,-3179.732446001434,7177.845904005029,21089.59959925572,0.875,monthly_bootstrap_paired_diagnostic
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,8001.222041038675,-6016.892528547746,7336.141622961899,22557.761072973626,0.85,monthly_bootstrap_paired_diagnostic
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,6800.137176230709,-2860.23589608478,6448.902561650339,16323.852153454036,0.85,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,6095.453711930185,-4967.740305804401,5221.258425550583,18700.054793982807,0.78,monthly_bootstrap_paired_diagnostic
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,5145.9237225697425,-4643.222508586184,4772.13218222783,15635.359004745453,0.815,monthly_bootstrap_paired_diagnostic
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,paper1_economic_champion,200,4898.363659976167,-6253.523630628097,4834.424711980606,17457.178891143212,0.76,monthly_bootstrap_paired_diagnostic
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,paper1_economic_champion,200,4867.349072471931,-5021.0645029692705,4735.819502327224,14881.508800129897,0.74,monthly_bootstrap_paired_diagnostic
