policy_id,regime_v70,lhs_v70,rhs_v70,slack_v70,binding_v70,claim_boundary_v70,constraint_type_v70,source_family,source_id,cap_share_v70,cap_mode_v70,path_id
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,841620.75,850000.0,8379.25,False,restricted-master LP diagnostic only,budget_upper,,,,,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-841620.75,-841620.75,0.0,True,restricted-master LP diagnostic only,budget_lower,,,,,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-1.0550138540565968e-10,0.0,1.0550138540565968e-10,True,restricted-master LP diagnostic only,source_share,grade,A,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-449406.8411412116,0.0,449406.8411412116,False,restricted-master LP diagnostic only,source_share,grade,B,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-505688.74999999965,0.0,505688.74999999965,False,restricted-master LP diagnostic only,source_share,grade,C,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-505488.65885878773,0.0,505488.65885878773,False,restricted-master LP diagnostic only,source_share,grade,D,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-569613.7499999995,0.0,569613.7499999995,False,restricted-master LP diagnostic only,source_share,grade,E,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-574363.7499999995,0.0,574363.7499999995,False,restricted-master LP diagnostic only,source_share,grade,F,0.6824496069042975,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,1.8553691916167736e-10,0.0,-1.8553691916167736e-10,True,restricted-master LP diagnostic only,source_share,score_decile,0,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-454247.25,0.0,454247.25,False,restricted-master LP diagnostic only,source_share,score_decile,1,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-531623.7500000002,0.0,531623.7500000002,False,restricted-master LP diagnostic only,source_share,score_decile,2,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-602497.25,0.0,602497.25,False,restricted-master LP diagnostic only,source_share,score_decile,3,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-607497.25,0.0,607497.25,False,restricted-master LP diagnostic only,source_share,score_decile,4,0.7218182892947922,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-418132.52385878796,0.0,418132.52385878796,False,restricted-master LP diagnostic only,source_share,income_band,0,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-369131.4561412121,0.0,369131.4561412121,False,restricted-master LP diagnostic only,source_share,income_band,1,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-371204.865,0.0,371204.865,False,restricted-master LP diagnostic only,source_share,income_band,2,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-309204.865,0.0,309204.865,False,restricted-master LP diagnostic only,source_share,income_band,3,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-299729.865,0.0,299729.865,False,restricted-master LP diagnostic only,source_share,income_band,4,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-34046.364999999765,0.0,34046.364999999765,False,restricted-master LP diagnostic only,source_share,dti_band,0,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-350079.865,0.0,350079.865,False,restricted-master LP diagnostic only,source_share,dti_band,1,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-413631.3650000001,0.0,413631.3650000001,False,restricted-master LP diagnostic only,source_share,dti_band,2,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-465741.1150000001,0.0,465741.1150000001,False,restricted-master LP diagnostic only,source_share,dti_band,3,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-503904.865,0.0,503904.865,False,restricted-master LP diagnostic only,source_share,dti_band,4,0.62,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-64063.96614121205,0.0,64063.96614121205,False,restricted-master LP diagnostic only,source_share,period,2018,0.6827747236507655,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-479687.2838587882,0.0,479687.2838587882,False,restricted-master LP diagnostic only,source_share,period,2019,0.6827747236507655,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-338540.125,0.0,338540.125,False,restricted-master LP diagnostic only,source_share,period,2020,0.6827747236507655,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-197421.39500000002,0.0,197421.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,AZ,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-99671.395,0.0,99671.395,False,restricted-master LP diagnostic only,source_share,state_top20,CA,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-167921.39500000002,0.0,167921.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,CO,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-178571.39500000002,0.0,178571.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,FL,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-207696.39500000002,0.0,207696.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,GA,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-192171.39500000002,0.0,192171.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,IL,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-206721.30385878804,0.0,206721.30385878804,False,restricted-master LP diagnostic only,source_share,state_top20,IN,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-213821.39500000002,0.0,213821.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,MA,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-187846.39500000002,0.0,187846.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,MD,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-201571.39500000002,0.0,201571.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,MI,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-187321.39500000002,0.0,187321.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,MN,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-167271.395,0.0,167271.395,False,restricted-master LP diagnostic only,source_share,state_top20,NC,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-181496.39500000002,0.0,181496.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,NJ,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-209471.39500000002,0.0,209471.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,NV,0.26,incumbent_cvar_relaxed_source_lp,
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,-170546.39500000002,0.0,170546.39500000002,False,restricted-master LP diagnostic only,source_share,state_top20,NY,0.26,incumbent_cvar_relaxed_source_lp,
